source_dir,algorithm,reward_name,reward_key,episodes,policy,grid_import_kwh,export_kwh,net_consumption_kwh,discomfort_proportion,discomfort_cold_proportion,discomfort_hot_proportion,all_rewards,cost_total_ratio,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,savings_vs_fixed_pct,train_sec,stability_episode,last_10_episode_reward_mean
outputs_q_learning1504_03,FixedCooling,0.50,0.50,80.0,FixedCooling(0.50),1728.141,,1727.784,0.9748,,,-1728.141,,,,,,,,
outputs_q_learning1504_04,FixedCooling,0.50,0.50,80.0,FixedCooling(0.50),1728.141,,1727.784,0.9748,,,-1728.141,,,,,,,,
outputs_q_learning1504_05,FixedCooling,0.50,0.50,80.0,FixedCooling(0.50),1728.141,,1727.784,0.9748,,,-1728.141,,,,,0.0,,,
outputs_q_learning1604_01,FixedCooling,0.50,0.50,400.0,FixedCooling(0.50),1728.141,,1727.784,0.9748,,,-3750.742,,,,,0.0,,,
outputs_q_learning1604_02,FixedCooling,0.50,0.50,700.0,FixedCooling(0.50),1728.141,,1727.784,0.9748,,,-3750.742,,,,,0.0,,,
outputs_q_learning1504_02,FixedCooling,0.70,0.70,10.0,FixedCooling(0.70),2308.419,,2308.062,0.9804,,,-2308.419,,,,,0.0,,,
outputs_q_learning1504_03,FixedCooling,0.70,0.70,80.0,FixedCooling(0.70),2308.419,,2308.062,0.9804,,,-2308.419,,,,,,,,
outputs_q_learning1504_04,FixedCooling,0.70,0.70,80.0,FixedCooling(0.70),2308.419,,2308.062,0.9804,,,-2308.419,,,,,,,,
outputs_q_learning1504_03,FixedCooling,0.90,0.90,80.0,FixedCooling(0.90),2888.697,,2888.34,0.9804,,,-2888.697,,,,,,,,
outputs_q_learning1504_04,FixedCooling,0.90,0.90,80.0,FixedCooling(0.90),2888.697,,2888.34,0.9804,,,-2888.697,,,,,,,,
outputs_q_learning1504_06,OwnAdaptiveTabularQLearning,unknown,unknown,,OwnAdaptiveTabularQLearning,797.137,,733.256,0.6059,,,-797.137,,,,,53.873,197.01,,-872.536
outputs_q_learning1504_06,OwnAdaptiveTabularQLearning,unknown,unknown,,OwnAdaptiveTabularQLearning,708.594,,644.899,0.6297,,,-1190.052,,,,,58.997,196.21,,-1487.122
outputs_q_learning1504_06,OwnAdaptiveTabularQLearning,unknown,unknown,,OwnAdaptiveTabularQLearning,746.123,,681.886,0.6241,,,-1023.102,,,,,56.825,197.41,56.0,-1193.401
outputs_q_learning1504_06,OwnAdaptiveTabularQLearning,unknown,unknown,,OwnAdaptiveTabularQLearning,821.212,,758.941,0.5624,,,-1738.102,,,,,52.48,200.85,,-1874.59
outputs_q_learning1504_03,OwnAdaptiveTabularQLearning,unknown,unknown,80.0,OwnAdaptiveTabularQLearning,709.557,,657.742,0.6452,,,-709.557,,,,,,201.52,67.0,-844.261
outputs_q_learning1504_04,OwnAdaptiveTabularQLearning,unknown,unknown,80.0,OwnAdaptiveTabularQLearning,797.137,,733.256,0.6059,,,-797.137,,,,,,203.52,,-872.536
outputs_q_learning1504_04,OwnAdaptiveTabularQLearning,unknown,unknown,80.0,OwnAdaptiveTabularQLearning,821.212,,758.941,0.5624,,,-1738.102,,,,,,209.31,,-1874.59
outputs_q_learning1504_05,OwnAdaptiveTabularQLearning,unknown,unknown,80.0,OwnAdaptiveTabularQLearning,797.137,,733.256,0.6059,,,-797.137,,,,,53.873,217.98,,-872.536
outputs_q_learning1504_05,OwnAdaptiveTabularQLearning,unknown,unknown,80.0,OwnAdaptiveTabularQLearning,821.212,,758.941,0.5624,,,-1738.102,,,,,52.48,225.81,,-1874.59
outputs_q_learning1604_01,OwnAdaptiveTabularQLearning,unknown,unknown,400.0,OwnAdaptiveTabularQLearning,417.869,,298.664,0.9748,,,-914.428,,,,,75.82,1003.76,82.0,-1057.643
outputs_q_learning1604_02,OwnAdaptiveTabularQLearning,unknown,unknown,700.0,OwnAdaptiveTabularQLearning,412.001,,295.581,0.9804,,,-905.404,,,,,76.159,1792.32,82.0,-1088.45
outputs_q_learning1504_02,OwnTabularQLearning,unknown,unknown,10.0,OwnTabularQLearning,802.066,,729.66,0.6381,,,-802.066,,,,,65.255,29.16,,-1485.591
