policy,seed,grid_import_kwh,net_consumption_kwh,discomfort_proportion,cumulative_reward,savings_vs_fixed_pct,training_seconds,stability_episode,last_10_episode_reward_mean
Fixed(cool=0.50),,4336.148,4336.148,0.8779,-12023.402,0.0,,,
"Q-learning (Weather reward, seed=7)",7.0,1467.115,1334.842,0.9617,-4201.634,66.165,6844.98,110.0,-6751.989
