time_step,fixed_reward,fixed_cumulative_reward,fixed_grid_import_Building_3_kwh,fixed_grid_import_kwh,fixed_cumulative_grid_import_kwh,q_learning_reward,q_learning_cumulative_reward,q_learning_grid_import_Building_3_kwh,q_learning_grid_import_kwh,q_learning_cumulative_grid_import_kwh,reward_delta_q_minus_fixed,grid_import_delta_fixed_minus_q,cumulative_reward_delta_q_minus_fixed,cumulative_grid_import_delta_fixed_minus_q
26,-4.642418278462067,-99.90548108398312,1.8065049648284912,1.8065049648284912,40.84922835230827,-1.0733014870443298,-53.68522497362237,0.4176539778709411,0.4176539778709411,21.73247891664505,3.569116791417737,1.38885098695755,46.22025611036075,19.116749435663223
27,-6.674020048838125,-106.57950113282124,2.5781614780426025,2.5781614780426025,43.42738983035088,-3.0787375709413327,-56.7639625445637,1.1893105506896973,1.1893105506896973,22.921789467334747,3.5952824778967925,1.3888509273529053,49.81553858825754,20.505600363016136
28,-4.811880344944803,-111.39138147776605,1.8285300731658936,1.8285300731658936,45.25591990351677,-1.157040393399848,-57.92100293796355,0.4396790862083435,0.4396790862083435,23.36146855354309,3.654839951544955,1.38885098695755,53.470378539802496,21.89445134997368
29,-4.947797786497419,-116.33917926426346,1.8979605436325075,1.8979605436325075,47.15388044714928,-1.3271987903378126,-59.24820172830136,0.5091094970703125,0.5091094970703125,23.870578050613403,3.620598996159606,1.388851046562195,57.090977535962104,23.283302396535873
30,-4.643136978149414,-120.98231624241288,1.8572547435760496,1.8572547435760496,49.01113519072533,-1.1710096597671509,-60.41921138806851,0.4684038460254669,0.4684038460254669,24.33898189663887,3.472127318382263,1.3888508975505827,60.56310485434437,24.672153294086456
31,-4.81583309173584,-125.79814933414872,1.9263333082199097,1.9263333082199097,50.93746849894524,-1.343706130981445,-61.76291751904996,0.5374824404716492,0.5374824404716492,24.87646433711052,3.4721269607543945,1.3888508677482605,64.03523181509877,26.061004161834724
32,-4.92296028137207,-130.7211096155208,1.969184160232544,1.969184160232544,52.90665265917778,-1.4508332014083862,-63.21375072045834,0.5803332924842834,0.5803332924842834,25.456797629594803,3.472127079963684,1.3888508677482605,67.50735889506245,27.449855029582977
33,-4.75105128707052,-135.4721609025913,1.8446779251098635,1.8446779251098635,54.75133058428764,-1.1740030142365945,-64.38775373469494,0.455826997756958,0.455826997756958,25.91262462735176,3.5770482728339252,1.3888509273529055,71.08440716789636,28.838705956935883
34,-4.058439128346542,-139.53060003093785,1.5710362195968628,1.5710362195968628,56.322366803884506,-0.4706370853887734,-64.85839082008371,0.1821852922439575,0.1821852922439575,26.09480991959572,3.587802042957769,1.3888509273529053,74.67220921085413,30.227556884288788
35,-3.667289392763784,-143.19788942370164,1.4604367017745972,1.4604367017745972,57.7828035056591,-0.1797584027184655,-65.03814922280218,0.0715857818722724,0.0715857818722724,26.16639570146799,3.4875309900453186,1.3888509199023247,78.15974020089946,31.616407804191113
36,-3.263658247741811,-146.46154767144344,1.3009905815124512,1.3009905815124512,59.08379408717156,0.0,-65.03814922280218,0.0,0.0,26.16639570146799,3.263658247741811,1.3009905815124512,81.42339844864127,32.91739838570357
37,-3.003230094909668,-149.4647777663531,1.2012920379638672,1.2012920379638672,60.28508612513542,0.0,-65.03814922280218,0.0,0.0,26.16639570146799,3.003230094909668,1.2012920379638672,84.42662854355093,34.11869042366743
38,-3.8545286655426025,-153.3193064318957,1.541811466217041,1.541811466217041,61.82689759135246,-0.3824012875556946,-65.42055051035787,0.1529605090618133,0.1529605090618133,26.319356210529804,3.472127377986908,1.3888509571552277,87.89875592153784,35.50754138082266
39,-3.966140508651733,-157.28544694054744,1.5864561796188354,1.5864561796188354,63.4133537709713,-0.4940131604671478,-65.91456367082502,0.1976052671670913,0.1976052671670913,26.516961477696896,3.472127348184585,1.388850912451744,91.37088326972243,36.8963922932744
40,-5.590059280395508,-162.87550622094295,2.2360236644744877,2.2360236644744877,65.64937743544579,-2.117931842803955,-68.03249551362897,0.847172737121582,0.847172737121582,27.36413421481848,3.4721274375915527,1.3888509273529057,94.84301070731398,38.28524322062731
41,-4.994150161743164,-167.86965638268612,1.9976601600646973,1.9976601600646973,67.64703759551048,-1.5220234394073486,-69.55451895303632,0.6088093519210815,0.6088093519210815,27.97294356673956,3.4721267223358154,1.3888508081436157,98.3151374296498,39.674094028770924
42,-6.285549163818359,-174.15520554650448,2.5142197608947754,2.5142197608947754,70.16125735640526,-2.813422203063965,-72.36794115610029,1.12536883354187,1.12536883354187,29.09831240028143,3.4721269607543945,1.3888509273529055,101.78726439040419,41.06294495612383
43,-5.298590183258057,-179.45379572976253,2.119436025619507,2.119436025619507,72.28069338202477,-1.8264626264572144,-74.1944037825575,0.7305850386619568,0.7305850386619568,29.828897438943383,3.4721275568008423,1.38885098695755,105.25939194720503,42.45179594308138
44,-4.602744102478027,-184.05653983224056,1.8410975933074951,1.8410975933074951,74.12179097533226,-1.1306167840957642,-75.32502056665327,0.4522467255592346,0.4522467255592346,30.28114416450262,3.472127318382263,1.3888508677482605,108.7315192655873,43.84064681082964
45,-5.222440719604492,-189.27898055184505,2.0889763832092285,2.0889763832092285,76.21076735854149,-1.750313639640808,-77.07533420629407,0.7001254558563232,0.7001254558563232,30.981269620358944,3.472127079963684,1.3888509273529053,112.20364634555098,45.229497738182545
46,-5.204911708831787,-194.48389226067684,2.0819647312164307,2.0819647312164307,78.29273208975792,-1.732784628868103,-78.80811883516218,0.6931138634681702,0.6931138634681702,31.674383483827118,3.472127079963684,1.3888508677482605,115.67577342551466,46.618348605930805
47,-4.541420936584473,-199.0253131972613,1.816568374633789,1.816568374633789,80.10930046439171,-1.06929349899292,-79.8774123341551,0.4277174174785614,0.4277174174785614,32.10210090130568,3.4721274375915527,1.3888509571552277,119.14790086310622,48.007199563086026
48,-4.5273284912109375,-203.55264168847225,1.8109314441680908,1.8109314441680908,81.9202319085598,-1.0552011728286743,-80.93261350698377,0.4220804870128631,0.4220804870128631,32.52418138831854,3.472127318382263,1.3888509571552277,122.62002818148848,49.39605052024126
49,-4.519631862640381,-208.07227355111263,1.8078527450561523,1.8078527450561523,83.72808465361595,-1.0475046634674072,-81.98011817045118,0.4190018475055694,0.4190018475055694,32.94318323582411,3.4721271991729736,1.3888508975505829,126.09215538066145,50.78490141779184
50,-4.51363468170166,-212.5859082328143,1.805453896522522,1.805453896522522,85.53353855013847,-1.041507363319397,-83.02162553377057,0.4166029393672943,0.4166029393672943,33.3597861751914,3.472127318382263,1.3888509571552277,129.5642826990437,52.17375237494707
51,-4.519201755523682,-217.105109988338,1.8076807260513303,1.8076807260513303,87.3412192761898,-1.0470744371414185,-84.068699970912,0.4188297688961029,0.4188297688961029,33.778615944087505,3.472127318382263,1.3888509571552274,133.03641001742602,53.5626033321023
52,-4.560028076171875,-221.66513806450985,1.8240113258361816,1.8240113258361816,89.16523060202599,-1.0879008769989014,-85.1566008479109,0.4351603388786316,0.4351603388786316,34.21377628296614,3.4721271991729736,1.38885098695755,136.50853721659894,54.95145431905985
53,-4.721651077270508,-226.38678914178035,1.8886604309082031,1.8886604309082031,91.0538910329342,-1.2495237588882446,-86.40612460679914,0.4998095035552978,0.4998095035552978,34.713585786521435,3.472127318382263,1.3888509273529053,139.9806645349812,56.34030524641277
54,-4.622979640960693,-231.00976878274105,1.849191784858704,1.849191784858704,92.90308281779288,-1.150852084159851,-87.55697669095899,0.4603408277034759,0.4603408277034759,35.17392661422491,3.4721275568008423,1.388850957155228,143.45279209178204,57.72915620356797
55,-4.431556701660156,-235.4413254844012,1.7726225852966309,1.7726225852966309,94.67570540308952,-0.9594290256500244,-88.51640571660901,0.3837715983390808,0.3837715983390808,35.55769821256399,3.472127676010132,1.38885098695755,146.92491976779218,59.11800719052553
56,-6.121223449707031,-241.56254893410824,2.4484894275665283,2.4484894275665283,97.12419483065604,-2.6490962505340576,-91.16550196714309,1.059638500213623,1.059638500213623,36.617336712777615,3.4721271991729736,1.3888509273529053,150.39704696696515,60.50685811787842
57,-5.59157133102417,-247.1541202651324,2.236628532409668,2.236628532409668,99.36082336306572,-2.1194443702697754,-93.28494633741283,0.8477777242660522,0.8477777242660522,37.46511443704367,3.4721269607543945,1.3888508081436157,153.86917392771957,61.89570892602205
58,-8.398027420043945,-255.55214768517635,3.359210968017578,3.359210968017578,102.7200343310833,-4.925899982452393,-98.21084631986524,1.9703600406646729,1.9703600406646729,39.43547447770834,3.4721274375915527,1.3888509273529053,157.3413013653111,63.28455985337496
59,-5.747411727905273,-261.2995594130816,2.298964738845825,2.298964738845825,105.01899906992912,-2.2752842903137207,-100.48613061017896,0.9101137518882751,0.9101137518882751,40.345588229596615,3.4721274375915527,1.38885098695755,160.81342880290265,64.67341084033251
60,-6.55374813079834,-267.85330754388,2.621499300003052,2.621499300003052,107.64049836993216,-3.0816211700439453,-103.5677517802229,1.232648491859436,1.232648491859436,41.57823672145605,3.4721269607543945,1.3888508081436162,164.2855557636571,66.06226164847611
61,-24.24904060363769,-292.10234814751766,9.69961643218994,9.69961643218994,117.34011480212212,-20.776912689208984,-124.34466446943188,8.310765266418457,8.310765266418457,49.88900198787451,3.4721279144287074,1.3888511657714826,167.75768367808578,67.45111281424761
62,-6.193185329437256,-298.2955334769549,2.477274179458618,2.477274179458618,119.81738898158072,-2.7210581302642822,-127.06572259969616,1.088423252105713,1.088423252105713,50.97742523998022,3.4721271991729736,1.3888509273529053,171.22981087725876,68.8399637416005
63,-6.901827812194824,-305.19736128914974,2.7607312202453613,2.7607312202453613,122.5781202018261,-3.429701089859009,-130.4954236895552,1.3718804121017456,1.3718804121017456,52.349305652081966,3.4721267223358154,1.3888508081436157,174.70193759959454,70.22881454974413
64,-7.9131975173950195,-313.1105588065448,3.165278911590576,3.165278911590576,125.74339911341669,-4.441070079803467,-134.93649376935866,1.776427984237671,1.776427984237671,54.12573363631964,3.4721274375915527,1.3888509273529053,178.17406503718615,71.61766547709705
65,-5.922453880310059,-319.0330126868548,2.3689815998077397,2.3689815998077397,128.1123807132244,-2.450326681137085,-137.38682045049575,0.980130672454834,0.980130672454834,55.10586430877447,3.4721271991729736,1.3888509273529057,181.64619223635907,73.00651640444994
66,-8.639374732971191,-327.672387419826,3.455749750137329,3.455749750137329,131.56813046336174,-5.1672468185424805,-142.55406726903823,2.066898822784424,2.066898822784424,57.172763131558895,3.472127914428711,1.3888509273529053,185.11832015078778,74.39536733180285
67,-6.77993106842041,-334.4523184882464,2.71197247505188,2.71197247505188,134.28010293841362,-3.3078038692474365,-145.86187113828566,1.3231215476989746,1.3231215476989746,58.49588467925787,3.4721271991729736,1.3888509273529053,188.59044734996075,75.78421825915575
68,-6.383974075317383,-340.8362925635638,2.5535895824432373,2.5535895824432373,136.83369252085686,-2.911846399307251,-148.77371753759292,1.1647385358810425,1.1647385358810425,59.66062321513891,3.472127676010132,1.3888510465621948,192.0625750259709,77.17306930571795
69,-6.447174549102783,-347.2834671126666,2.5788698196411133,2.5788698196411133,139.41256234049797,-2.9750475883483887,-151.7487651259413,1.1900190114974976,1.1900190114974976,60.85064222663641,3.4721269607543945,1.3888508081436157,195.53470198672528,78.56192011386156
70,-4.562079906463623,-351.8455470191302,1.8248319625854488,1.8248319625854488,141.23739430308342,-1.0899527072906494,-152.83871783323195,0.4359810948371887,0.4359810948371887,61.2866233214736,3.4721271991729736,1.38885086774826,199.00682918589825,79.95077098160982
71,-4.538990020751953,-356.38453703988216,1.815596103668213,1.815596103668213,143.05299040675163,-1.066862940788269,-153.90558077402022,0.4267451763153076,0.4267451763153076,61.713368497788906,3.472127079963684,1.3888509273529053,202.47895626586194,81.33962190896273
72,-4.5273284912109375,-360.9118655310931,1.8109314441680908,1.8109314441680908,144.86392185091972,-1.0552011728286743,-154.9607819468489,0.4220804870128631,0.4220804870128631,62.13544898480177,3.472127318382263,1.3888509571552277,205.9510835842442,82.72847286611795
73,-4.519631862640381,-365.4314973937335,1.8078527450561523,1.8078527450561523,146.67177459597588,-1.0475046634674072,-156.0082866103163,0.4190018475055694,0.4190018475055694,62.55445083230734,3.4721271991729736,1.3888508975505829,209.42321078341718,84.11732376366854
74,-4.51363468170166,-369.9451320754352,1.805453896522522,1.805453896522522,148.4772284924984,-1.041507363319397,-157.0497939736357,0.4166029393672943,0.4166029393672943,62.97105377167463,3.472127318382263,1.3888509571552277,212.8953381017995,85.50617472082376
75,-4.519201755523682,-374.4643338309588,1.8076807260513303,1.8076807260513303,150.28490921854973,-1.0470744371414185,-158.09686841077712,0.4188297688961029,0.4188297688961029,63.389883540570736,3.472127318382263,1.3888509571552274,216.3674654201817,86.89502567797899
76,-4.560028076171875,-379.0243619071307,1.8240113258361816,1.8240113258361816,152.1089205443859,-1.0879008769989014,-159.18476928777602,0.4351603388786316,0.4351603388786316,63.82504387944937,3.4721271991729736,1.38885098695755,219.83959261935468,88.28387666493654
77,-4.791507720947266,-383.815869628078,1.9166030883789065,1.9166030883789065,154.02552363276482,-1.319380283355713,-160.50414957113173,0.5277521014213562,0.5277521014213562,64.35279598087072,3.4721274375915527,1.3888509869575503,223.31172005694629,89.67272765189409
78,-8.230389595031738,-392.0462592231097,3.2921559810638428,3.2921559810638428,157.31767961382866,-4.758262634277344,-165.26241220540908,1.9033050537109373,1.9033050537109373,66.25610103458166,3.4721269607543945,1.3888509273529055,226.78384701770062,91.061578579247
79,-4.982503890991211,-397.0287631141009,1.9930014610290527,1.9930014610290527,159.3106810748577,-1.5103764533996582,-166.77278865880874,0.6041505932807922,0.6041505932807922,66.86025162786245,3.4721274375915527,1.3888508677482605,230.25597445529218,92.45042944699526
80,-7.604717260465986,-404.6334803745669,2.9608795642852783,2.9608795642852783,162.271560639143,-4.037595330102439,-170.81038398891118,1.572028636932373,1.572028636932373,68.43228026479483,3.5671219303635464,1.3888509273529053,233.8230963856557,93.83928037434816
81,-4.812191009521484,-409.4456713840884,1.92487633228302,1.92487633228302,164.196436971426,-1.3400636911392212,-172.1504476800504,0.5360254645347595,0.5360254645347595,68.96830572932959,3.472127318382263,1.3888508677482605,237.29522370403802,95.22813124209642
82,-5.870940280938157,-415.3166116650265,2.316226959228516,2.316226959228516,166.51266393065453,-2.350620071738058,-174.50106775178847,0.9273760914802552,0.9273760914802552,69.89568182080984,3.5203202092000994,1.388850867748261,240.81554391323806,96.61698210984468
83,-1.3060076378082115,-416.6226193028347,1.2962795495986938,1.2962795495986938,167.80894348025322,0.0,-174.50106775178847,0.0,0.0,69.89568182080984,1.3060076378082115,1.2962795495986938,242.12155155104625,97.91326165944338
84,-2.072352886199951,-418.6949721890347,2.072352886199951,2.072352886199951,169.88129636645317,-0.6835018992424011,-175.18456965103087,0.6835018992424011,0.6835018992424011,70.57918372005224,1.38885098695755,1.38885098695755,243.5104025380038,99.30211264640093
85,-1.262409806251526,-419.9573819952862,1.262409806251526,1.262409806251526,171.1437061727047,0.0,-175.18456965103087,0.0,0.0,70.57918372005224,1.262409806251526,1.262409806251526,244.77281234425533,100.56452245265245
86,-1.1867257356643677,-421.14410773095057,1.1867257356643677,1.1867257356643677,172.33043190836906,0.0,-175.18456965103087,0.0,0.0,70.57918372005224,1.1867257356643677,1.1867257356643677,245.9595380799197,101.75124818831682
87,-3.8342552185058594,-424.9783629494564,1.5337021350860596,1.5337021350860596,173.86413404345512,-0.3621279597282409,-175.5466976107591,0.1448511779308319,0.1448511779308319,70.72403489798307,3.4721272587776184,1.3888509571552277,249.43166533869731,103.14009914547205
88,-4.051455497741699,-429.0298184471981,1.620582103729248,1.620582103729248,175.48471614718437,-0.5793278813362122,-176.12602549209532,0.2317311465740203,0.2317311465740203,70.9557660445571,3.472127616405487,1.3888509571552277,252.9037929551028,104.52895010262728
89,-4.595282554626465,-433.6251010018246,1.838112950325012,1.838112950325012,177.32282909750938,-1.123155117034912,-177.24918060913024,0.4492620527744293,0.4492620527744293,71.40502809733152,3.4721274375915527,1.3888508975505827,256.37592039269435,105.91780100017786
90,-5.645791053771973,-439.27089205559656,2.2583165168762207,2.2583165168762207,179.5811456143856,-2.17366361618042,-179.42284422531066,0.8694654703140259,0.8694654703140259,72.27449356764555,3.4721274375915527,1.3888510465621948,259.8480478302859,107.30665204674006
91,-5.288081169128418,-444.558973224725,2.115232467651367,2.115232467651367,181.69637808203697,-1.8159537315368648,-181.23879795684752,0.7263814806938171,0.7263814806938171,73.00087504833937,3.472127437591553,1.38885098695755,263.32017526787746,108.6955030336976
92,-5.3737640380859375,-449.9327372628109,2.149505615234375,2.149505615234375,183.84588369727132,-1.901636838912964,-183.14043479576048,0.7606547474861145,0.7606547474861145,73.76152979582548,3.4721271991729736,1.3888508677482605,266.79230246705043,110.08435390144584
93,-5.513457298278809,-455.4461945610897,2.205382823944092,2.205382823944092,186.05126652121544,-2.0413296222686768,-185.1817644180292,0.8165318369865417,0.8165318369865417,74.57806163281202,3.472127676010132,1.38885098695755,270.2644301430605,111.47320488840342
94,-5.879992961883545,-461.32618752297327,2.351997137069702,2.351997137069702,188.40326365828517,-2.407865524291992,-187.58962994232115,0.9631462097167968,0.9631462097167968,75.54120784252882,3.4721274375915527,1.3888509273529053,273.7365575806521,112.86205581575635
95,-4.78849983215332,-466.1146873551266,1.9153999090194704,1.9153999090194704,190.3186635673046,-1.3163723945617676,-188.9060023368829,0.5265489816665649,0.5265489816665649,76.06775682419538,3.4721274375915527,1.3888509273529055,277.2086850182437,114.25090674310923
96,-4.603936672210693,-470.7186240273373,1.8415746688842771,1.8415746688842771,192.1602382361889,-1.1318094730377195,-190.03781180992064,0.4527237713336944,0.4527237713336944,76.52048059552908,3.4721271991729736,1.3888508975505827,280.68081221741664,115.63975764065981
97,-4.5256455843547885,-475.24426961169206,1.8058457374572756,1.8058457374572756,193.96608397364616,-1.0450342273241855,-191.0828460372448,0.4169947803020477,0.4169947803020477,76.93747537583113,3.480611357030603,1.3888509571552279,284.16142357444727,117.02860859781504
98,-4.637037305364144,-479.8813069170562,1.805453896522522,1.805453896522522,195.7715378701687,-1.0699821403584984,-192.1528281776033,0.4166029393672943,0.4166029393672943,77.35407831519842,3.5670551650056455,1.3888509571552277,287.72847873945284,118.41745955497026
99,-4.770890191154376,-484.65219710821054,1.8076807260513303,1.8076807260513303,197.57921859622,-1.1053892770909517,-193.25821745469423,0.4188297688961029,0.4188297688961029,77.77290808409452,3.6655009140634247,1.3888509571552274,291.39397965351634,119.80631051212546
100,-4.87009403402044,-489.522291142231,1.8240113258361816,1.8240113258361816,199.4032299220562,-1.1618743310733637,-194.4200917857676,0.4351603388786316,0.4351603388786316,78.20806842297316,3.7082197029470763,1.38885098695755,295.1021993564634,121.19516149908304
101,-5.079694002964365,-494.6019851451953,1.9166030883789065,1.9166030883789065,201.3198330104351,-1.398734699662858,-195.8188264854305,0.5277521014213562,0.5277521014213562,78.73582052439451,3.6809593033015067,1.3888509869575503,298.7831586597648,122.58401248604059
102,-4.749564912706592,-499.35155005790193,1.8433905839920044,1.8433905839920044,203.1632235944271,-1.171138350358058,-196.98996483578856,0.4545396268367767,0.4545396268367767,79.19036015123129,3.5784265623485343,1.3888509571552277,302.3615852221134,123.97286344319582
103,-4.205031503237477,-503.5565815611394,1.678296685218811,1.678296685218811,204.84152027964592,-0.7252167385432812,-197.71518157433184,0.2894458174705505,0.2894458174705505,79.47980596870184,3.479814764694196,1.3888508677482605,305.8413999868076,125.36171431094408
104,-1.5944784617520895,-505.1510600228915,1.4636319875717163,1.4636319875717163,206.30515226721764,-0.0814663732949043,-197.79664794762675,0.074781060218811,0.074781060218811,79.55458702892065,1.5130120884571852,1.3888509273529053,307.35441207526475,126.75056523829699
105,-1.9301567513519449,-507.0812167742434,1.769849181175232,1.769849181175232,208.07500144839287,-0.415507984938273,-198.21215593256505,0.3809983134269714,0.3809983134269714,79.93558534234762,1.5146487664136719,1.3888508677482605,308.86906084167833,128.13941610604525
106,-1.5183672739684655,-508.5995840482119,1.3751542568206787,1.3751542568206787,209.45015570521355,0.0,-198.21215593256505,0.0,0.0,79.93558534234762,1.5183672739684655,1.3751542568206787,310.38742811564686,129.51457036286592
107,-1.183367505417478,-509.7829515536294,1.0820139646530151,1.0820139646530151,210.53216966986656,0.0,-198.21215593256505,0.0,0.0,79.93558534234762,1.183367505417478,1.0820139646530151,311.57079562106435,130.59658432751894
108,-4.836305819047266,-514.6192573726767,1.8641234636306765,1.8641234636306765,212.39629313349724,-1.2330529300040856,-199.4452088625691,0.4752724766731262,0.4752724766731262,80.41085781902075,3.6032528890431803,1.3888509869575503,315.1740485101076,131.9854353144765
109,-3.4982333183288574,-518.1174906910055,1.399293303489685,1.399293303489685,213.79558643698687,-0.0261059924960136,-199.47131485506512,0.0104423966258764,0.0104423966258764,80.42130021564662,3.472127325832844,1.3888509068638086,318.6461758359404,133.37428622134024
110,-3.6753487586975098,-521.792839449703,1.470139503479004,1.470139503479004,215.26572594046596,-0.2032215595245361,-199.67453641458965,0.0812886208295822,0.0812886208295822,80.5025888364762,3.4721271991729736,1.3888508826494217,322.1183030351134,134.76313710398975
