time_step,reward,cumulative_reward,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-3.1730923652648926,-3.1730923652648926,1.2692369222640991,1.2692369222640991,1.2692369222640991
1,-1.0500664710998535,-4.223158836364746,0.42002660036087036,0.42002660036087036,1.6892635226249695
2,-1.0441349744796753,-5.267293810844421,0.41765397787094116,0.41765397787094116,2.1069175004959106
3,-1.0514752864837646,-6.318769097328186,0.4205901026725769,0.4205901026725769,2.5275076031684875
4,-1.0991977453231812,-7.417966842651367,0.4396790862083435,0.4396790862083435,2.967186689376831
5,-1.2727737426757812,-8.690740585327148,0.5091094970703125,0.5091094970703125,3.4762961864471436
6,-2.3281569480895996,-11.018897533416748,0.931262731552124,0.931262731552124,4.407558917999268
7,-1.4851012229919434,-12.503998756408691,0.5940405130386353,0.5940405130386353,5.001599431037903
8,-4.590189568533333,-17.094188324942024,1.8183987140655518,1.8183987140655518,6.819998145103455
9,-4.175551915278751,-21.269740240220777,1.6428214311599731,1.6428214311599731,8.462819576263428
10,-2.3331738850901727,-23.60291412531095,0.8982958197593689,0.8982958197593689,9.361115396022797
11,-0.5835094451904297,-24.18642357050138,0.5835094451904297,0.5835094451904297,9.944624841213226
12,-0.5446231961250305,-24.73104676662641,0.21784928441047668,0.21784928441047668,10.162474125623703
13,0.0,-24.73104676662641,0.0,0.0,10.162474125623703
14,0.0,-24.73104676662641,0.0,0.0,10.162474125623703
15,-1.6248708963394165,-26.355917662965826,0.6499483585357666,0.6499483585357666,10.81242248415947
16,-0.7671999335289001,-27.123117596494726,0.3068799674510956,0.3068799674510956,11.119302451610565
17,-1.2371268272399902,-28.360244423734716,0.4948507249355316,0.4948507249355316,11.614153176546097
18,-2.074021816253662,-30.43426623998838,0.829608678817749,0.829608678817749,12.443761855363846
19,-2.4632890224456787,-32.897555262434054,0.9853156208992004,0.9853156208992004,13.429077476263046
20,-2.680145502090454,-35.57770076452451,1.0720582008361816,1.0720582008361816,14.501135677099228
21,-4.908985614776611,-40.48668637930112,1.9635943174362183,1.9635943174362183,16.464729994535446
22,-4.92262077331543,-45.40930715261655,1.9690483808517456,1.9690483808517456,18.43377837538719
23,-5.094852447509766,-50.504159600126314,2.0379409790039062,2.0379409790039062,20.471719354391098
24,-1.0576974153518677,-51.56185701547818,0.4230789840221405,0.4230789840221405,20.89479833841324
25,-1.0500664710998535,-52.611923486578036,0.42002660036087036,0.42002660036087036,21.31482493877411
26,-1.0733014870443298,-53.68522497362237,0.41765397787094116,0.41765397787094116,21.73247891664505
27,-3.0787375709413327,-56.763962544563704,1.1893105506896973,1.1893105506896973,22.921789467334747
28,-1.1570403933998479,-57.92100293796355,0.4396790862083435,0.4396790862083435,23.36146855354309
29,-1.3271987903378126,-59.24820172830136,0.5091094970703125,0.5091094970703125,23.870578050613403
30,-1.1710096597671509,-60.41921138806851,0.4684038460254669,0.4684038460254669,24.33898189663887
31,-1.3437061309814453,-61.76291751904996,0.5374824404716492,0.5374824404716492,24.87646433711052
32,-1.4508332014083862,-63.21375072045834,0.5803332924842834,0.5803332924842834,25.456797629594803
33,-1.1740030142365943,-64.38775373469494,0.455826997756958,0.455826997756958,25.91262462735176
34,-0.4706370853887734,-64.85839082008371,0.18218529224395752,0.18218529224395752,26.09480991959572
