episode,episode_reward,actor_loss,critic_loss,exploration_noise
1,-6459.693424284458,,,0.199
2,-4325.810273284093,6.146087971865995,64.06176905099787,0.19800500000000001
3,-2573.624298067647,10.460375534476757,37.473208610471,0.197014975
4,-2166.0233387252083,14.309278830367766,28.408501224491296,0.19602990012500002
5,-2218.8506268167403,16.8334889710364,21.586123755644692,0.19504975062437502
6,-1823.7325456158142,18.51954959529829,16.620775181660235,0.19407450187125314
7,-1730.5811245167279,19.20107794802776,12.32828474144279,0.19310412936189686
8,-1764.882970242198,19.7095411351062,10.231468421859104,0.19213860871508737
9,-1784.531372791389,20.371168839583312,9.250997162661069,0.19117791567151193
10,-1948.5399085023673,20.882199776852413,8.941534045674373,0.19022202609315436
11,-2088.7530704331584,21.048000118165422,9.466653188843388,0.18927091596268858
12,-2272.2628409466706,21.25730648757022,9.102683999773856,0.18832456138287512
13,-2445.3858104331885,20.898284301970033,9.675741053754995,0.18738293857596075
14,-2061.6891877740272,20.83553305985367,10.3384771595744,0.18644602388308096
15,-1788.1015942830127,20.367173915114954,10.435462549764026,0.18551379376366556
16,-1656.192039139336,19.585203775610147,10.522366563534371,0.18458622479484724
17,-1558.6075410130434,18.75506989713836,10.044551445147922,0.183663293670873
18,-1361.7652565399185,17.96328019631589,9.937355543542472,0.18274497720251864
19,-1320.7015401169192,17.09103704327834,9.889304397169175,0.18183125231650604
20,-1361.885818572715,16.370569219841247,9.670364620954171,0.18092209605492351
21,-1372.1717102285475,15.511785940931636,9.528395805637428,0.1800174855746489
22,-1511.5680180758936,14.52345185551756,9.312999122166003,0.17911739814677563
23,-1790.6493691648357,13.62938292268586,9.430822783285786,0.17822181115604174
24,-2047.0807102713734,13.114717987548659,9.322304650374347,0.17733070210026153
25,-2279.3674598780926,13.129822741629186,9.792958087151836,0.17644404858976023
26,-2389.0641671273625,13.2789190501928,10.341523547497513,0.17556182834681144
27,-2300.738249415299,13.442755677935477,10.792419339751667,0.1746840192050774
28,-2163.3716532755643,13.637534027470998,11.149022456502053,0.173810599109052
29,-1999.6689925811952,13.96956209678809,10.962140697099901,0.17294154611350673
30,-1815.9859990443802,14.508377926737609,10.886151321740078,0.1720768383829392
31,-1692.0624297920149,15.053926771638787,11.489270496434727,0.1712164541910245
32,-1675.9068333402392,15.495487442600213,11.089606246961505,0.17036037192006936
33,-1764.1285321204923,15.785873009863417,10.115499268984099,0.16950857006046902
34,-1957.6166593558155,16.125066869945286,10.542673451844111,0.16866102721016668
35,-2055.0385178463766,16.250258492163393,9.814512256123592,0.16781772207411585
36,-2101.464739009505,16.475772727679807,10.752749807148218,0.16697863346374528
37,-2161.755119978974,16.761555054920606,10.686368100003175,0.16614374029642656
38,-1994.4829542789957,17.026870520622243,11.394914493109818,0.16531302159494443
39,-1745.3269340140978,17.248617034296664,10.6758043600223,0.16448645648696972
40,-1603.2458945900871,17.27218765343678,10.910579891629279,0.16366402420453488
