episode,episode_reward,actor_loss,critic_loss,exploration_noise
1,-4169.772987604141,,,0.199
2,-2618.5129876527935,4.669946918556794,3.5820987039926653,0.19800500000000001
3,-1345.69840333506,7.573957299987199,2.58353430173659,0.197014975
4,-1317.3460625194712,11.226422848389776,2.674682262046612,0.19602990012500002
5,-1318.2519215657376,14.777999633873952,2.610471946473579,0.19504975062437502
6,-1336.2053305626614,18.07608536785269,2.696570668830659,0.19407450187125314
7,-1305.004513061489,21.11994731674937,2.671251381886022,0.19310412936189686
8,-1315.1300640953705,24.07891763732231,2.652785653033409,0.19213860871508737
9,-1325.9553252137266,26.65733365787087,2.7929822335820207,0.19117791567151193
10,-1315.1060147121316,29.16073226398155,2.950170558914853,0.19022202609315436
11,-1332.9879185333848,31.462885197412653,3.0892673717586323,0.18927091596268858
12,-1303.2359432460507,33.711058909770344,3.2673942066200587,0.18832456138287512
13,-1297.6857057627058,35.857344164470305,3.346600049062631,0.18738293857596075
14,-1318.5683631440625,37.963049420395215,3.484967472821847,0.18644602388308096
15,-1316.3275194675662,39.91764394364868,3.600517712979058,0.18551379376366556
16,-1324.319085286581,41.66699764161515,3.605390180632866,0.18458622479484724
17,-1312.009290778893,43.39830878182147,3.8359121153848723,0.183663293670873
18,-1310.1395299020223,45.154929096078675,3.873642292573157,0.18274497720251864
19,-1308.7655158126727,46.738690680025016,3.967641871894019,0.18183125231650604
20,-1309.0122523545288,48.0996128183081,3.97018790526914,0.18092209605492351
21,-1300.3673640901688,49.5175293775195,4.05967695606932,0.1800174855746489
22,-1301.1547141264891,50.9346891623379,4.168092071927141,0.17911739814677563
23,-1293.4877231308492,52.34501889882731,4.138124738183904,0.17822181115604174
24,-1291.4947922714055,53.736342301454926,4.085490517390785,0.17733070210026153
25,-1286.7518870480126,54.91565730873501,4.297982071636449,0.17644404858976023
26,-1300.4288086154265,56.02649904126418,4.279414012468574,0.17556182834681144
27,-1304.2355851905886,57.13625317123901,4.322204836883864,0.1746840192050774
28,-1305.8566626443644,58.04196978212232,4.234656950694629,0.173810599109052
29,-1297.7378565327963,59.05438061052304,4.353798396895757,0.17294154611350673
30,-1299.0161863046233,60.270178103811716,4.603365437709241,0.1720768383829392
