episode,fixed_energy,fixed_cost,q_energy,q_cost,energy_sav,energy_sav_%,cost_sav,cost_sav_%,energy_better,cost_better
1,570.9602326494297,139.11401809377588,524.4760727340206,139.02573769182607,46.48415991540912,8.141400619042843,0.08828040194981668,0.06345902674618126,True,True
2,603.1791990177,131.75442149540106,515.5685344767982,123.79172221016563,87.61066454090178,14.524815292632612,7.962699285235431,6.043591702547434,True,True
3,693.8750305948779,192.83265767781995,644.3842985732481,187.34188487753272,49.49073202162981,7.132513758161908,5.490772800287232,2.8474288880367347,True,True
4,598.3027009677562,140.04068020780744,527.7967382159504,135.89229151341772,70.50596275180578,11.784329677563246,4.148388694389723,2.9622740251146293,True,True
5,633.9004910110946,174.71833783541956,590.5108907639499,164.31393249331018,43.3896002471447,6.844859857725728,10.404405342109385,5.95495897626389,True,True
6,404.6716151603032,74.56146386853652,350.64949958678335,69.43060598982265,54.02211557351984,13.34961819650236,5.130857878713869,6.881380290172911,True,True
7,525.5268053711594,124.9209802975429,464.7587198552187,117.41820011770052,60.7680855159407,11.56327039741056,7.502780179842375,6.006020895746965,True,True
8,534.0876588625969,129.60357334701015,477.2948658428073,122.60533850416766,56.79279301978954,10.63360893616912,6.998234842842493,5.399723682081591,True,True
9,586.4574474012783,156.73087289155166,516.559476772588,149.88115193974204,69.89797062869025,11.918677295074605,6.849720951809616,4.37037121368501,True,True
10,435.62078687602707,68.06422449883095,331.9224312856853,59.82274997655325,103.69835559034175,23.804730792117404,8.241474522277706,12.108379376921071,True,True
11,402.06564319134134,72.80759742723367,316.83639404306336,64.67828632963702,85.22924914827797,21.197844330040837,8.129311097596656,11.16547089158018,True,True
12,414.4568810529238,80.14308574762498,344.8387502237417,73.62462385723609,69.61813082918206,16.797436358715498,6.518461890388892,8.133529960296125,True,True
13,404.5649843759571,100.08309068042094,377.7618443242942,95.41662885094651,26.803140051662922,6.6251754567951195,4.666461829474429,4.6625876536677735,True,True
14,339.3385201220801,58.02423806157927,277.6132718439843,52.52257309035834,61.72524827809582,18.1898737154537,5.501664971220926,9.481666894759021,True,True
15,428.2613576429337,100.53074284770257,346.8377205216009,91.94580883412702,81.42363712133283,19.012604258640685,8.584934013575548,8.539610640877443,True,True
16,359.0594487994498,76.9448751601367,318.15711300375017,72.11834845721701,40.90233579569963,11.391521914396227,4.826526702919693,6.272707172342261,True,True
17,441.4415019712583,104.46698227613656,403.7988990374741,101.84448837687945,37.64260293378419,8.527200719844203,2.6224938992571083,2.5103567099555875,True,True
18,530.307289335307,128.37364309838495,479.777326939178,125.09845075470889,50.52996239612901,9.5284306688418,3.2751923436760535,2.5512965626175785,True,True
19,591.2674644121604,159.7744371081235,556.8992620773578,154.51593486973707,34.36820233480262,5.812632083345153,5.258502238386427,3.291203732939996,True,True
20,631.6746687093059,172.03939187492168,589.0234812931399,164.3516088622603,42.65118741616607,6.752081336950678,7.687783012661384,4.4686178722665195,True,True
21,837.5977371973656,226.45773779649764,798.7472250206135,224.43394121483445,38.85051217675209,4.6383258277114505,2.0237965816631913,0.8936751737235146,True,True
22,751.539382584393,200.29440557482303,710.3011412844062,196.2632825462788,41.23824129998684,5.487169702029028,4.031123028544243,2.0125989125733996,True,True
23,731.1430500332491,199.34477651462618,716.3845170304404,200.0062336521001,14.75853300280869,2.0185561501456575,-0.6614571374739171,-0.3318156357236605,True,False
24,744.1593276839703,212.79797105189937,725.1893437039107,210.63185928360326,18.969983980059624,2.54918312172468,2.166111768296105,1.0179193709360186,True,True
25,769.6093103687729,202.64331030927056,730.4015567110611,198.1624235236664,39.207753657711805,5.0945009538573105,4.480886785604156,2.2112187067836127,True,True
26,855.4585520597329,206.37287351018358,789.6466328783597,206.9506402126948,65.81191918137324,7.693174499561012,-0.5777667025112123,-0.2799625225370049,True,False
27,559.8957292611144,130.2106108067905,504.9806853350167,128.31030888654044,54.915043926097724,9.808084087115336,1.9003019202500582,1.459406348281224,True,True
28,546.5831754896501,131.78957850508814,529.9117023905001,134.85616814833554,16.671473099150035,3.050125552111093,-3.066589643247397,-2.326883261963693,True,False
29,502.1984415819519,104.83285774497492,456.1636422978846,99.8869018697471,46.034799284067276,9.166655145136492,4.94595587522781,4.717944336936566,True,True
30,708.559147340944,160.49310731262085,651.7045834937599,157.93325565339183,56.85456384718418,8.023968649695089,2.5598516592290252,1.594991649231857,True,True
31,652.4754729273386,123.13592605724143,549.6842021078087,119.40101780163444,102.79127081952993,15.754043651381366,3.734908255606996,3.0331588637021922,True,True
32,434.1381359713814,49.08517004550049,313.6495241831253,38.09363822045816,120.4886117882561,27.753519399686823,10.99153182504233,22.392775281930383,True,True
33,410.7746590652969,35.27329771051882,301.894932102412,26.326873819634784,108.87972696288489,26.505950296602236,8.946423890884034,25.36316270824922,True,True
34,376.8763649652805,30.849387154756837,286.5797195386049,30.646342685823324,90.29664542667564,23.959222127127596,0.2030444689335127,0.6581799110463177,True,True
35,297.6436861256706,-51.25171369189029,201.05010712103916,-50.57125804546904,96.59357900463147,32.45275593175119,-0.680455646421251,,True,False
36,363.5288684819382,-3.769679609165676,262.1258372757537,-6.566287260418672,101.4030312061845,27.894079397224726,2.7966076512529963,,True,False
37,298.21484785957256,-47.72202868996021,211.37809996969992,-52.86686014748477,86.83674788987264,29.118854581903147,5.14483145752456,,True,False
38,320.4992804008257,-12.683687972943304,236.91167393233627,-14.516560211137403,83.58760646848941,26.08043499004189,1.8328722381940992,,True,False
39,269.0417631807574,-22.060614663069416,212.93419054465596,-33.43780783681226,56.10757263610145,20.854595945539213,11.377193173742846,,True,False
40,462.5070241109046,84.42168005141451,383.7660366802295,75.9554016599447,78.74098743067509,17.024819802908286,8.466278391469814,10.028559472298678,True,True
41,297.1388110394612,-30.61246198006048,232.81471064228634,-33.28147983930577,64.32410039717485,21.64782855937064,2.6690178592452867,,True,False
42,423.8800041115756,52.43058648085761,379.4951734214152,49.74539208912947,44.38483069016041,10.471083858552866,2.685194391728146,5.121427342241364,True,True
43,320.0777803934385,9.530348705169118,249.55667148183522,-1.6632543518377254,70.52110891160328,22.032491235386278,11.193603057006843,117.45218777709154,True,True
44,309.4193922906547,19.86251902624686,253.38906675727958,10.95806890607533,56.030325533375105,18.108213941788993,8.904450120171532,44.83041707048816,True,True
45,368.2703517438099,34.806080109052445,305.07549094643446,32.920779465717814,63.19486079737544,17.159909967810126,1.8853006433346309,5.416584221571959,True,True
46,479.21934366318783,75.99340507229671,408.0194184901138,64.9810809010395,71.199925173074,14.857481467425032,11.012324171257205,14.49115770083019,True,True
47,664.548699346371,178.00025387771893,658.1071498626843,182.3911546355812,6.441549483686686,0.9693118788769565,-4.390900757862255,-2.4667946602360904,True,False
48,477.560099680908,102.25120191695169,420.0598415005952,102.51033855527203,57.50025818031281,12.04042343963259,-0.25913663832034217,-0.25343138609833915,True,False
49,780.0808145105839,237.21871182718314,757.0403855443001,228.92653828300536,23.040428966283798,2.9535951324144754,8.292173544177786,3.495581558599281,True,True
50,654.5099585726857,179.48401484782516,609.9395704045892,175.46141691871162,44.57038816809654,6.809734150614431,4.0225979291135445,2.2412012192417743,True,True
51,672.9276308305562,180.07165117037948,627.8834114670753,178.20408517150645,45.044219363480806,6.693768735262854,1.867565998873033,1.0371238263961866,True,True
52,641.3194422647357,168.56865771018784,599.4076878800988,165.27161196892848,41.91175438463688,6.535238388630633,3.2970457412593532,1.9559067421227314,True,True
