policy,avg_energy_import,avg_cost,energy_sav,energy_sav_%,cost_sav,cost_sav_%
fixed_baseline,571.1921193708695,138.69221812075784,0.0,0.0,0.0,0.0
q_learning_1204_10,524.2473343287608,96.08800969997154,46.94478504210872,8.21873822310702,42.60420842078631,30.71852840632434
