policy,avg_energy_import,avg_cost,energy_sav,energy_sav_%,cost_sav,cost_sav_%
fixed_baseline,571.1921193708695,138.69221812075784,0.0,0.0,0.0,0.0
q_learning_1204_11,544.7297533390398,95.02680051963117,26.462366031829674,4.632831079843369,43.66541760112668,31.483682496957154
