policy_x,hour,fixed_avg_energy_import,fixed_avg_cost,fixed_avg_load,fixed_avg_solar_generation,fixed_avg_soc,fixed_avg_action,policy_y,q_avg_energy_import,q_avg_cost,q_avg_load,q_avg_solar_generation,q_avg_soc,q_avg_action,energy_delta,cost_delta,energy_delta_%,cost_delta_%
fixed,1,4.159426783071602,0.8903639768122918,0.7686807491949627,0.0,0.0,0.0,q_agent,4.107641389525739,0.8013409547870421,0.7686807491949627,0.0,0.1857178942003844,-0.05054515796703297,0.0517853935458632,0.0890230220252497,1.2450127444633456,9.9984977316774
fixed,2,3.7908858782309993,0.8106455710877802,0.8739230409673937,0.0,0.0,0.0,q_agent,3.336940471257472,0.6434434032776447,0.8739230409673937,0.0,0.15647396277511558,-0.09025154532967034,0.45394540697352737,0.16720216781013553,11.97465240460784,20.625804145919417
fixed,3,3.507186600790189,0.7489021294363445,0.831245398988108,0.0,0.0,0.0,q_agent,3.9391960146730667,0.7915300876167085,0.831245398988108,0.0,0.16376642888093015,-0.03777472527472527,-0.4320094138828776,-0.04262795818036402,-12.317833724203423,-5.692059950803936
fixed,4,3.6469185747273087,0.7775147282488707,0.860962109261571,0.0,0.0,0.0,q_agent,3.1034519919816006,0.6157238685380615,0.860962109261571,0.0,0.1513113260506953,-0.06438873626373626,0.5434665827457081,0.1617908597108092,14.902076139343055,20.80871960781975
fixed,5,3.68141880517005,0.7846319523982157,0.9581521307374095,0.0,0.0,0.0,q_agent,3.3008485084228654,0.6512966179975792,0.9581521307374095,0.0,0.1214225359206986,-0.0832760989010989,0.3805702967471847,0.1333353344006365,10.337598542516425,16.993360261852587
fixed,6,3.8151563838756344,0.8118690379876883,1.1068021161379396,0.03029768769104791,0.0,0.0,q_agent,3.0069339491641327,0.5915302243022031,1.1068021161379396,0.03029768769104791,0.08209601563032845,-0.09443681318681318,0.8082224347115017,0.22033881368548514,21.18451652800841,27.13969906176253
fixed,7,2.7412946978686277,0.5813921007251498,0.8197983119350213,0.4261745538586203,0.0,0.0,q_agent,2.6357261196065407,0.5041775132338064,0.8197983119350213,0.4261745538586203,0.06351497446633073,-0.05580357142857143,0.10556857826208699,0.07721458749134336,3.8510481322627284,13.280983246080627
fixed,8,1.2474780347976056,0.14596521639000307,0.8898952867794823,1.1810868007391895,0.0,0.0,q_agent,1.156573910491316,-0.0017669337000800194,0.8898952867794823,1.1810868007391895,0.04169579231283633,-0.07791037087912088,0.09090412430628958,0.1477321500900831,7.287032057525416,101.21051695998516
fixed,9,0.6070514814007085,-0.2953545308471523,1.0919451055290934,1.824028644894997,0.0,0.0,q_agent,1.0654654223062507,-0.1496541170792905,1.0919451055290934,1.824028644894997,0.06733775779021316,-0.0012877747252747253,-0.4584139409055422,-0.1457004137678618,-75.51483769511599,
fixed,10,0.4155722799721164,-0.5215060215236568,1.436416619017229,2.347712306019205,0.0,0.0,q_agent,1.0305547858434883,-0.1975723730386932,1.436416619017229,2.347712306019205,0.12518569773039798,0.004077953296703297,-0.6149825058713718,-0.32393364848496353,-147.9844868172235,
fixed,11,0.39892035438218615,-0.8138580227030936,1.384553238094508,2.6356081658421635,0.0,0.0,q_agent,1.694387742676414,0.09066536438283268,1.384553238094508,2.6356081658421635,0.2629765629057407,0.11815333104395605,-1.2954673882942278,-0.9045233870859263,-324.74336645482464,
fixed,12,0.420912498198859,-0.9641511388238011,1.482636778482369,2.7446095398729566,0.0,0.0,q_agent,1.5368470954452897,-0.2491520099859142,1.482636778482369,2.7446095398729566,0.3348699107965721,0.03970638736263736,-1.1159345972464307,-0.714999128837887,-265.1227041301136,
