episode,fixed_energy,ql_energy,energy_sav_%,fixed_cost,ql_cost,cost_sav_%
1,570.96,846.302,-48.22,139.114,245.4674,-76.45
2,603.179,710.21,-17.74,131.7544,188.0227,-42.71
3,693.875,747.146,-7.68,192.8327,191.6493,0.61
4,598.303,705.994,-18.0,140.0407,182.4622,-30.29
5,633.9,691.028,-9.01,174.7183,158.9939,9.0
6,404.672,711.013,-75.7,74.5615,138.6742,-85.99
7,525.527,786.539,-49.67,124.921,200.3238,-60.36
8,534.088,710.695,-33.07,129.6036,156.4117,-20.68
9,586.457,698.684,-19.14,156.7309,181.6463,-15.9
10,435.621,490.71,-12.65,68.0642,91.0223,-33.73
11,402.066,606.151,-50.76,72.8076,137.0556,-88.24
12,414.457,602.557,-45.38,80.1431,141.5593,-76.63
13,404.565,680.7,-68.25,100.0831,175.5202,-75.37
14,339.339,497.469,-46.6,58.0242,78.2491,-34.86
15,428.261,442.485,-3.32,100.5307,77.9885,22.42
16,359.059,527.084,-46.8,76.9449,90.1667,-17.18
17,441.442,476.543,-7.95,104.467,109.1139,-4.45
18,530.307,390.405,26.38,128.3736,70.093,45.4
19,591.267,469.481,20.6,159.7744,105.7019,33.84
20,631.675,434.272,31.25,172.0394,86.8909,49.49
21,837.598,521.903,37.69,226.4577,111.8253,50.62
22,751.539,594.432,20.9,200.2944,137.5083,31.35
23,731.143,667.635,8.69,199.3448,168.4625,15.49
24,744.159,714.208,4.02,212.798,175.0807,17.72
25,769.609,906.393,-17.77,202.6433,229.7996,-13.4
26,855.459,828.609,3.14,206.3729,209.4174,-1.48
27,559.896,795.003,-41.99,130.2106,208.0306,-59.76
28,546.583,802.498,-46.82,131.7896,210.9399,-60.06
29,502.198,838.516,-66.97,104.8329,210.4189,-100.72
30,708.559,917.142,-29.44,160.4931,225.6933,-40.62
31,652.475,648.445,0.62,123.1359,144.5763,-17.41
32,434.138,622.516,-43.39,49.0852,138.1658,-181.48
33,410.775,592.898,-44.34,35.2733,119.756,-239.51
34,376.876,772.77,-105.05,30.8494,173.0693,-461.01
35,297.644,703.101,-136.22,-51.2517,130.4108,N/A
36,363.529,500.663,-37.72,-3.7697,55.8042,N/A
37,298.215,445.666,-49.44,-47.722,42.1777,N/A
38,320.499,426.831,-33.18,-12.6837,38.6187,N/A
39,269.042,330.257,-22.75,-22.0606,-44.5396,N/A
40,462.507,390.741,15.52,84.4217,1.9617,97.68
41,297.139,337.867,-13.71,-30.6125,-41.7501,N/A
42,423.88,362.493,14.48,52.4306,-2.5976,104.95
43,320.078,321.163,-0.34,9.5303,-11.5363,221.05
44,309.419,519.965,-68.05,19.8625,101.0559,-408.78
45,368.27,332.029,9.84,34.8061,-23.2768,166.88
46,479.219,473.086,1.28,75.9934,60.9874,19.75
47,664.549,373.894,43.74,178.0003,16.1837,90.91
48,477.56,338.78,29.06,102.2512,29.0221,71.62
49,780.081,414.618,46.85,237.2187,48.6811,79.48
50,654.51,554.044,15.35,179.484,91.2005,49.19
51,672.928,765.007,-13.68,180.0717,190.4597,-5.77
52,641.319,510.782,20.35,168.5687,115.5167,31.47
53,570.96,846.302,-48.22,139.114,245.4674,-76.45
54,603.179,710.21,-17.74,131.7544,188.0227,-42.71
55,693.875,747.146,-7.68,192.8327,191.6493,0.61
56,598.303,705.994,-18.0,140.0407,182.4622,-30.29
57,633.9,691.028,-9.01,174.7183,158.9939,9.0
58,404.672,711.013,-75.7,74.5615,138.6742,-85.99
59,525.527,786.539,-49.67,124.921,200.3238,-60.36
60,534.088,710.695,-33.07,129.6036,156.4117,-20.68
61,586.457,698.684,-19.14,156.7309,181.6463,-15.9
62,435.621,490.71,-12.65,68.0642,91.0223,-33.73
63,402.066,606.151,-50.76,72.8076,137.0556,-88.24
64,414.457,602.557,-45.38,80.1431,141.5593,-76.63
65,404.565,680.7,-68.25,100.0831,175.5202,-75.37
66,339.339,497.469,-46.6,58.0242,78.2491,-34.86
67,428.261,442.485,-3.32,100.5307,77.9885,22.42
68,359.059,527.084,-46.8,76.9449,90.1667,-17.18
69,441.442,476.543,-7.95,104.467,109.1139,-4.45
70,530.307,390.405,26.38,128.3736,70.093,45.4
71,591.267,469.481,20.6,159.7744,105.7019,33.84
72,631.675,434.272,31.25,172.0394,86.8909,49.49
73,837.598,521.903,37.69,226.4577,111.8253,50.62
74,751.539,594.432,20.9,200.2944,137.5083,31.35
75,731.143,667.635,8.69,199.3448,168.4625,15.49
76,744.159,714.208,4.02,212.798,175.0807,17.72
77,769.609,906.393,-17.77,202.6433,229.7996,-13.4
78,855.459,828.609,3.14,206.3729,209.4174,-1.48
79,559.896,795.003,-41.99,130.2106,208.0306,-59.76
80,546.583,802.498,-46.82,131.7896,210.9399,-60.06
81,502.198,838.516,-66.97,104.8329,210.4189,-100.72
82,708.559,917.142,-29.44,160.4931,225.6933,-40.62
83,652.475,648.445,0.62,123.1359,144.5763,-17.41
84,434.138,622.516,-43.39,49.0852,138.1658,-181.48
85,410.775,592.898,-44.34,35.2733,119.756,-239.51
86,376.876,772.77,-105.05,30.8494,173.0693,-461.01
87,297.644,703.101,-136.22,-51.2517,130.4108,N/A
88,363.529,500.663,-37.72,-3.7697,55.8042,N/A
89,298.215,445.666,-49.44,-47.722,42.1777,N/A
90,320.499,426.831,-33.18,-12.6837,38.6187,N/A
91,269.042,330.257,-22.75,-22.0606,-44.5396,N/A
92,462.507,390.741,15.52,84.4217,1.9617,97.68
93,297.139,337.867,-13.71,-30.6125,-41.7501,N/A
94,423.88,362.493,14.48,52.4306,-2.5976,104.95
95,320.078,321.163,-0.34,9.5303,-11.5363,221.05
96,309.419,519.965,-68.05,19.8625,101.0559,-408.78
97,368.27,332.029,9.84,34.8061,-23.2768,166.88
98,479.219,473.086,1.28,75.9934,60.9874,19.75
99,664.549,373.894,43.74,178.0003,16.1837,90.91
100,477.56,338.78,29.06,102.2512,29.0221,71.62
