policy,avg_energy_import,avg_cost,energy_sav,energy_sav_%,cost_sav,cost_sav_%
fixed_baseline,514.7199417914748,103.41955462002319,0.0,0.0,0.0,0.0
q_learning_1204_11,588.5440167958097,116.90415305816445,-73.82407500433499,-14.342571369469667,-13.484598438141262,-13.038731879754673
