episode,fixed_energy,ql_energy,energy_sav_%,fixed_cost,ql_cost,cost_sav_%
1,570.96,610.862,-6.99,139.114,146.7277,-5.47
2,603.179,633.065,-4.95,131.7544,143.2359,-8.71
3,693.875,749.601,-8.03,192.8327,207.1841,-7.44
4,598.303,682.467,-14.07,140.0407,159.7999,-14.11
5,633.9,760.429,-19.96,174.7183,202.8558,-16.1
6,404.672,523.67,-29.41,74.5615,108.2409,-45.17
7,525.527,627.358,-19.38,124.921,155.3876,-24.39
8,534.088,611.078,-14.42,129.6036,146.0891,-12.72
9,586.457,662.864,-13.03,156.7309,177.1156,-13.01
10,435.621,463.46,-6.39,68.0642,75.8569,-11.45
11,402.066,431.326,-7.28,72.8076,75.4986,-3.7
12,414.457,437.257,-5.5,80.1431,79.7613,0.48
13,404.565,461.248,-14.01,100.0831,103.8323,-3.75
14,339.339,366.045,-7.87,58.0242,63.053,-8.67
15,428.261,456.133,-6.51,100.5307,103.7442,-3.2
16,359.059,390.261,-8.69,76.9449,82.9437,-7.8
17,441.442,472.853,-7.12,104.467,107.0183,-2.44
18,530.307,538.525,-1.55,128.3736,118.5541,7.65
19,591.267,615.423,-4.09,159.7744,150.6844,5.69
20,631.675,658.354,-4.22,172.0394,159.805,7.11
21,837.598,857.266,-2.35,226.4577,218.0576,3.71
22,751.539,768.573,-2.27,200.2944,192.4838,3.9
23,731.143,745.452,-1.96,199.3448,193.5263,2.92
24,744.159,762.223,-2.43,212.798,208.0859,2.21
25,769.609,804.078,-4.48,202.6433,199.6199,1.49
26,855.459,884.609,-3.41,206.3729,192.6551,6.65
27,559.896,618.203,-10.41,130.2106,122.9292,5.59
28,546.583,583.389,-6.73,131.7896,130.4261,1.03
29,502.198,535.304,-6.59,104.8329,103.5892,1.19
30,708.559,760.867,-7.38,160.4931,160.3099,0.11
31,652.475,695.391,-6.58,123.1359,128.5308,-4.38
32,434.138,464.965,-7.1,49.0852,50.2307,-2.33
33,410.775,464.747,-13.14,35.2733,37.5062,-6.33
34,376.876,436.161,-15.73,30.8494,34.0152,-10.26
35,297.644,330.28,-10.96,-51.2517,-46.7944,N/A
36,363.529,413.153,-13.65,-3.7697,0.6263,N/A
37,298.215,339.42,-13.82,-47.722,-44.7979,N/A
38,320.499,358.952,-12.0,-12.6837,-10.1707,N/A
39,269.042,313.074,-16.37,-22.0606,-16.04,N/A
40,462.507,500.157,-8.14,84.4217,86.4917,-2.45
41,297.139,338.834,-14.03,-30.6125,-30.1466,N/A
42,423.88,485.457,-14.53,52.4306,60.0535,-14.54
43,320.078,365.333,-14.14,9.5303,9.3413,1.98
44,309.419,360.505,-16.51,19.8625,25.9807,-30.8
45,368.27,404.273,-9.78,34.8061,55.0918,-58.28
46,479.219,531.331,-10.87,75.9934,94.3974,-24.22
47,664.549,714.711,-7.55,178.0003,190.5179,-7.03
48,477.56,521.795,-9.26,102.2512,113.4657,-10.97
49,780.081,822.046,-5.38,237.2187,253.9992,-7.07
50,654.51,690.127,-5.44,179.484,192.6575,-7.34
51,672.928,723.9,-7.57,180.0717,199.1786,-10.61
52,641.319,711.29,-10.91,168.5687,183.1835,-8.67
