policy,avg_energy_import,avg_cost,energy_sav,energy_sav_%,cost_sav,cost_sav_%,score_vs_fixed
fixed_baseline,521.3541540896733,106.80094709190283,0.0,0.0,0.0,0.0,0.0
q_learning_weather_occ_best,462.10883698874926,102.15318492266417,59.24531710092407,11.363737420366622,4.647762169238661,4.35179864579219,11.153379257129389
