policy,avg_energy_import,avg_cost,energy_sav,energy_sav_%,cost_sav,cost_sav_%
fixed_baseline,521.3541540896733,106.80094709190283,0.0,0.0,0.0,0.0
q_learning_1204_14,566.502757253724,112.62288149239635,-45.148603164050655,-8.659872144470352,-5.821934400493518,-5.451201097948794
