episode,training_reward,training_energy,training_cost
1,-1008.5465650182697,601.9717331482902,134.4471426025643
2,-997.3331457837245,609.1802745371816,131.55472836991032
3,-1092.762891535338,701.0820924015716,180.580243403856
4,-930.5563669055547,625.3020506673462,137.39735346570103
5,-1000.3989976743202,654.2399281829114,163.43735466486692
6,-723.9957435127934,414.0318587543443,67.36047912549111
7,-844.5645864881195,526.0163962792117,122.35245825564903
8,-801.8789935953953,537.502620617757,120.90242784197551
9,-886.0348132439595,587.6065613349513,137.6527027753907
10,-606.8232277955111,403.5188324227538,51.07692887478802
11,-667.9409304094136,390.8691564846131,58.40713579157985
12,-523.2125249874672,389.6988489333253,62.86140981225211
13,-612.6489580724976,395.5735233887068,85.12651697302012
14,-481.2695277708368,312.99684991684796,40.90945804022689
15,-536.8464407791349,376.02430789497845,82.97901573112897
16,-534.2268701761628,310.77671498850145,55.725145747134796
17,-647.7294974037434,431.3111801514574,94.01640916890888
18,-725.799984613091,503.6965362704483,107.45817013747047
19,-770.8563442379838,575.846133822825,149.77468027109262
20,-829.7629508489972,607.4284519278685,158.73326718146953
21,-1076.9789920502394,821.6209424478673,215.3626580321231
22,-886.6559344566912,723.4426489546895,195.01528866958688
23,-948.9744957477333,731.661774209002,192.6332905339077
24,-944.6711107071193,741.8596806228161,206.2973742838367
25,-963.9843600110044,758.3570634456111,201.75299680192217
26,-1070.816711568461,832.4701964061226,193.87366204114977
27,-722.492890069993,530.8789015847708,114.59618643813653
28,-759.1314862355201,542.9343918210686,127.80756975512094
29,-668.7563856986567,477.0491850775612,98.15695552162012
30,-906.0243096301874,686.8823744086549,147.2114447611675
31,-729.5758586649963,599.6077759794985,116.53703077854762
32,-388.779529883901,335.46193708479404,27.985867891751695
33,-378.7402896513161,320.7355757483747,12.543026652128901
34,-533.8443327655436,354.3287773859129,12.409249287028356
35,-232.55668027619183,219.57503928802907,-64.71890385197085
36,-366.0304630747718,304.47312965754185,-25.998050166340875
37,-282.15003808097816,239.6303878980875,-62.22836861224137
38,-332.6879696501756,247.54491000063717,-27.33488180441782
39,-321.2609814305178,215.04271728065171,-36.78876017714587
40,-588.7277315761285,424.0830673224111,71.25586506328699
41,-366.5853888376942,262.4295542625453,-43.711343484917
42,-607.4569416376365,407.66104138318127,50.561969207410904
43,-366.4859416159004,275.2388869752009,0.29727362558823245
44,-400.74711643626006,260.5512236995801,17.259325685540222
45,-480.2177433720771,321.60853567581626,21.843314854273654
46,-637.8571561767451,431.1697240406593,70.34092288922865
47,-939.8144524077122,650.9768683267757,168.0766644619871
48,-592.5678645150343,415.2418102333322,89.80143979163404
49,-981.3793759671446,778.3354453146458,225.0497947228978
50,-903.1925457849055,638.5729286745191,165.33542098249018
51,-816.141084505729,640.187677655369,169.2072135161652
52,-840.4064856674222,627.0059652253985,163.4624219291727
53,-756.5425690298422,547.7097650880114,136.2461352063296
54,-749.3856375523067,553.163070668582,116.12052378690498
55,-920.2650352272834,674.3962622312829,181.19270713301376
56,-724.6852730535389,560.1245825807533,133.50794183833034
57,-842.8248826263587,617.6987628906484,170.33389639446546
58,-613.2760948465876,368.2057950873859,65.91737125231884
59,-656.7783368410859,484.95150538638393,110.00991215526757
60,-704.9013335488188,485.37618675689714,120.15103756670658
61,-703.0327266728838,548.635466509529,145.79354016313965
62,-482.5236271372881,380.27221731878325,56.44334875645797
63,-439.60869307901663,338.8431828643745,58.913979751781575
64,-451.0167337509327,347.8976276343417,69.48000887627295
65,-566.5474735593461,365.7936355639234,84.39990814497565
66,-415.180441311773,297.14287227005366,46.94935917139628
67,-475.81099448275376,354.72872923115824,84.3313713734605
68,-467.6234144838629,311.32109111487785,63.884817474948505
69,-539.9865384335586,400.041486864631,100.32172000220567
70,-624.353897396156,480.04135303154044,111.74365067527151
71,-744.3208674463331,559.5811254775787,146.8127081171724
72,-755.0729336827255,592.0525262602846,162.94700802411924
73,-1029.3227718623073,811.0257752580308,219.07431602096196
74,-875.1771539332569,712.563627332449,192.9936336267565
75,-915.8818852771003,726.0951321305466,196.1607228804492
76,-891.1059912366308,731.1100037377328,210.3917494287016
77,-901.145497317888,735.2733189793063,197.10719858953922
78,-1026.4393716497277,817.9350747940076,201.20175643510612
79,-660.9682808623255,516.1980345390202,126.83954714028539
80,-678.4520939407788,515.1614639792001,125.13938468292622
81,-613.8979790771182,462.7814024909345,99.73357365410232
82,-822.9948313645446,662.4026649210136,154.30782477444154
83,-594.2105079850595,563.6166236265685,116.77165214613224
84,-268.5159780247954,311.8190004565695,38.0330122915384
85,-326.07373623487763,308.9149789735675,19.7108693846385
86,-398.24439355768834,319.2715811883658,19.821353815087345
87,-122.03485384505355,191.8060222044587,-57.474284748533044
88,-310.0269560238628,266.5014086280879,-12.472880141605028
89,-161.7288767264542,200.52756822627035,-48.54515395428585
90,-201.66785682199898,229.53454671427608,-23.565596145219175
91,-150.3738499593875,194.0009764393023,-32.083588776189245
92,-538.6804817825696,395.0991143380615,73.27227677960975
93,-286.8040291410116,238.89507337991296,-40.56786804967151
94,-492.2113456731755,379.4861840599293,46.89058974168528
95,-332.10632353268034,253.79351478728267,5.0019967378879215
96,-345.11440591385576,235.78507628825025,14.887054882499212
97,-448.605113765182,301.37888405706735,31.566387814489744
98,-536.5083504516251,420.3035498717745,72.79832919074569
99,-810.8812440677634,626.1668067323044,170.10580796317663
100,-560.3936851284564,414.50535620655864,92.0367449101177
101,-979.9850252734121,762.8954676240683,224.90157753415406
102,-894.2148271604921,637.4824597314,175.16664580888755
103,-845.0007618838176,631.2928458936512,171.5796826077858
104,-818.2429254030736,612.996494628489,164.48964153573615
105,-695.8472928204374,532.3358658405351,139.3543998082148
106,-642.0236986222588,517.3358405140453,123.60672654297161
107,-832.87029991129,653.8739380789921,182.01269382610917
108,-636.2223882243759,533.9027696390365,128.82575754032644
109,-763.2226749516319,607.5784150151295,174.03863463116727
110,-515.2352032660802,341.1380091852043,68.00521659606602
111,-593.0460475379485,465.4479984567703,117.79487293439617
112,-595.5710668061498,477.559284902601,121.61361919158887
113,-667.4178547099607,532.2960760771841,145.52948106051127
114,-385.80342646437026,347.55808308431926,60.54353537607138
115,-392.6495297315934,331.0176797232209,64.37831646446617
116,-469.77753844206063,360.0285280256036,73.4461569488938
117,-535.3840004462254,370.55160605627816,91.13736728552695
118,-415.194945970528,293.3578635326029,49.21488779960365
119,-452.5564007884747,368.65398722036366,86.14771694933727
120,-423.97106167792026,300.0513402188718,63.48295015824899
121,-507.38173644311206,386.4291981641152,97.34866484355264
122,-642.4123219872343,483.7665939307933,121.6777284192774
123,-747.0873003406704,558.3111470632219,152.63058816754466
124,-794.3276818726775,609.4139630836676,168.5326809095025
125,-996.7040974253953,807.6341903177761,217.2271731015296
126,-898.1094809619341,731.1444919332862,192.01120948282187
127,-911.80165858094,721.2650136873126,193.45885501767003
128,-914.0112095478887,735.9494545925409,210.02407525706803
129,-901.4797681005607,740.9772016841437,201.0660301151212
130,-938.9513369678496,816.2448285274603,204.47862398171213
131,-645.3114430574198,520.9634271307282,126.64516864469029
132,-698.2437405734846,539.2646647771772,134.2006580029214
133,-594.9757672030134,467.7719065604382,104.80755777175656
134,-816.3315328083952,667.2126561996993,152.35894058228587
135,-598.6189040790413,562.1125770828344,116.78375047143227
136,-325.70655829816127,330.9905146330384,39.80498519791399
137,-281.43577870788863,311.03113713278435,27.5630331786233
138,-363.2861394421576,291.5352992567327,29.607948612362375
139,-155.83324317057088,215.16586296508189,-50.685281497106004
140,-255.80053960315922,278.4155029420857,-2.316053344580494
