episode,fixed_energy,fixed_cost,heuristic_energy,heuristic_cost,energy_pv_energy,energy_pv_cost,energy_pv_energy_sav_%,energy_pv_cost_sav_%,cost_energy,cost_cost,cost_energy_sav_%,cost_cost_sav_%,balanced_energy,balanced_cost,balanced_energy_sav_%,balanced_cost_sav_%
38,320.4993,-12.6837,492.8268,4.4615,258.5979,-30.1139,19.3141,,283.2833,-40.0389,11.6119,,270.1636,-35.8087,15.7054,
39,269.0418,-22.0606,487.359,-4.7012,255.7042,-43.2949,4.9574,,264.6264,-44.0541,1.6412,,279.1808,-40.07,-3.7686,
40,462.507,84.4217,639.3777,85.994,441.4115,86.234,4.5611,-2.1468,452.5015,72.0283,2.1633,14.6803,486.7095,74.2657,-5.2329,12.0301
41,297.1388,-30.6125,472.6161,-12.7247,258.2949,-34.686,13.0727,,267.3018,-52.4109,10.0415,,288.512,-43.9815,2.9033,
42,423.88,52.4306,633.6611,71.2072,420.6111,53.8011,0.7712,-2.6139,436.0799,47.322,-2.8782,9.7435,471.7561,48.6308,-11.2947,7.2473
43,320.0778,9.5303,526.9018,17.752,292.5919,9.5429,8.5872,-0.132,312.289,2.0204,2.4334,78.8002,327.3054,6.8051,-2.2581,28.5954
44,309.4194,19.8625,463.8238,38.5922,304.1473,16.4534,1.7039,17.1638,402.8038,21.0557,-30.1805,-6.0071,373.7363,23.0569,-20.7863,-16.0823
45,368.2704,34.8061,488.1311,44.1144,384.0814,37.67,-4.2933,-8.2284,418.6791,26.0338,-13.688,25.2032,431.4796,20.2814,-17.1638,41.7303
46,479.2193,75.9934,577.4514,83.8946,501.8053,75.5027,-4.7131,0.6457,560.7735,74.0692,-17.0181,2.532,529.8625,64.0622,-10.5678,15.7003
47,664.5487,178.0003,759.0597,184.0504,703.4956,182.4918,-5.8606,-2.5233,777.6963,185.6955,-17.0262,-4.3231,794.0797,195.313,-19.4916,-9.7263
48,477.5601,102.2512,624.5851,101.8601,486.0175,102.9192,-1.771,-0.6533,584.6081,107.3053,-22.4156,-4.9428,613.194,111.6774,-28.4014,-9.2187
49,780.0808,237.2187,900.3557,228.1968,844.1845,250.5774,-8.2176,-5.6314,823.458,233.5004,-5.5606,1.5674,859.38,249.9835,-10.1655,-5.381
50,654.51,179.484,789.9232,174.7576,688.7788,177.0651,-5.2358,1.3477,718.656,177.5843,-9.8006,1.0584,755.5013,182.2606,-15.4301,-1.547
51,672.9276,180.0717,809.0401,179.3845,685.3645,180.3372,-1.8482,-0.1475,743.1854,184.2234,-10.4406,-2.3056,781.0282,179.735,-16.0642,0.187
52,641.3194,168.5687,788.7503,169.749,689.1785,173.9821,-7.4626,-3.2114,682.9849,173.7611,-6.4968,-3.0803,770.0757,177.8746,-20.0768,-5.5205
