policy,avg_energy_import,avg_cost,energy_sav,energy_sav_%,cost_sav,cost_sav_%
fixed_baseline,521.3541540896733,106.80094709190283,0.0,0.0,0.0,0.0
q_learning_1204_15,563.2816297835293,100.6581627889588,-41.92747569385597,-8.042033493924057,6.142784302944023,5.751619690842368
