policy,avg_energy_import,avg_cost,energy_sav,energy_sav_%,cost_sav,cost_sav_%,score_vs_fixed
fixed_baseline,521.3541540896733,106.80094709190283,0.0,0.0,0.0,0.0,0.0
heuristic_pv_rule,571.4465565668966,116.74897514751773,-50.09240247722323,-9.608133374268137,-9.948028055614898,-9.314550410357842,-9.578775077877108
q_learning_weather_occ,529.5472906075415,105.2553894709402,-8.193136517868197,-1.571510738640623,1.5455576209626258,1.4471384974073915,-1.2696458150358216
