episode,fixed_energy,fixed_cost,heuristic_energy,heuristic_cost,q_energy,q_cost,q_energy_sav_%,q_cost_sav_%
1,570.9602326494297,139.11401809377588,636.1319380081522,148.50071645616617,656.7945621574322,146.0657160195883,-15.033328872959334,-4.997122519404428
2,603.1791990177,131.75442149540106,623.613938050693,139.01246444203355,599.9314581743666,128.9729688550484,0.5384371424980126,2.1110886517381444
3,693.8750305948779,192.83265767781995,786.3766277059913,202.36254674219526,745.1589724132791,196.21160689124372,-7.390947873485821,-1.7522702088508426
4,598.3027009677562,140.04068020780744,638.7483823848888,147.16176088689826,617.3123405638601,136.34120447219948,-3.177261203293201,2.6417150574520782
5,633.9004910110946,174.71833783541956,724.1698385154588,186.63986508773598,663.8364308774471,180.89260083832778,-4.722498292847767,-3.5338379928523733
6,404.6716151603032,74.56146386853652,457.79125757236034,86.25234612255008,431.4627702294383,79.11224437612691,-6.620468069776109,-6.1033947987047625
7,525.5268053711594,124.9209802975429,594.1071701073088,132.03558767505206,539.4774006648199,121.40612250231038,-2.65459252526762,2.813664915901761
8,534.0876588625969,129.60357334701015,607.5683756545337,142.1030493804793,541.4243876169377,127.14232257249083,-1.3736937434512617,1.8990608908053748
9,586.4574474012783,156.73087289155166,663.173467190819,166.25164744706086,604.625800280016,151.47079279303995,-3.0979831459632305,3.3561225057116646
10,435.62078687602707,68.06422449883095,444.4058892846423,75.37270601633836,379.26181390459,58.56677735823658,12.93762250777905,13.95365511107454
11,402.06564319134134,72.80759742723367,458.2647957896352,87.3902914074454,387.1827293052261,72.92108950395249,3.701612942599163,-0.15587944215882304
12,414.4568810529238,80.14308574762498,468.29567927762014,91.0371500357724,423.3356673761706,78.4087342983423,-2.142270216551919,2.1640687192208357
13,404.5649843759571,100.08309068042094,497.96545778575666,123.75136633721148,432.79837342270105,95.91077456899764,-6.978703085313729,4.168852183778055
14,339.3385201220801,58.02423806157927,430.5943350873147,68.47829138677866,320.3551481385879,58.10263957226752,5.594228434974847,-0.13511855270731354
15,428.2613576429337,100.53074284770257,487.2433067799973,107.49069514831753,419.7565021660963,103.33184613221067,1.985903076487325,-2.7863151163138107
16,359.0594487994498,76.9448751601367,411.6798868397119,90.48810426084795,372.5495442922794,73.69480557962696,-3.7570646136552157,4.223893500048887
17,441.4415019712583,104.46698227613656,493.2015490398308,114.66408258673432,478.781400479231,107.49382195450116,-8.458628910338364,-2.8974127637417335
18,530.307289335307,128.37364309838495,603.4732110951003,142.5383682095429,519.8369073725224,133.07591015646221,1.974399027384345,-3.6629536597893955
19,591.2674644121604,159.7744371081235,623.0250858662354,165.49243230860432,649.0359523817395,155.77660731764018,-9.770280194093333,2.502171099985083
20,631.6746687093059,172.03939187492168,677.7531439257095,180.01867689949384,673.0225796220134,167.62891513193998,-6.545760493640372,2.563643532399988
21,837.5977371973656,226.45773779649764,870.5542026800774,236.9745763626067,885.1677983185016,220.5892934842502,-5.679344512117143,2.591408167081941
22,751.539382584393,200.29440557482303,830.6758742183447,213.6155371569621,803.0627178251743,200.18871514764032,-6.855706624928011,0.05276753830412186
23,731.1430500332491,199.34477651462618,834.8805869851486,211.45776231290034,772.5256523920689,194.907860563209,-5.659987106071498,2.225749793394579
24,744.1593276839703,212.79797105189937,820.7030228953809,229.92800862212607,819.4919527452439,208.88922906227526,-10.123184949616844,1.8368323580823993
