episode,fixed_energy,fixed_cost,heuristic_energy,heuristic_cost,q_energy,q_cost,q_energy_sav_%,q_cost_sav_%
25,769.6093103687729,202.64331030927056,815.1206505484879,218.2924552472541,809.5212455168366,199.61415809206665,-5.185999520839895,1.4948197463715323
26,855.4585520597329,206.37287351018358,888.7479495756724,217.95443061868076,862.3396229359771,196.99136333377953,-0.8043722118010566,4.545902771442059
27,559.8957292611144,130.2106108067905,628.0391157219551,148.25725105180157,579.3686546479562,129.32233793189036,-3.4779556923107617,0.6821816358869389
28,546.5831754896501,131.78957850508814,609.8688082894798,149.32929247598975,608.3540582952128,126.434787222171,-11.30127775159306,4.063137118774843
29,502.1984415819519,104.83285774497492,563.0982586034015,122.9918437232304,495.1131688849015,107.63545512950242,1.4108511915591426,-2.673395960782956
30,708.559147340944,160.49310731262085,759.8024305168074,173.67365883255843,711.6341794803739,153.61256562743802,-0.43398383197361795,4.28712597094926
31,652.4754729273386,123.13592605724143,672.6782129856415,128.8023941675262,610.9530553316413,118.39157299732933,6.363828115930019,3.852939764879522
32,434.1381359713814,49.08517004550049,443.72507117862915,50.253639931388534,349.2828607029478,39.214788697432596,19.54568563265479,20.10868321107647
33,410.7746590652969,35.27329771051882,432.75042146234773,42.702722410147544,343.66812183335423,22.2863389508384,16.336581566312095,36.81810208464742
34,376.8763649652805,30.849387154756837,394.45005292101763,40.46264645191215,334.7487585568428,24.94068299623788,11.178097202332838,19.153392347399883
35,297.6436861256706,-51.25171369189029,306.39942822853203,-43.42766014442877,240.8817305262573,-65.16083151704315,19.07043832787617,
36,363.5288684819382,-3.769679609165676,386.1847708229464,6.173046120846497,320.7025338458084,-21.330580196900573,11.780724544647175,
37,298.21484785957256,-47.72202868996021,302.92065094513816,-39.60122284820602,231.7417257065512,-52.841266790358254,22.29034624872975,
38,320.4992804008257,-12.683687972943304,339.73968474964613,-2.8460377176431955,267.75209007039666,-13.494154842803255,16.45781864610175,
39,269.0417631807574,-22.060614663069416,295.9734085294085,-14.654199270004293,252.09295075139804,-24.84850519058729,6.299695716003842,
40,462.5070241109046,84.42168005141451,523.5284475219588,93.39905223370965,450.6182772855472,84.55776878187517,2.57050081524958,-0.16120116346627503
41,297.1388110394612,-30.61246198006048,328.30084740964924,-22.363073091611305,272.9456220092476,-28.422242275413208,8.142049483734608,
42,423.8800041115756,52.43058648085761,472.643726475435,61.463164402494016,434.53082300561306,50.46594289413205,-2.5126967044272037,3.747132577742298
43,320.0777803934385,9.530348705169118,338.43823580071523,12.52203453662277,301.8172359510162,6.579166864845051,5.705033451549344,30.966147531657366
44,309.4193922906547,19.86251902624686,328.7071045627949,29.236669222570033,324.9555578406015,20.363608732139724,-5.021070410271131,-2.5227903129039646
45,368.2703517438099,34.806080109052445,409.057245737426,45.279377044788006,380.109423880931,42.51625224842428,-3.2147774267087987,-22.151796798762625
46,479.21934366318783,75.99340507229671,509.5788447293212,84.13051595915921,478.98687855751643,76.67609215509717,0.0485091240045559,-0.8983504320552265
47,664.548699346371,178.00025387771893,725.4115229658782,187.95981730904896,734.7393359318376,179.7906185174361,-10.562150923552156,-1.0058213967195144
48,477.560099680908,102.25120191695169,556.7236072085798,107.76098800788168,489.14095178060234,101.33640305325389,-2.425004121456609,0.8946582989222911
49,780.0808145105839,237.21871182718314,861.8412460833788,236.9568104093196,818.4840548485518,237.11621376422409,-4.922982288964732,0.04320825375433639
50,654.5099585726857,179.48401484782516,695.41653034091,192.17015603328764,692.8985883593559,193.44049621086742,-5.865247622875858,-7.775891003371641
51,672.9276308305562,180.07165117037948,732.2434283085167,179.4630063782679,708.1525099799037,193.75905671028886,-5.234571673906671,-7.6010884839161506
52,641.3194422647357,168.56865771018784,709.4342165142298,175.58589488247526,694.736232355237,177.2295632387977,-8.329201731646698,-5.137909767010283
