episode,fixed_energy,ql_energy,energy_sav_%,fixed_cost,ql_cost,cost_sav_%
1,570.96,692.622,-21.31,139.114,133.5763,3.98
2,603.179,451.36,25.17,131.7544,58.4654,55.63
3,693.875,409.247,41.02,192.8327,43.435,77.48
4,598.303,378.742,36.7,140.0407,39.5552,71.75
5,633.9,305.706,51.77,174.7183,-43.5732,124.94
6,404.672,385.391,4.76,74.5615,6.0273,91.92
7,525.527,328.814,37.43,124.921,-37.5557,130.06
8,534.088,331.925,37.85,129.6036,-3.8923,103.0
9,586.457,304.895,48.01,156.7309,-10.1686,106.49
10,435.621,497.994,-14.32,68.0642,93.8306,-37.86
11,402.066,331.576,17.53,72.8076,-20.3255,127.92
12,414.457,473.959,-14.36,80.1431,64.0569,20.07
13,404.565,347.123,14.2,100.0831,20.639,79.38
14,339.339,357.943,-5.48,58.0242,34.8318,39.97
15,428.261,405.104,5.41,100.5307,50.9597,49.31
16,359.059,534.661,-48.91,76.9449,92.2798,-19.93
17,441.442,715.03,-61.98,104.467,193.4506,-85.18
18,530.307,520.364,1.88,128.3736,117.3539,8.58
19,591.267,830.066,-40.39,159.7744,253.1052,-58.41
20,631.675,714.937,-13.18,172.0394,195.1877,-13.46
21,837.598,713.762,14.78,226.4577,194.8403,13.96
22,751.539,694.461,7.59,200.2944,182.9982,8.64
23,731.143,638.356,12.69,199.3448,155.1693,22.16
24,744.159,645.399,13.27,212.798,147.1868,30.83
25,769.609,757.377,1.59,202.6433,207.7071,-2.5
26,855.459,642.137,24.94,206.3729,153.7213,25.51
27,559.896,688.924,-23.05,130.2106,188.2822,-44.6
28,546.583,467.124,14.54,131.7896,89.8182,31.85
29,502.198,579.432,-15.38,104.8329,139.1975,-32.78
30,708.559,582.988,17.72,160.4931,142.4804,11.22
