policy,grid_import_kwh,net_consumption_kwh,discomfort_proportion,cumulative_reward,savings_vs_fixed_pct,training_seconds,stability_episode,last_10_episode_reward_mean
FixedCooling(0.50),1728.141,1727.784,0.9748,-3750.742,0.0,,,
OwnAdaptiveTabularQLearning,417.869,298.664,0.9748,-914.428,75.82,1003.76,82.0,-1057.643
