time_step,reward,cumulative_reward,grid_import_Building_1_kwh,grid_import_Building_2_kwh,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-4.285096645355225,-4.285096645355225,2.033644199371338,0.5619984865188599,1.689454197883606,4.285096883773804,4.285096883773804
1,-1.5053914785385132,-5.790488123893738,0.8462807536125183,0.18591776490211487,0.47319296002388,1.5053914785385132,5.790488362312317
2,-1.35512113571167,-7.145609259605408,0.7249863147735596,0.18461598455905914,0.4455188810825348,1.3551211804151535,7.14560954272747
3,-1.2535982131958008,-8.399207472801208,0.6327978372573853,0.1873515099287033,0.433448851108551,1.2535981982946396,8.39920774102211
4,-1.2445526123046875,-9.643760085105896,0.6071555614471436,0.20223666727542877,0.4351603388786316,1.244552567601204,9.643760308623314
5,-1.7313138246536255,-11.375073909759521,1.00062894821167,0.23087537288665771,0.49980950355529785,1.7313138246536255,11.37507413327694
6,-2.8889198303222656,-14.263993740081787,1.607621669769287,0.24817126989364624,1.033126950263977,2.8889198899269104,14.26399402320385
7,-1.763502597808838,-16.027496337890625,0.5342340469360352,0.3452141582965851,0.8840543627738953,1.7635025680065155,16.027496591210365
8,-9.774259567260742,-25.801755905151367,4.653266429901123,2.933849573135376,2.187143325805664,9.774259328842163,25.80175592005253
9,-3.2866463661193848,-29.088402271270752,0.48263463377952576,0.6722479462623596,2.1317636966705322,3.2866462767124176,29.088402196764946
10,-1.9179718494415283,-31.00637412071228,0.0,0.6334824562072754,1.284489393234253,1.5610186755657196,30.649420872330666
11,-3.455195903778076,-34.461570024490356,1.8172708749771118,0.6685148477554321,0.969410240650177,3.455195963382721,34.10461683571339
12,-1.9672014713287354,-36.42877149581909,0.26597872376441956,0.9704316258430481,0.7307910919189453,1.967201441526413,36.0718182772398
13,0.0,-36.42877149581909,0.0,0.0,0.0,0.0,36.0718182772398
14,-0.4761016145348549,-36.90487311035395,0.0768645778298378,0.3992370367050171,0.0,0.39672207832336426,36.468540355563164
15,-3.6114771366119385,-40.516350246965885,1.191725492477417,1.6593674421310425,0.7603843212127686,3.611477255821228,40.08001761138439
16,-1.316737323999405,-41.83308757096529,0.0,0.8544104099273682,0.46232691407203674,1.1471070349216461,41.22712464630604
17,-0.6364187002182007,-42.46950627118349,0.1799376904964447,0.3064201772212982,0.15006080269813538,0.6364186704158783,41.863543316721916
18,-1.3913612365722656,-43.860867507755756,0.4625154137611389,0.16118374466896057,0.7676620483398438,1.3913612067699432,43.25490452349186
19,-2.449221134185791,-46.31008864194155,1.0769085884094238,0.3912005126476288,0.9811120629310608,2.4492211639881134,45.70412568747997
20,-2.3802783489227295,-48.69036699086428,0.5288646817207336,0.780853271484375,1.0705604553222656,2.3802784085273743,48.08440409600735
21,-3.286937713623047,-51.977304704487324,0.9365671873092651,0.3876185119152069,1.962751865386963,3.286937564611435,51.37134166061878
22,-3.7092294692993164,-55.68653417378664,0.4215100109577179,1.3195194005966187,1.9681999683380127,3.7092293798923492,55.08057104051113
23,-3.708310842514038,-59.39484501630068,0.3560788035392761,1.3152742385864258,2.0369577407836914,3.7083107829093933,58.788881823420525
24,-2.089885950088501,-61.48473096638918,0.35421058535575867,1.3135948181152344,0.42208048701286316,2.089885890483856,60.87876771390438
25,-15.761783599853516,-77.2465145662427,6.637031078338623,5.0706787109375,4.054072856903076,15.7617826461792,76.64055036008358
26,0.0,-77.2465145662427,0.0,0.0,0.0,0.0,76.64055036008358
27,-1.1854785680770874,-78.43199313431978,0.0,0.0,1.1854785680770874,0.0,76.64055036008358
28,-1.97479248046875,-80.40678561478853,1.3441137075424194,0.19551844894886017,0.4351603388786316,1.9747924953699112,78.61534285545349
29,-2.0965375900268555,-82.50332320481539,1.3658525943756104,0.23087537288665771,0.49980950355529785,2.096537470817566,80.71188032627106
30,-4.317352294921875,-86.82067549973726,2.357550621032715,0.8064035773277283,1.1533982753753662,4.317352473735809,85.02923280000687
31,-7.617144584655762,-94.43782008439302,3.160184144973755,1.8817957639694214,2.575164556503296,7.617144465446472,92.64637726545334
32,-10.93156623840332,-105.36938632279634,2.7207157611846924,5.637437343597412,2.5734124183654785,10.931565523147583,103.57794278860092
33,-0.3876694291830063,-105.75705575197935,0.0,0.13957519829273224,0.24809423089027405,0.0,103.57794278860092
34,-0.06265433132648468,-105.81971008330584,0.06265433132648468,0.0,0.0,0.0,103.57794278860092
35,-0.3224653899669647,-106.1421754732728,0.3224653899669647,0.0,0.0,0.0,103.57794278860092
36,-8.873998641967773,-115.01617411524057,6.852179527282715,1.0804535150527954,0.9413658976554871,8.873998939990997,112.45194172859192
37,-3.269890308380127,-118.2860644236207,2.7795398235321045,0.3928546905517578,0.09749579429626465,3.269890308380127,115.72183203697205
38,-1.6467726230621338,-119.93283704668283,0.5130114555358887,0.5033379793167114,0.6304232478141785,1.6467726826667786,117.36860471963882
39,-2.155153751373291,-122.08799079805613,0.3723286986351013,1.335222601890564,0.44760259985923767,2.155153900384903,119.52375862002373
40,-3.413942337036133,-125.50193313509226,1.4751505851745605,0.7562760710716248,1.1825157403945923,3.4139423966407776,122.9377010166645
41,-2.4958200454711914,-127.99775318056345,0.881602942943573,0.553185224533081,1.0610319375991821,2.495820105075836,125.43352112174034
42,-2.4687228202819824,-130.46647600084543,1.109107494354248,0.28498488664627075,1.074630618095398,2.4687229990959167,127.90224412083626
43,-1.7038578987121582,-132.1703338995576,0.7583456039428711,0.21913078427314758,0.7263814806938171,1.7038578689098358,129.6061019897461
