policy,grid_import_kwh,net_consumption_kwh,discomfort_proportion,cumulative_reward,savings_vs_fixed_pct,training_seconds,stability_episode,last_10_episode_reward_mean
FixedCooling(0.50),1728.141,1727.784,0.9748,-3750.742,0.0,,,
OwnAdaptiveTabularQLearning,412.001,295.581,0.9804,-905.404,76.159,1792.32,82.0,-1088.45
