time_step,reward,all_rewards,grid_import_Building_1_kwh,grid_import_Building_2_kwh,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-4.533032581740199,-4.533032581740199,2.033644199371338,0.5619984865188599,1.689454197883606,4.285096883773804,4.285096883773804
1,-1.5924934267715725,-6.1255260085117715,0.8462807536125183,0.18591776490211487,0.47319296002388,1.5053914785385132,5.790488362312317
2,-1.4335284894698281,-7.5590544979816,0.7249863147735596,0.18461598455905914,0.4455188810825348,1.3551211804151535,7.14560954272747
3,-1.3261313877869318,-8.885185885768532,0.6327978372573853,0.1873515099287033,0.433448851108551,1.2535981982946396,8.39920774102211
4,-1.3165623769178891,-10.201748262686422,0.6071555614471436,0.20223666727542877,0.4351603388786316,1.244552567601204,9.643760308623314
5,-1.8314876394254234,-12.033235902111846,1.00062894821167,0.23087537288665771,0.49980950355529785,1.7313138246536255,11.37507413327694
6,-3.05607278954752,-15.089308691659365,1.607621669769287,0.24817126989364624,1.033126950263977,2.8889198899269104,14.26399402320385
7,-1.8663147671641966,-16.955623458823563,0.5342340469360352,0.3452141582965851,0.8840543627738953,1.7635025680065155,16.027496591210365
8,-10.344098644625927,-27.29972210344949,4.653266429901123,2.933849573135376,2.187143325805664,9.774259328842163,25.80175592005253
9,-3.478257753606485,-30.777979857055975,0.48263463377952576,0.6722479462623596,2.1317636966705322,3.2866462767124176,29.088402196764946
10,-2.0297896076580733,-32.80776946471405,0.0,0.6334824562072754,1.284489393234253,1.5610186755657196,30.649420872330666
11,-3.6566338869564214,-36.46440335167047,1.8172708749771118,0.6685148477554321,0.969410240650177,3.455195963382721,34.10461683571339
12,-2.0818892849459547,-38.54629263661642,0.26597872376441956,0.9704316258430481,0.7307910919189453,1.967201441526413,36.0718182772398
13,0.0,-38.54629263661642,0.0,0.0,0.0,0.0,36.0718182772398
14,0.0,-38.54629263661642,0.0,0.0,0.0,0.0,36.0718182772398
15,-1.4821692549314163,-40.028461891547835,0.16432055830955505,1.0962364673614502,0.06595885753631592,1.3265158832073212,37.39833416044712
16,-0.32545813033818316,-40.35392002188602,0.0,0.2912794053554535,0.0,0.0,37.39833416044712
17,-0.711096036237449,-41.06501605812347,0.1799376904964447,0.3064201772212982,0.15006080269813538,0.6364186704158783,38.034752830863
18,-4.860644724533423,-45.92566078265689,0.4625154137611389,3.3627023696899414,0.7676620483398438,4.592879831790924,42.62763266265392
19,-2.5920107570749,-48.51767153973179,1.0769085884094238,0.3912005126476288,0.9811120629310608,2.4492211639881134,45.076853826642036
20,-2.5190486389925795,-51.03672017872437,0.5288646817207336,0.780853271484375,1.0705604553222656,2.3802784085273743,47.45713223516941
21,-3.06834935255251,-54.10506953127688,0.9365671873092651,0.0,1.962751865386963,1.8563377857208252,49.313470020890236
22,-2.5279785943876134,-56.633048125664494,0.4215100109577179,0.0,1.9681999683380127,1.1212035715579987,50.434673592448235
23,-2.724471131670578,-59.35751925733507,0.3560788035392761,0.18241874873638153,2.0369577407836914,2.575455293059349,53.010128885507584
24,-1.0193791889030184,-60.37689844623809,0.35421058535575867,0.18733283877372742,0.42208048701286316,0.9636239111423492,53.97375279664993
25,-9.420299749491996,-69.79719819573009,3.554816246032715,3.3794405460357666,1.9707965850830078,8.90505337715149,62.87880617380142
26,0.0,-69.79719819573009,0.0,0.0,0.0,0.0,62.87880617380142
27,-1.2540703558878552,-71.05126855161795,0.0,0.0,1.1854785680770874,0.0,62.87880617380142
28,-2.089041406443008,-73.14030995806095,1.3441137075424194,0.19550655782222748,0.4351603388786316,1.9747806042432785,64.8535867780447
29,-2.2178431250976787,-75.35815308315863,1.3658525943756104,0.23087537288665771,0.49980950355529785,2.096537470817566,66.95012424886227
30,-2.149985435727229,-77.50813851888586,1.3301458358764648,0.24327263236045837,0.4589728116989136,2.032391279935837,68.9825155287981
31,-0.806364422557146,-78.31450294144301,0.07796920090913773,0.19240280985832214,0.49188804626464844,0.7622600570321083,69.74477558583021
32,-1.9051198509469152,-80.21962279238993,0.0,1.310782790184021,0.49013590812683105,1.4394199550151825,71.1841955408454
33,-1.601527492854502,-81.82115028524443,0.0,1.2658371925354004,0.24809423089027405,1.0820964872837067,72.2662920281291
34,-0.4701847669121863,-82.29133505215661,0.06265433132648468,0.38181352615356445,0.0,0.4262383319437504,72.69253036007285
35,-0.5774399827505574,-82.86877503490717,0.3224653899669647,0.2233913242816925,0.0,0.33093805611133575,73.02346841618419
36,-5.0749457740278,-87.94372080893497,4.797369956970215,0.0,0.0,4.304076500236988,77.32754491642118
37,-1.8535135685360666,-89.79723437747104,1.7521350383758545,0.0,0.0,0.984929084777832,78.312474001199
38,0.0,-89.79723437747104,0.0,0.0,0.0,0.0,78.312474001199
39,-0.8167648472736184,-90.61399922474466,0.0,0.7720916271209717,0.0,0.0,78.312474001199
40,-1.1943038009874245,-91.80830302573209,0.447745680809021,0.19314506649971008,0.4880902171134949,1.128980964422226,79.44145496562123
41,-0.38781826078930437,-92.19612128652139,0.0,0.0,0.3666064143180847,0.21085864678025246,79.65231361240149
42,-2.6180098208065057,-94.8141311073279,1.109107494354248,0.2910788059234619,1.074630618095398,2.474816918373108,82.1271305307746
43,-1.8024549046385838,-96.61658601196648,0.7583456039428711,0.21914196014404297,0.7263814806938171,1.7038690447807312,83.83099957555532
44,-3.113576863446616,-99.73016287541309,2.2908387184143066,0.20169100165367126,0.4507490396499634,2.9432787597179413,86.77427833527327
45,-1.619428123744511,-101.3495909991576,0.6353296637535095,0.19623863697052002,0.6992846727371216,1.5308529734611511,88.30513130873442
46,-1.5117034598075059,-102.8612944589651,0.5435421466827393,0.19325745105743408,0.6922207474708557,1.429020345211029,89.73415165394545
47,-1.0480671005758717,-103.90936155954098,0.37498530745506287,0.18901224434375763,0.4267451763153076,0.9907427281141281,90.72489438205957
48,-1.0193791889030184,-104.928740748444,0.35421058535575867,0.18733283877372742,0.42208048701286316,0.9636239111423492,91.68851829320192
49,-1.0130686185318978,-105.9418093669759,0.3527388870716095,0.18591776490211487,0.41900184750556946,0.9576584994792938,92.64617679268122
50,-1.0077766911070127,-106.94958605808291,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,93.59883280843496
51,-0.9954857608603961,-107.9450718189433,0.3348560631275177,0.1873515099287033,0.4188297688961029,0.9410373419523239,94.53987015038729
52,-1.0430541685473036,-108.9881259874906,0.34860697388648987,0.20223666727542877,0.4351603388786316,0.9860039800405502,95.52587413042784
53,-1.141919439998,-110.13004542748861,0.3487769067287445,0.23087537288665771,0.49980950355529785,1.0794617831707,96.60533591359854
54,-1.0493148952299016,-111.17936032271851,0.30258339643478394,0.23897044360637665,0.4503684341907501,0.9919222742319107,97.59725818783045
55,-1.1940918155594527,-112.37345213827795,0.5197288393974304,0.2986651062965393,0.31038662791252136,1.128780573606491,98.72603876143694
56,-1.9730770542976432,-114.3465291925756,0.794775664806366,0.2044009417295456,0.8659823536872864,1.865158960223198,100.59119772166014
57,-0.6917835007450932,-115.03831269332069,0.0,0.22833411395549774,0.42561206221580505,0.11358465254306793,100.7047823742032
58,-3.2760919103698525,-118.31440460369055,0.0,2.3005998134613037,0.7963051795959473,2.252342462539673,102.95712483674288
59,-1.3483318643874571,-119.66273646807801,0.0,1.274584412574768,0.0,0.0,102.95712483674288
60,-0.3869251728649161,-120.04966164094293,0.0,0.3657621741294861,0.0,0.0,102.95712483674288
61,-7.408443533120279,-127.4581051740632,0.0,0.0,7.003236293792725,6.056027218699455,109.01315205544233
62,0.0,-127.4581051740632,0.0,0.0,0.0,0.0,109.01315205544233
63,-2.2071470667770345,-129.66525224084023,1.561369776725769,0.0,0.5250566601753235,2.0728520723059773,111.08600412774831
64,-2.257294925738533,-131.92254716657877,0.9007319211959839,0.011278570629656315,1.2218209505081177,2.133831442333758,113.21983557008207
65,-1.1049706226579787,-133.02751778923675,0.14395681023597717,0.21786905825138092,0.6827080249786377,1.0445338934659958,114.26436946354806
66,-3.4551216435966805,-136.48263943283342,0.9867361783981323,0.313500314950943,1.9659061431884766,3.266142636537552,117.53051210008562
67,-2.659737815571333,-139.14237724840476,0.8331621885299683,0.35911455750465393,1.3219858407974243,2.5142625868320465,120.04477468691766
68,-2.262934481167134,-141.40531172957188,0.6107575297355652,0.36468249559402466,1.1637225151062012,2.139162540435791,122.18393722735345
69,-2.404700965664013,-143.81001269523588,0.6353296637535095,0.4478263854980469,1.1900190114974976,2.273175060749054,124.45711228810251
70,-1.1760913396589756,-144.98610403489485,0.48252609372138977,0.19325745105743408,0.4359810948371887,1.1117646396160126,125.56887692771852
71,-1.5730372534947632,-146.5591412883896,0.8712420463562012,0.18901224434375763,0.4267451763153076,1.4869994670152664,127.05587639473379
72,-1.0249408744056017,-147.58408216279523,0.3594680726528168,0.18733283877372742,0.42208048701286316,0.9688813984394073,128.0247577931732
73,-1.0130686185318978,-148.59715078132712,0.3527388870716095,0.18591776490211487,0.41900184750556946,0.9576584994792938,128.9824162926525
74,-1.0077766911070127,-149.60492747243413,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,129.93507230840623
75,-0.9954857608603961,-150.60041323329452,0.3348560631275177,0.1873515099287033,0.4188297688961029,0.9410373419523239,130.87610965035856
76,-1.0430541685473036,-151.64346740184183,0.34860697388648987,0.20223666727542877,0.4351603388786316,0.9860039800405502,131.8621136303991
77,-2.24939383313872,-153.89286123498056,1.3677350282669067,0.23087537288665771,0.5277521014213562,2.1263625025749207,133.98847613297403
78,-2.6734789102611156,-156.56634014524167,0.3598918616771698,0.25422030687332153,1.9131399393081665,2.527252107858658,136.5157282408327
79,-1.5777371295630123,-158.1440772748047,0.500566840171814,0.3611260652542114,0.6291292905807495,1.490822196006775,138.00655043683946
80,-2.36347834992639,-160.50755562473108,0.14558805525302887,0.36487680673599243,1.722813367843628,2.2332782298326492,140.2398286666721
81,-0.9619430473645066,-161.4694986720956,0.0,0.37557753920555115,0.5333736538887024,0.7092030495405197,140.94903171621263
82,-1.4256481954901106,-162.8951468675857,0.10277063399553299,0.30680543184280396,0.9375355243682861,1.347111590206623,142.29614330641925
83,-2.3693632977133485,-165.26451016529904,1.704445481300354,0.2927956283092499,0.24159787595272064,2.2388389855623245,144.53498229198158
84,-1.070752684570112,-166.33526284986917,0.0,0.19740678369998932,0.8143599033355713,0.5244800001382828,145.05946229211986
85,-5.054725059371339,-171.38998790924052,0.0,3.291459321975708,1.4848092794418335,4.672825701534748,149.7322879936546
86,-1.161348482809003,-172.5513363920495,0.0,0.08487845957279205,1.0124932527542114,0.5225888043642044,150.2548767980188
87,0.0,-172.5513363920495,0.0,0.0,0.0,0.0,150.2548767980188
88,0.0,-172.5513363920495,0.0,0.0,0.0,0.0,150.2548767980188
89,-2.5125006098016787,-175.0638370018512,0.9598867297172546,1.2887579202651978,0.0,1.8457416594028473,152.10061845742166
90,-1.6109856905002673,-176.67482269235146,0.398721843957901,0.29576143622398376,0.827755868434906,1.5222391486167908,153.62285760603845
91,-1.9104523486633536,-178.5852750410148,0.5945645570755005,0.4842626452445984,0.7263814806938171,1.805208683013916,155.42806628905237
92,-2.1819872357590517,-180.76726227677383,0.9364479184150696,0.36468249559402466,0.7606547474861145,2.0617851614952087,157.48985145054758
93,-1.8508870750832975,-182.61814935185714,0.5447744131088257,0.3876185119152069,0.8165318369865417,1.7489247620105743,159.23877621255815
94,-2.0646460105264763,-184.68279536238362,0.6589604616165161,0.3296126127243042,0.963146448135376,1.9517195224761963,161.19049573503435
95,-1.2660342283073183,-185.94882959069093,0.3560788035392761,0.3141602873802185,0.5265489816665649,1.1967880725860596,162.3872838076204
96,-1.0517954935993834,-187.0006250842903,0.35421058535575867,0.18733283877372742,0.45272377133369446,0.9942671954631805,163.3815510030836
97,-1.0109454224236005,-188.0115705067139,0.3527388870716095,0.18591776490211487,0.41699478030204773,0.9556514322757721,164.33720243535936
98,-1.0077766911070127,-189.0193471978209,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,165.2898584511131
99,-1.0115891500352965,-190.0309363478562,0.35007867217063904,0.1873515099287033,0.4188297688961029,0.9562599509954453,166.24611840210855
100,-2.0014191970559696,-192.03235554491218,1.2545539140701294,0.20223666727542877,0.4351603388786316,1.8919509202241898,168.13806932233274
101,-1.1694874450133388,-193.20184298992552,0.3468944728374481,0.23087537288665771,0.5277521014213562,1.105521947145462,169.2435912694782
102,-1.876406418422791,-195.0782494083483,1.0784878730773926,0.2409534454345703,0.45433443784713745,1.7737757563591003,171.0173670258373
103,-2.9966430545981355,-198.07489246294645,1.406815528869629,1.11617112159729,0.3085762858390808,2.8315629363059998,173.8489299621433
104,-2.058109176308985,-200.13300163925544,0.26671406626701355,0.23807062208652496,1.4399466514587402,1.9447313398122787,175.79366130195558
105,-0.243826528185839,-200.3768281674413,0.0,0.23039452731609344,0.0,0.0,175.79366130195558
106,0.0,-200.3768281674413,0.0,0.0,0.0,0.0,175.79366130195558
107,-0.5389222907841837,-200.91575045822546,0.0,0.5092339515686035,0.0,0.0,175.79366130195558
108,-0.12697094663912806,-201.04272140486458,0.0,0.0,0.11997632682323456,0.0,175.79366130195558
109,0.0,-201.04272140486458,0.0,0.0,0.0,0.0,175.79366130195558
110,0.0,-201.04272140486458,0.0,0.0,0.0,0.0,175.79366130195558
111,-3.8863828180642983,-204.92910422292888,1.469571828842163,0.9676889181137085,1.0409847497940063,3.478245496749878,179.27190679870546
112,0.0,-204.92910422292888,0.0,0.0,0.0,0.0,179.27190679870546
113,-1.8448079068374186,-206.7739121297663,0.8948801755905151,0.08385171741247177,0.6723393201828003,1.6510712131857872,180.92297801189125
114,-5.591097609823919,-212.36500973959022,0.37103885412216187,3.355046033859253,1.5570083856582642,5.283093273639679,186.20607128553092
115,-4.288324815727707,-216.65333455531794,0.7546690702438354,0.3744792342185974,2.9229397773742676,4.0520880818367,190.25815936736763
116,-2.525993923240885,-219.17932847855883,0.4469718635082245,0.36468249559402466,1.5751867294311523,2.3868410885334015,192.64500045590103
117,-0.8537397470011976,-220.03306822556002,0.3636639416217804,0.0,0.4430446922779083,0.23803061246871948,192.88303106836975
118,-1.3818573409051944,-221.4149255664652,0.5967347025871277,0.0,0.7095414996147156,0.0,192.88303106836975
119,-1.2373504466301615,-222.65227601309536,0.5923177599906921,0.15061022341251373,0.4267451763153076,1.1696731597185135,194.05270422808826
120,-1.0193791889030184,-223.6716552019984,0.35421058535575867,0.18733283877372742,0.42208048701286316,0.9636239111423492,195.0163281392306
121,-1.0130686185318978,-224.68472382053028,0.3527388870716095,0.18591776490211487,0.41900184750556946,0.9576584994792938,195.9739866387099
122,-1.0077766911070127,-225.6925005116373,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,196.92664265446365
123,-5.822998716408824,-231.5154992280461,2.404888391494751,1.3136134147644043,1.7860060930252075,5.504507899284363,202.431150553748
124,-1.0430541685473036,-232.55855339659342,0.34860697388648987,0.20223666727542877,0.4351603388786316,0.9860039800405502,203.41715453378856
125,-1.7804775896757592,-234.3390309862692,0.9524089097976685,0.23087537288665771,0.49980950355529785,1.683093786239624,205.1002483200282
126,-14.016357042890384,-248.35538802915957,5.020469665527344,0.29751452803611755,7.931743621826172,13.249727815389633,218.34997613541782
127,-1.0704748031818287,-249.4258628323414,0.10226792097091675,0.28070199489593506,0.628534197807312,1.0115041136741638,219.36148024909198
128,-0.7694405539898048,-250.1953033863312,0.0,0.26006796956062317,0.4669853746891022,0.5076160728931427,219.86909632198513
129,-4.97636824811865,-255.17167163444986,4.173412322998047,0.13157224655151367,0.39724376797676086,4.702228337526321,224.57132465951145
130,-0.22825334301781058,-255.39992497746766,0.0,0.10908318310976028,0.10659606009721756,0.0,224.57132465951145
131,-0.011337092670208125,-255.41126207013787,0.0,0.010712550953030586,0.0,0.0,224.57132465951145
132,-0.12396369788597142,-255.53522576802385,0.0,0.11713474243879318,0.0,0.0,224.57132465951145
133,0.0,-255.53522576802385,0.0,0.0,0.0,0.0,224.57132465951145
134,0.0,-255.53522576802385,0.0,0.0,0.0,0.0,224.57132465951145
135,-3.415513087333105,-258.950738855357,1.159260869026184,0.9306524991989136,0.9669118523597717,3.0568252205848694,227.62814988009632
136,0.0,-258.950738855357,0.0,0.0,0.0,0.0,227.62814988009632
137,-2.1613354823824724,-261.11207433773944,1.7877622842788696,0.0,0.14659564197063446,1.9155850186944008,229.54373489879072
138,-2.1213088280961765,-263.2333831658356,0.918773353099823,0.2831476926803589,0.8025283813476562,2.004449427127838,231.54818432591856
139,-2.733990941527968,-265.9673741073636,1.6380316019058228,0.21908357739448547,0.7262647151947021,2.5833798944950104,234.13156422041357
140,-10.824323700144378,-276.79169780750794,7.694016456604004,0.20169100165367126,2.332322120666504,10.228029578924179,244.35959379933774
141,-1.8971005429923093,-278.68879835050024,0.7798219323158264,0.19623863697052002,0.8165318369865417,1.7925924062728882,246.15218620561063
142,-1.1115448664566485,-279.8003432169569,0.4215100109577179,0.19325745105743408,0.4359810948371887,1.0507485568523407,247.20293476246297
143,-1.0280666663776181,-280.82840988333453,0.3560788035392761,0.18901224434375763,0.4267451763153076,0.9718362241983414,248.17477098666131
144,-1.0193791889030184,-281.84778907223756,0.35421058535575867,0.18733283877372742,0.42208048701286316,0.9636239111423492,249.13839489780366
145,-1.4923559432495401,-283.3401450154871,0.5866090059280396,0.18591776490211487,0.6382042765617371,1.4107310473918915,250.54912594519556
146,-1.2262610613911094,-284.5664060768782,0.33876895904541016,0.18461598455905914,0.6358053684234619,1.1591903120279312,251.7083162572235
147,-1.20444257786584,-285.77084865474404,0.3348560631275177,0.1873515099287033,0.6163576245307922,1.1385651975870132,252.8468814548105
148,-1.089431245872492,-286.86027990061655,0.34860697388648987,0.20223666727542877,0.4790008068084717,1.0298444479703903,253.8767259027809
149,-1.1379367684989816,-287.99821666911555,0.3450120687484741,0.23087537288665771,0.49980950355529785,1.0756969451904297,254.95242284797132
150,-3.5934426713019527,-291.5916593404175,1.2575488090515137,0.8152798414230347,1.3240694999694824,3.3968981504440308,258.34932099841535
151,-2.6011196083708708,-294.1927789487884,0.3870762586593628,1.332330346107483,0.738421618938446,2.4578282237052917,260.80714922212064
152,-3.2692971944974216,-297.4620761432858,1.4906659126281738,1.2921829223632812,0.30634817481040955,3.0891970098018646,263.8963462319225
153,-0.20119934029235764,-297.66327548357816,0.0,0.19011560082435608,0.0,0.0,263.8963462319225
154,-0.30935652947132186,-297.97263201304946,0.0,0.2923145890235901,0.0,0.0,263.8963462319225
155,-8.035300416312156,-306.00793242936163,6.585570335388184,0.0,1.0070786476135254,7.485977321863174,271.3823235537857
156,-0.3080433384512251,-306.31597576781286,0.0,0.0,0.291073739528656,0.11616760492324829,271.49849115870893
157,0.0,-306.31597576781286,0.0,0.0,0.0,0.0,271.49849115870893
158,0.0,-306.31597576781286,0.0,0.0,0.0,0.0,271.49849115870893
159,0.0,-306.31597576781286,0.0,0.0,0.0,0.0,271.49849115870893
160,-0.046403903357052606,-306.3623796711699,0.03444037213921547,0.0,0.007090319879353046,0.0,271.49849115870893
161,-2.294542396644177,-308.6569220678141,1.4606693983078003,0.0,0.5929064154624939,2.0471788407303393,273.54566999943927
162,-6.580139809134391,-315.2370618769485,1.0783368349075317,3.3613054752349854,1.7780084609985352,6.217650771141052,279.7633207705803
163,-2.4062813091128628,-317.6433431860613,0.6995631456375122,0.3743250370025635,1.1998350620269775,2.2737232446670532,282.0370440152474
164,-3.0337214931790246,-320.67706467924035,1.4313558340072632,0.36468249559402466,1.0705604553222656,2.8665987849235535,284.9036428001709
165,-1.8359318807128426,-322.5129965599532,0.5447744131088257,0.0,1.1900190114974976,0.9746236205101013,285.87826642068103
166,-0.8425590979539552,-323.35555565790713,0.3604939579963684,0.0,0.4359810948371887,0.0,285.87826642068103
167,-0.98744628286327,-324.3430019407704,0.3560788035392761,0.15061360597610474,0.4267451763153076,0.9334375858306885,286.8117040065117
168,-1.0193791889030184,-325.36238112967345,0.35421058535575867,0.18733283877372742,0.42208048701286316,0.9636239111423492,287.77532791765407
169,-1.0130686185318978,-326.37544974820537,0.3527388870716095,0.18591776490211487,0.41900184750556946,0.9576584994792938,288.73298641713336
170,-1.0077766911070127,-327.3832264393124,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,289.6856424328871
171,-1.0115891500352965,-328.39481558934773,0.35007867217063904,0.1873515099287033,0.4188297688961029,0.9562599509954453,290.64190238388255
172,-1.0430541685473036,-329.43786975789504,0.34860697388648987,0.20223666727542877,0.4351603388786316,0.9860039800405502,291.6279063639231
173,-3.8582519422480472,-333.2961217001431,2.916538715362549,0.23087537288665771,0.49980950355529785,3.6472235918045044,295.2751299557276
174,-1.8590890784898941,-335.155210778633,0.384336918592453,0.23963414132595062,1.133434534072876,1.7574055939912796,297.0325355497189
175,-2.953963747188834,-338.1091745258218,0.1516353189945221,0.7369452714920044,1.9026541709899902,2.7912347614765167,299.8237703111954
176,-4.3309967112845325,-342.4401712371063,1.1688817739486694,1.33600652217865,1.587520956993103,4.092409253120422,303.9161795643158
177,-0.19745217576838453,-342.6376234128747,0.0,0.18657486140727997,0.0,0.0,303.9161795643158
178,-0.041428892414198684,-342.6790523052889,0.0,0.03914664313197136,0.0,0.0,303.9161795643158
179,-0.2034530165422619,-342.88250532183116,0.0,0.19224512577056885,0.0,0.0,303.9161795643158
180,0.0,-342.88250532183116,0.0,0.0,0.0,0.0,303.9161795643158
181,0.0,-342.88250532183116,0.0,0.0,0.0,0.0,303.9161795643158
182,0.0,-342.88250532183116,0.0,0.0,0.0,0.0,303.9161795643158
183,0.0,-342.88250532183116,0.0,0.0,0.0,0.0,303.9161795643158
184,0.0,-342.88250532183116,0.0,0.0,0.0,0.0,303.9161795643158
185,-0.3969439597464941,-343.2794492815776,0.0,0.0,0.3552579879760742,0.33747243601828814,304.2536520003341
186,-4.885107622482493,-348.16455690406013,0.6814900636672974,3.355940341949463,0.5785647034645081,4.615995109081268,308.8696471094154
187,-3.0621100866773636,-351.2266669907375,1.0584359169006348,0.35834044218063354,1.476647138595581,2.8934234976768494,311.76307060709223
188,-3.2006495315117265,-354.4273165222492,0.8434675931930542,0.36468249559402466,1.816180944442749,3.024331033229828,314.78740164032206
189,-1.9667301975816818,-356.3940467198309,0.5447744131088257,0.0,1.3136118650436401,0.8148835897445679,315.6022852300666
190,-1.6312994338176734,-358.02534615364857,0.3604939579963684,0.0,1.1815810203552246,0.41055530309677124,316.0128405331634
191,-1.2840415770250615,-359.3093877306736,0.3560788035392761,0.18244600296020508,0.6752856969833374,1.2138105034828186,317.2266510366462
192,-1.3542432438768137,-360.6636309745504,0.6707591414451599,0.18733283877372742,0.42208048701286316,1.2801724672317505,318.50682350387797
193,-1.1340730787080484,-361.7977040532585,0.34507817029953003,0.307964563369751,0.41900184750556946,1.0720445811748505,319.5788680850528
194,-1.0077766911070127,-362.8054807443655,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,320.53152410080656
195,-1.0115891500352965,-363.81706989440084,0.35007867217063904,0.1873515099287033,0.4188297688961029,0.9562599509954453,321.487784051802
196,-1.0430541685473036,-364.86012406294816,0.34860697388648987,0.20223666727542877,0.4351603388786316,0.9860039800405502,322.47378803184256
197,-1.141919439998,-366.00204350294615,0.3487769067287445,0.23087537288665771,0.49980950355529785,1.0794617831707,323.55324981501326
198,-1.9805524410886441,-367.9825959440348,1.1771295070648193,0.24088947474956512,0.4542064964771271,1.8722254782915115,325.42547529330477
199,-0.9650600667997917,-368.9476560108346,0.09793445467948914,0.3024880588054657,0.5118532776832581,0.9122757911682129,326.337751084473
200,-2.0117931945289858,-370.95944920536357,1.3969422578811646,0.24484512209892273,0.25997012853622437,1.9017575085163116,328.2395085929893
201,-0.3087281811379704,-371.2681773865015,0.0,0.23515954613685608,0.05668264627456665,0.0,328.2395085929893
202,-0.11989236622518978,-371.3880697527267,0.0,0.10197068750858307,0.011364126577973366,0.0,328.2395085929893
203,-8.16701453416009,-379.5550842868868,2.670058012008667,3.3581902980804443,1.6920686960220337,7.720317006111145,335.95982559910044
