time_step,reward,cumulative_reward,grid_import_kwh,cumulative_grid_import_kwh
0,-5.0835114732876265,-5.0835114732876265,2.033644199371338,2.033644199371338
1,-2.0611406573487785,-7.1446521306364055,0.8462807536125183,2.879924952983856
2,-1.8403457266773935,-8.984997857313799,0.7249863147735596,3.6049112677574158
3,-1.73642002373698,-10.721417881050778,0.6327978372573853,4.237709105014801
4,-1.653488299193077,-12.374906180243855,0.6071555614471436,4.844864666461945
5,-2.800681965253034,-15.175588145496889,1.00062894821167,5.8454936146736145
6,-3.60785219651159,-18.78344034200848,1.607621669769287,7.453115284442902
7,-1.2515150991666206,-20.0349554411751,0.5342340469360352,7.987349331378937
8,-10.96192855965901,-30.996884000834108,4.653266429901123,12.64061576128006
9,-0.9377658884769744,-31.934649889311082,0.48263463377952576,13.123250395059586
10,0.0,-31.934649889311082,0.0,13.123250395059586
11,-9.601613226089556,-41.53626311540064,5.018230438232422,18.141480833292007
12,-0.5160472864948759,-42.05231040189551,0.26597872376441956,18.407459557056427
13,-1.0753504146713795,-43.12766081656689,0.7617638111114502,19.169223368167877
14,-1.5185841752667482,-44.64624499183363,1.1042695045471191,20.273492872714996
15,0.0,-44.64624499183363,0.0,20.273492872714996
16,-0.5019370413450588,-45.14818203317869,0.372394323348999,20.645887196063995
17,-0.34133849273928263,-45.489520525917975,0.16955052316188812,20.815437719225883
18,-1.0536089319946276,-46.5431294579126,0.4625154137611389,21.277953132987022
19,-2.496816599089743,-49.03994605700234,1.0769085884094238,22.354861721396446
20,-1.0018002038112115,-50.041746260813554,0.5288646817207336,22.88372640311718
21,-1.9259635702531037,-51.96770983106666,0.9365671873092651,23.820293590426445
22,-0.830180382839247,-52.7978902139059,0.4215100109577179,24.241803601384163
23,-4.896788368932903,-57.694678582838804,2.410888671875,26.652692273259163
24,-2.882787139257971,-60.577465722096775,1.3816155195236206,28.034307792782784
25,-3.051673435566348,-63.629139157663126,1.3801437616348267,29.41445155441761
26,-3.024397218792092,-66.65353637645522,1.3788419961929321,30.793293550610542
27,-5.532695906520037,-72.18623228297525,2.404888391494751,33.19818194210529
28,-3.6554117875083723,-75.84164407048362,1.3546943664550781,34.55287630856037
29,-3.9335547882254867,-79.77519885870912,1.3658525943756104,35.91872890293598
30,-3.737669239952584,-83.5128680986617,1.3301458358764648,37.24887473881245
31,-0.21070543777600503,-83.7235735364377,0.07796920090913773,37.326843939721584
32,0.0,-83.7235735364377,0.0,37.326843939721584
33,-1.4375704056521386,-85.16114394208984,0.5955699682235718,37.922413907945156
34,-0.14428713764862405,-85.30543107973845,0.06265433132648468,37.98506823927164
35,-0.7574162890341918,-86.06284736877265,0.3224653899669647,38.307533629238605
36,-10.43977825197876,-96.50262562075142,4.797369956970215,43.10490358620882
37,-9.127411414891004,-105.63003703564242,3.8069448471069336,46.911848433315754
38,-3.219347512742184,-108.8493845483846,1.5404163599014282,48.45226479321718
39,-0.6142281721967493,-109.46361272058135,0.3723286986351013,48.82459349185228
40,-2.2960428274567564,-111.75965554803811,1.4751505851745605,50.299744077026844
41,0.0,-111.75965554803811,0.0,50.299744077026844
42,-4.030210090880791,-115.7898656389189,2.136512279510498,52.43625635653734
43,-1.6390352263364092,-117.4289008652553,0.7583456039428711,53.19460196048021
44,-5.03296730015045,-122.46186816540575,2.2908387184143066,55.48544067889452
45,-1.326876532432607,-123.78874469783835,0.6353296637535095,56.12077034264803
46,-1.2133138141730646,-125.00205851201142,0.5435421466827393,56.66431248933077
47,-3.1277795475007903,-128.1298380595122,1.4023902416229248,58.06670273095369
48,-0.6692597933880127,-128.79909785290022,0.35421058535575867,58.42091331630945
49,-0.670666237485769,-129.46976409038598,0.3527388870716095,58.77365220338106
50,-0.6693254368012845,-130.13908952718725,0.3514370918273926,59.125089295208454
51,-7.082914171404051,-137.2220036985913,3.5376577377319336,62.66274703294039
52,0.0,-137.2220036985913,0.0,62.66274703294039
53,0.0,-137.2220036985913,0.0,62.66274703294039
54,-0.6369799239828183,-137.8589836225741,0.29201510548591614,62.954762138426304
55,-1.145380938734049,-139.00436456130814,0.5197288393974304,63.474490977823734
56,-1.8556538044246698,-140.8600183657328,0.794775664806366,64.2692666426301
57,0.0,-140.8600183657328,0.0,64.2692666426301
58,-2.7624614727986225,-143.62247983853143,1.210247278213501,65.4795139208436
59,0.0,-143.62247983853143,0.0,65.4795139208436
60,-1.8612504743375893,-145.48373031286903,0.968116044998169,66.44762996584177
61,-0.486865489180578,-145.97059580204962,0.262943834066391,66.71057379990816
62,-0.6068206679398638,-146.5774164699895,0.34445884823799133,67.05503264814615
63,-2.8936464757998692,-149.47106294578936,1.561369776725769,68.61640242487192
64,-1.547668643170387,-151.01873158895975,0.9007319211959839,69.5171343460679
65,-0.2577504882591555,-151.2764820772189,0.14395681023597717,69.66109115630388
66,-1.9331102965409928,-153.2095923737599,0.9867361783981323,70.64782733470201
67,-1.7129122947486848,-154.9225046685086,0.8331621885299683,71.48098952323198
68,-1.2464272489973534,-156.16893191750594,0.6107575297355652,72.09174705296755
69,-1.3018475613262126,-157.47077947883216,0.6353296637535095,72.72707671672106
70,-1.0440755954210488,-158.5148550742532,0.48252609372138977,73.20960281044245
71,-1.732333984820775,-160.24718905907397,0.8712420463562012,74.08084485679865
72,-0.7336848387919114,-160.98087389786588,0.3594680726528168,74.44031292945147
73,-0.6945108027411379,-161.67538470060703,0.3527388870716095,74.79305181652308
74,-0.737514615490225,-162.41289931609725,0.3514370918273926,75.14448890835047
75,-0.7335752654395643,-163.1464745815368,0.3348560631275177,75.47934497147799
76,-0.7568181168964202,-163.90329269843323,0.34860697388648987,75.82795194536448
77,-8.717851917194837,-172.62114461562808,4.569629669189453,80.39758161455393
78,-0.9688039383170234,-173.5899485539451,0.5133631825447083,80.91094479709864
79,-0.9728835792526904,-174.5628321331978,0.5088502168655396,81.41979501396418
80,0.0,-174.5628321331978,0.0,81.41979501396418
81,0.0,-174.5628321331978,0.0,81.41979501396418
82,-1.8003332775449055,-176.36316541074268,1.088951587677002,82.50874660164118
83,0.0,-176.36316541074268,0.0,82.50874660164118
84,0.0,-176.36316541074268,0.0,82.50874660164118
