episode,episode_reward,actor_loss,critic_loss,exploration_noise
1,-6283.2082813964935,,,0.199
2,-4165.283437453377,7.187777851871586,8.771011901064723,0.19800500000000001
3,-2360.1759735338574,12.581370498275227,5.7992768128491905,0.197014975
4,-2369.397092107573,19.72340293719805,6.915519622834568,0.19602990012500002
5,-2482.219663020839,26.20427580237886,7.766797016326841,0.19504975062437502
6,-2393.5021968720716,32.08231155066563,8.167218736216157,0.19407450187125314
7,-2344.828774660605,37.9893456566483,8.017935823167315,0.19310412936189686
8,-2358.295917532905,43.749014550687875,7.768145512141836,0.19213860871508737
9,-2379.733054157633,49.26285804992591,7.650070651681765,0.19117791567151193
10,-2351.94082590746,54.350933732840545,8.54655026660012,0.19022202609315436
11,-2362.5883077080134,59.23183161559125,9.208796721340386,0.18927091596268858
12,-2350.6087873738165,63.76905228531245,9.646237573968518,0.18832456138287512
13,-2330.3519799799005,68.21272274648696,10.854435558610897,0.18738293857596075
14,-2337.017204028587,72.38642449306016,11.07718848121017,0.18644602388308096
15,-2314.879002718529,75.77154850860299,11.25903012490571,0.18551379376366556
16,-2464.422216060869,77.99384175222342,11.305970157137832,0.18458622479484724
17,-2402.59874145528,81.65231032497528,12.004303349904788,0.183663293670873
18,-2358.865865887622,85.01708487774633,12.333035372228716,0.18274497720251864
19,-2431.433385374422,87.96306079551474,12.083541774617117,0.18183125231650604
20,-2353.8488275527657,90.46086494116857,11.511719070323153,0.18092209605492351
21,-2312.4468887958415,92.913179241069,11.426824207597713,0.1800174855746489
22,-2330.431583525899,95.44781431535023,11.612326389227855,0.17911739814677563
23,-2343.447409576285,97.87845621122273,13.607568080302572,0.17822181115604174
24,-2350.7447173412206,100.29232381680082,14.175836368794236,0.17733070210026153
25,-2338.2886258537674,102.85930702517196,14.978779611070232,0.17644404858976023
26,-2340.8039479326712,105.30575340812163,16.455574441519833,0.17556182834681144
27,-2349.4404926236975,107.4706666333619,17.045963702513546,0.1746840192050774
28,-2355.339234634005,109.6223422118122,18.168405181343598,0.173810599109052
29,-2338.777101920962,111.57207513419246,17.073499330724893,0.17294154611350673
30,-2353.974721152315,113.70155596567295,18.9258127922143,0.1720768383829392
31,-2348.076501444205,115.87905795716775,18.53960367237245,0.1712164541910245
32,-2365.26124444484,117.86227190975353,19.041550095124435,0.17036037192006936
33,-2380.8467503612096,119.64685272938353,21.221501229038157,0.16950857006046902
34,-2370.3013034859714,121.37170616011957,22.187009699321422,0.16866102721016668
35,-2405.6849173482465,123.05018443822529,22.055858568289683,0.16781772207411585
36,-2362.577962270415,124.67200606854138,19.77535087707477,0.16697863346374528
37,-2383.8360971114125,126.34681973304802,20.535998661428565,0.16614374029642656
38,-2368.0287617518225,127.8820628987234,22.846350114103483,0.16531302159494443
39,-2360.588548321145,129.34779563765863,20.798308068754277,0.16448645648696972
40,-2374.5217799207508,131.01347323485308,22.916619814155165,0.16366402420453488
41,-2361.633541755963,132.44388250316467,21.049001484819183,0.1628457040835122
42,-2362.2303965516517,133.8910748902216,20.915530119220804,0.16203147556309463
43,-2373.022626621264,135.22383075231306,22.44941951833945,0.16122131818527916
44,-2354.6284526613754,136.6221940593693,22.231803100198633,0.16041521159435276
45,-2359.697668970647,137.97897031144737,21.539714798642134,0.159613135536381
46,-2342.407545884095,139.1119905347121,22.767896644926534,0.15881506985869911
47,-2348.8515584692223,140.08578510310952,21.16145618966624,0.15802099450940563
48,-2345.8031499654694,141.26981732576712,21.653078983821523,0.1572308895368586
49,-2357.6454681082346,142.2997674636947,21.530078350751555,0.1564447350891743
50,-2345.602336204675,143.3680214490612,21.474367276352204,0.15566251141372844
51,-2348.4418590215996,144.47543765772366,20.853060938552623,0.1548841988566598
52,-2386.4228533491837,145.43334536492742,20.17737286346181,0.1541097778623765
53,-2375.558840577207,146.56174890255562,18.928983795128875,0.15333922897306462
54,-2330.3123246129535,147.51574552108914,19.816087039024342,0.1525725328281993
55,-2352.923642997315,148.42233263633844,19.784248690943393,0.1518096701640583
56,-2324.048599076393,149.2527511448124,20.531841666708402,0.151050621813238
57,-2321.1560796689023,149.98611259195172,23.42757772106123,0.15029536870417182
58,-2310.9914335353883,150.775405968678,23.32401568634288,0.14954389186065095
59,-2313.2925502474523,151.57197963412182,25.656736826200312,0.1487961724013477
60,-2324.4342819733192,152.43485929571372,26.060461161697027,0.14805219153934096
61,-2323.4018665528356,153.30422211754473,28.113175681303872,0.14731193058164427
62,-2349.2613045703074,154.05138826967115,29.235872733576407,0.14657537092873604
63,-2318.542683091491,154.9837499838711,29.275452209281656,0.14584249407409236
64,-2303.2583699112324,155.665505845623,27.895513882060044,0.1451132816037219
65,-2298.052833608045,156.40204169388772,28.847898855328726,0.1443877151957033
66,-2294.977739729963,157.371591666146,28.91481079743535,0.14366577661972477
67,-2269.9811413113443,158.59976750189472,28.655690147415818,0.14294744773662615
68,-2291.4991063458388,159.75055129007438,32.553316860437725,0.14223271049794303
69,-2349.8441000796884,160.0283824936571,27.86161534146241,0.14152154694545332
70,-2290.885103049689,161.9519375945663,28.677694393630155,0.14081393921072605
71,-2284.303839898192,162.9748129387061,33.41415523388456,0.1401098695146724
72,-2267.9012938075443,164.19809577528062,31.316057798759662,0.13940932016709906
73,-2271.4091617459576,165.13631718281414,30.061583360478345,0.13871227356626356
74,-2268.381049101869,166.28279803492265,31.3813336071285,0.13801871219843223
75,-2289.3099660619196,167.3079369854032,32.43516847918196,0.13732861863744006
76,-2246.5630479569377,168.1507795012876,32.62454714662342,0.13664197554425286
77,-2260.798929880038,169.08150555394454,31.082232815499765,0.1359587656665316
78,-2256.5674742791525,170.07574223079337,31.4099857472246,0.13527897183819892
79,-2289.0226895095702,170.93932481534955,29.50539003725012,0.13460257697900793
80,-2294.924313715417,171.45567555221962,32.109043462220086,0.13392956409411289
81,-2296.458274584689,172.68327726276593,31.07616907432779,0.1332599162736423
82,-2268.31847842025,173.3698671683151,33.815688062941085,0.1325936166922741
83,-2275.0460488220183,174.03056172037986,34.44215677179116,0.13193064860881273
84,-2252.7629296396844,174.71069261659667,29.588533392867724,0.13127099536576867
85,-2278.8568371052675,174.76253084015613,32.29302910272866,0.13061464038893983
86,-2269.5811029913416,175.1073008657994,29.827315961203755,0.12996156718699514
87,-2254.546700116342,176.0682850335006,36.790023826259564,0.12931175935106015
88,-2229.9009392719113,176.46823527584155,29.772091531952498,0.12866520055430486
89,-2254.1247318059204,176.85276087733072,32.68046280737546,0.12802187455153333
90,-2312.024719380803,177.10296783659487,30.368459645166517,0.12738176517877567
91,-2303.714062534272,177.13201199718577,30.37280345991026,0.1267448563528818
92,-2301.843350316437,177.8621974515318,29.723547150926233,0.12611113207111738
93,-2313.415079587571,178.52751083267913,34.11451901779387,0.1254805764107618
94,-2276.7023668855686,179.05682534335884,34.83141845920653,0.12485317352870799
95,-2287.276007152989,179.7218670798608,32.05394141431976,0.12422890766106445
96,-2316.9150369383806,180.24343420036644,32.545713780818296,0.12360776312275913
97,-2319.2043692963416,180.78223564561782,32.807989717358836,0.12298972430714533
98,-2317.7785331533746,181.29416124877082,33.257118528840934,0.1223747756856096
99,-2253.666765445191,181.9949315990294,31.8677689806974,0.12176290180718155
100,-2250.0126079219613,182.56235199611277,29.571401862010504,0.12115408729814564
