episode,episode_reward,actor_loss,critic_loss,exploration_noise
1,-10635.705564469099,,,0.199
2,-20507.454538479447,21.291251330956783,262.8146927688008,0.19800500000000001
3,-33074.55372988433,47.98096511692265,213.63280796374664,0.197014975
4,-15895.192194916308,71.42578775461592,210.77593872112757,0.19602990012500002
5,-9142.390986919461,88.76459608223905,147.27302005858016,0.19504975062437502
6,-10366.672425763682,102.85687705770819,113.23949497100872,0.19407450187125314
7,-9407.994510103017,118.80846962113043,106.53194219512302,0.19310412936189686
8,-9413.512529024854,134.09187503650224,100.99678683115147,0.19213860871508737
9,-10179.234908955172,149.3371957028194,113.4350884852721,0.19117791567151193
10,-9519.085100956261,163.60473388756765,121.78104643629389,0.19022202609315436
11,-9864.74193880707,177.947652039508,119.74723833956871,0.18927091596268858
12,-10066.944851264358,192.09405067666682,125.95647678720105,0.18832456138287512
13,-10060.847361246124,206.33298864881917,123.98293822265964,0.18738293857596075
14,-9321.16028477624,219.32717623863167,135.03063148848702,0.18644602388308096
15,-9583.225750086829,231.50952129337486,140.0511593241685,0.18551379376366556
16,-9113.877440482378,242.8028449640818,148.93115741586487,0.18458622479484724
17,-9381.04915067926,252.95208910012278,157.5692304682831,0.183663293670873
18,-9170.974613264203,262.90431811846014,165.3964121769466,0.18274497720251864
19,-9737.799965943675,271.350448926732,169.16390826738595,0.18183125231650604
20,-9687.615796151571,280.1104774528153,170.93786882127276,0.18092209605492351
21,-9687.168145209085,288.08810798316074,171.34580133090597,0.1800174855746489
22,-9654.257381781936,297.25361796712014,190.66320330178124,0.17911739814677563
23,-10675.532070913352,307.58795713549364,182.85591131324398,0.17822181115604174
24,-9557.838641780429,317.5856441662275,209.85657988271063,0.17733070210026153
25,-8718.285366773605,326.3382537374908,208.5478110386367,0.17644404858976023
26,-8714.993937402964,331.6163876762974,224.1970335173839,0.17556182834681144
27,-9104.994314029813,336.7018003079092,220.76916093255946,0.1746840192050774
28,-8635.743791684508,341.09596844541846,218.5952485446638,0.173810599109052
29,-8544.540246454999,345.61164802901436,212.35093757937116,0.17294154611350673
30,-8632.925656016916,350.5870993750815,215.0445795072468,0.1720768383829392
31,-8711.221218027174,356.0698044820687,206.32233118049294,0.1712164541910245
32,-8727.762368582189,360.2145481666703,186.5011949074948,0.17036037192006936
33,-9038.979405427352,362.4859777034075,179.10966619032646,0.16950857006046902
34,-8616.864372808486,366.20482142081016,189.00747134191437,0.16866102721016668
35,-8836.819771572948,369.8068340020319,199.16529073701946,0.16781772207411585
36,-8518.708900583908,372.2214206064195,194.63003961300484,0.16697863346374528
37,-8743.356246783398,376.03013931295635,203.3032124165202,0.16614374029642656
38,-8626.669574856467,378.9392253679427,197.1745008274975,0.16531302159494443
39,-8602.018511883914,382.1495554874935,200.99814038018027,0.16448645648696972
40,-8382.569050097838,384.9840758088898,201.90227796106245,0.16366402420453488
