time_step,reward,all_rewards,grid_import_Building_1_kwh,export_Building_1_kwh,grid_import_Building_2_kwh,export_Building_2_kwh,grid_import_Building_3_kwh,export_Building_3_kwh,grid_import_kwh,export_kwh,cumulative_grid_import_kwh,cumulative_export_kwh
0,-11.275240898132324,-11.275240898132324,2.033644199371338,0.0,0.5619984865188599,0.0,1.689454197883606,0.0,4.285096883773804,0.0,4.285096883773804,0.0
1,-4.0847843289375305,-15.360025227069855,0.8462807536125183,0.0,0.18591776490211487,0.0,0.47319296002388,0.0,1.5053914785385132,0.0,5.790488362312317,0.0
2,-3.636069416999817,-18.99609464406967,0.7249863147735596,0.0,0.18461598455905914,0.0,0.4455188810825348,0.0,1.3551211804151535,0.0,7.14560954272747,0.0
3,-3.6214816570281982,-22.61757630109787,0.6327978372573853,0.0,0.1873515099287033,0.0,0.433448851108551,0.0,1.2535981982946396,0.0,8.39920774102211,0.0
4,-3.5679948925971985,-26.18557119369507,0.6071555614471436,0.0,0.20223666727542877,0.0,0.4351603388786316,0.0,1.244552567601204,0.0,9.643760308623314,0.0
5,-5.101128995418549,-31.286700189113617,1.00062894821167,0.0,0.23087537288665771,0.0,0.49980950355529785,0.0,1.7313138246536255,0.0,11.37507413327694,0.0
6,-8.166998147964478,-39.453698337078094,1.607621669769287,0.0,0.24817126989364624,0.0,1.033126950263977,0.0,2.8889198899269104,0.0,14.26399402320385,0.0
7,-5.877955198287964,-45.33165353536606,0.5342340469360352,0.0,0.49136894941329956,0.0,0.8840543627738953,0.0,1.90965735912323,0.0,16.17365138232708,0.0
8,-32.31033182144165,-77.64198535680771,4.653266429901123,0.0,4.130773067474365,0.0,2.187143325805664,0.0,10.971182823181152,0.0,27.144834205508232,0.0
9,-15.606799125671387,-93.2487844824791,0.48263463377952576,0.0,2.6065261363983154,0.0,2.1317636966705322,0.0,5.220924466848373,0.0,32.365758672356606,0.0
10,-6.015378713607788,-99.26416319608688,0.0,0.3569531738758087,0.7033256888389587,0.0,1.284489393234253,0.0,1.630861908197403,0.0,33.99662058055401,0.0
11,-7.766565561294556,-107.03072875738144,1.8172708749771118,0.0,0.6729308366775513,0.0,0.969410240650177,0.0,3.45961195230484,0.0,37.45623253285885,0.0
12,-15.29060497134924,-122.32133372873068,0.26597872376441956,0.0,0.03973454236984253,0.0,0.7307910919189453,0.0,1.0365043580532074,0.0,38.492736890912056,0.0
13,-4.587442398071289,-126.90877612680197,0.964158833026886,0.0,0.0,0.8655845522880554,1.1427619457244873,0.0,1.2413362264633179,0.0,39.734073117375374,0.0
14,-7.752455770969391,-134.66123189777136,1.2841616868972778,0.0,1.0313800573349,0.0,0.6488509178161621,0.0,2.96439266204834,0.0,42.698465779423714,0.0
15,-25.549711227416992,-160.21094312518835,4.040409564971924,0.0,3.3332154750823975,0.0,1.8435683250427246,0.0,9.217193365097046,0.0,51.91565914452076,0.0
16,-12.415775299072266,-172.62671842426062,2.259005069732666,0.0,2.323695421218872,0.0,1.152523398399353,0.0,5.735223889350891,0.0,57.65088303387165,0.0
17,-14.769874572753906,-187.39659299701452,2.157996416091919,0.0,2.519296169281006,0.0,1.1919316053390503,0.0,5.869224190711975,0.0,63.520107224583626,0.0
