time_step,reward,cumulative_reward,grid_import_Building_1_kwh,grid_import_Building_2_kwh,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-11.275241272531913,-11.275241272531913,2.033644199371338,0.5619984865188599,1.689454197883606,4.285096883773804,4.285096883773804
1,-4.084784255363418,-15.360025527895331,0.8462807536125183,0.18591776490211487,0.47319296002388,1.5053914785385132,5.790488362312317
2,-3.636069424442841,-18.996094952338172,0.7249863147735596,0.18461598455905914,0.4455188810825348,1.3551211804151535,7.14560954272747
3,-3.6214817619432242,-22.617576714281398,0.6327978372573853,0.1873515099287033,0.433448851108551,1.2535981982946396,8.39920774102211
4,-3.5679948672146753,-26.185571581496074,0.6071555614471436,0.20223666727542877,0.4351603388786316,1.244552567601204,9.643760308623314
5,-5.101128888516791,-31.286700470012864,1.00062894821167,0.23087537288665771,0.49980950355529785,1.7313138246536255,11.37507413327694
6,-8.166997900771698,-39.453698370784565,1.607621669769287,0.24817126989364624,1.033126950263977,2.8889198899269104,14.26399402320385
7,-5.449971592929757,-44.90366996371432,0.5342340469360352,0.3452141582965851,0.8840543627738953,1.7635025680065155,16.027496591210365
8,-28.785768794272826,-73.68943875798715,4.653266429901123,2.933849573135376,2.187143325805664,9.774259328842163,25.80175592005253
9,-9.824752836103404,-83.51419159409055,0.48263463377952576,0.6722479462623596,2.1317636966705322,3.2866462767124176,29.088402196764946
10,-5.804026632661544,-89.3182182267521,0.0,0.6334824562072754,1.284489393234253,1.5610186755657196,30.649420872330666
11,-14.754551288797074,-104.07276951554917,1.8172708749771118,3.869474411010742,2.520768642425537,8.207513928413391,38.85693480074406
12,-12.990665762685854,-117.06343527823502,0.26597872376441956,0.0,0.0,0.0,38.85693480074406
13,-4.662997002732755,-121.72643228096777,1.7891688346862793,0.0,0.7570178508758545,2.4901232086122036,41.34705800935626
14,-6.819387027177982,-128.54581930814575,2.1316745281219482,1.5187703371047974,1.308411717414856,4.958856582641602,46.30591459199786
15,-27.574794694958353,-156.1206140031041,3.246535301208496,2.7856295108795166,2.149235486984253,8.181400299072266,54.48731489107013
16,-24.065443286076924,-180.186057289181,3.9399893283843994,1.9806722402572632,1.8511779308319092,7.771839499473572,62.2591543905437
17,-54.14189553002701,-234.327952819208,1.2073426246643066,0.8695511221885681,0.8444862961769104,2.921380043029785,65.18053443357348
18,-13.426099819494887,-247.7540526387029,2.5173251628875732,1.850576639175415,2.156512975692749,6.524414777755737,71.70494921132922
19,-17.13043250388914,-264.88448514259204,3.131718397140503,1.5174624919891357,2.3699629306793213,7.01914381980896,78.72409303113818
20,-16.45674487179943,-281.3412300143915,2.583674430847168,1.9071152210235596,2.459411382675171,6.950201034545898,85.67429406568408
21,-34.8631368544181,-316.2043668688096,1.9639720916748047,0.9507495164871216,2.657177448272705,5.571899056434631,91.24619312211871
22,-16.379723838297224,-332.58409070710684,1.448914885520935,5.083362579345703,2.662625312805176,9.194902777671814,100.44109589979053
23,-13.028836557191198,-345.61292726429804,1.383483648300171,2.0336709022521973,2.7313830852508545,6.148537635803223,106.58963353559375
24,-8.973538914126516,-354.58646617842453,1.3816155195236206,1.8848649263381958,1.1165059804916382,4.382986426353455,110.9726199619472
25,-28.39974930976799,-382.9862154881925,5.609626293182373,1.3063743114471436,3.359210729598999,10.275211334228516,121.24783129617572
26,0.0,-382.9862154881925,0.0,0.0,0.0,0.0,121.24783129617572
27,-3.409065348328113,-386.3952808365206,0.0,0.0,1.185450553894043,0.0,121.24783129617572
28,-8.826583972933047,-395.2218648094537,1.3546943664550781,0.20223666727542877,0.4351603388786316,1.9920913726091385,123.23992266878486
29,-18.640945885040182,-413.8628106944939,1.3658525943756104,0.23087537288665771,0.49980950355529785,2.096537470817566,125.33646013960242
30,-12.770134862765758,-426.63294555725963,2.357550621032715,0.8064035773277283,1.1533982753753662,4.317352473735809,129.65381261333823
31,-2.168364051355926,-428.80130960861555,0.07796920090913773,0.19240280985832214,0.49188804626464844,0.7622600570321083,130.41607267037034
32,-22.213367623731923,-451.0146772323475,0.0,6.722661018371582,0.49013590812683105,6.8512981832027435,137.26737085357308
33,-6.075683778214312,-457.09036101056176,0.5855610966682434,0.9711832404136658,0.9425197243690491,2.4992640614509583,139.76663491502404
34,-6.909604316056315,-463.99996532661805,1.089985728263855,0.0,0.6761959195137024,1.237636387348175,141.00427130237222
35,-15.989900867803104,-479.98986619442115,1.3498703241348267,0.7794175744056702,0.47950679063796997,2.608794689178467,143.61306599155068
36,-30.354410836977813,-510.344277031399,7.879584789276123,1.6435843706130981,1.635791540145874,11.158960700035095,154.77202669158578
37,-17.58360585553269,-527.9278828869317,3.8069448471069336,0.9559856653213501,0.7919212579727173,5.554851770401001,160.32687846198678
38,-30.59466618302065,-558.5225490699523,1.5404163599014282,1.0664689540863037,1.3248486518859863,3.9317339658737183,164.2586124278605
39,-37.0248684907423,-595.5474175606946,1.399733543395996,1.8983535766601562,1.1420280933380127,4.440115213394165,168.69872764125466
40,-53.22280098343822,-648.7702185441328,2.5025556087493896,1.3194069862365723,1.876941204071045,5.698903799057007,174.39763144031167
41,-12.726705299569833,-661.4969238437027,1.9090077877044678,1.6794472932815552,1.7554574012756348,5.343912482261658,179.74154392257333
42,-34.513346613101746,-696.0102704568044,3.163917303085327,1.4173407554626465,2.4634814262390137,7.044739484786987,186.78628340736032
43,-14.273405233091578,-710.283675689896,2.81315541267395,1.3454039096832275,2.115232467651367,6.273791790008545,193.06007519736886
44,-17.375246863494706,-727.6589225533907,4.345648288726807,1.3279529809951782,1.8396000862121582,7.513201355934143,200.573276553303
45,-13.411978115427262,-741.0709006688179,2.6901395320892334,1.3225005865097046,2.0881357192993164,6.100775837898254,206.67405239120126
46,-108.54890402988434,-849.6198046987022,0.5435421466827393,0.19325745105743408,0.6922207474708557,1.429020345211029,208.1030727364123
47,-11.737889601455036,-861.3576943001572,1.4023902416229248,0.7521432042121887,1.1211706399917603,3.275704085826874,211.37877682223916
48,-23.862378568933458,-885.2200728690906,4.46382999420166,2.439856767654419,3.199782371520996,10.103469133377075,221.48224595561624
