time_step,reward,cumulative_reward,grid_import_Building_1_kwh,grid_import_Building_2_kwh,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-4.285096645355225,-4.285096645355225,2.033644199371338,0.5619984865188599,1.689454197883606,4.285096883773804,4.285096883773804
1,-4.51617431640625,-8.801270961761475,0.8462807536125183,0.18591776490211487,0.47319296002388,1.5053914785385132,5.790488362312317
2,-4.065363883972168,-12.866634845733643,0.7249863147735596,0.18461598455905914,0.4455188810825348,1.3551211804151535,7.14560954272747
3,-3.7607946395874023,-16.627429485321045,0.6327978372573853,0.1873515099287033,0.433448851108551,1.2535981982946396,8.39920774102211
4,-3.7336575984954834,-20.36108708381653,0.6071555614471436,0.20223666727542877,0.4351603388786316,1.244552567601204,9.643760308623314
5,-5.193941116333008,-25.555028200149536,1.00062894821167,0.23087537288665771,0.49980950355529785,1.7313138246536255,11.37507413327694
6,-1.4444599151611328,-26.99948811531067,1.607621669769287,0.24817126989364624,1.033126950263977,2.8889198899269104,14.26399402320385
7,-0.881751298904419,-27.881239414215088,0.5342340469360352,0.3452141582965851,0.8840543627738953,1.7635025680065155,16.027496591210365
8,-4.887129783630371,-32.76836919784546,4.653266429901123,2.933849573135376,2.187143325805664,9.774259328842163,25.80175592005253
9,-1.6433231830596924,-34.41169238090515,0.48263463377952576,0.6722479462623596,2.1317636966705322,3.2866462767124176,29.088402196764946
10,-0.9589859247207642,-35.370678305625916,0.0,0.6334824562072754,1.284489393234253,1.5610186755657196,30.649420872330666
11,-1.727597951889038,-37.098276257514954,1.8172708749771118,0.6685148477554321,0.969410240650177,3.455195963382721,34.10461683571339
12,-0.9836007356643677,-38.08187699317932,0.26597872376441956,0.9704316258430481,0.7307910919189453,1.967201441526413,36.0718182772398
13,0.0,-38.08187699317932,0.0,0.0,0.0,0.0,36.0718182772398
14,0.0,-38.08187699317932,0.0,0.0,0.0,0.0,36.0718182772398
15,-1.3265159130096436,-39.408392906188965,0.16432055830955505,1.0962364673614502,0.06595885753631592,1.3265158832073212,37.39833416044712
16,-0.2912794053554535,-39.69967231154442,0.0,0.2912794053554535,0.0,0.0,37.39833416044712
17,-0.6364187002182007,-40.33609101176262,0.1799376904964447,0.3064201772212982,0.15006080269813538,0.6364186704158783,38.034752830863
18,-1.3913612365722656,-41.727452248334885,0.4625154137611389,0.16118374466896057,0.7676620483398438,1.3913612067699432,39.42611403763294
19,-2.449221134185791,-44.176673382520676,1.0769085884094238,0.3912005126476288,0.9811120629310608,2.4492211639881134,41.875335201621056
20,-2.3802783489227295,-46.556951731443405,0.5288646817207336,0.780853271484375,1.0705604553222656,2.3802784085273743,44.25561361014843
21,-3.286937713623047,-49.84388944506645,0.9365671873092651,0.3876185119152069,1.962751865386963,3.286937564611435,47.542551174759865
22,-2.5829672813415527,-52.426856726408005,0.4215100109577179,0.19325745105743408,1.9681999683380127,2.5829674303531647,50.12551860511303
23,-2.5820488929748535,-55.00890561938286,0.3560788035392761,0.18901224434375763,2.0369577407836914,2.582048788666725,52.707567393779755
24,-0.9636238813400269,-55.972529500722885,0.35421058535575867,0.18733283877372742,0.42208048701286316,0.9636239111423492,53.671191304922104
25,-26.7206974029541,-82.69322690367699,3.554816246032715,3.3812859058380127,1.9707965850830078,8.906898736953735,62.57809004187584
26,0.0,-82.69322690367699,0.0,0.0,0.0,0.0,62.57809004187584
27,-3.5564355850219727,-86.24966248869896,0.0,0.0,1.1854785680770874,0.0,62.57809004187584
28,-5.976274013519287,-92.22593650221825,1.3546943664550781,0.20223666727542877,0.4351603388786316,1.9920913726091385,64.57018141448498
29,-6.289612770080566,-98.51554927229881,1.3658525943756104,0.23087537288665771,0.49980950355529785,2.096537470817566,66.66671888530254
30,-2.1503326892852783,-100.66588196158409,2.347313642501831,0.7999534010887146,1.1533982753753662,4.300665318965912,70.96738420426846
31,-0.3810834288597107,-101.0469653904438,0.0778922364115715,0.19238653779029846,0.49188804626464844,0.7621668204665184,71.72955102473497
32,-2.782089591026306,-103.82905498147011,0.0,5.074043273925781,0.49013590812683105,5.202680438756943,76.93223146349192
33,-0.12404711544513702,-103.95310209691525,0.0,0.0,0.24809423089027405,0.0,76.93223146349192
34,-0.03132716566324234,-103.98442926257849,0.06265433132648468,0.0,0.0,0.0,76.93223146349192
35,-0.26956284791231155,-104.2539921104908,0.3224653899669647,0.2166603058576584,0.0,0.32420703768730164,77.25643850117922
36,-2.3986849784851074,-106.6526770889759,4.797369956970215,0.0,0.0,4.304076500236988,81.5605150014162
37,-0.8760675191879272,-107.52874460816383,1.7521350383758545,0.0,0.0,0.984929084777832,82.54544408619404
38,0.0,-107.52874460816383,0.0,0.0,0.0,0.0,82.54544408619404
39,-0.7720916271209717,-108.3008362352848,0.0,0.7720916271209717,0.0,0.0,82.54544408619404
40,-1.1289808750152588,-109.42981711030006,0.447745680809021,0.19314506649971008,0.4880902171134949,1.128980964422226,83.67442505061626
41,-0.3666064143180847,-109.79642352461815,0.0,0.0,0.3666064143180847,0.21085864678025246,83.88528369739652
42,-2.4748167991638184,-112.27124032378197,1.109107494354248,0.2910788059234619,1.074630618095398,2.474816918373108,86.36010061576962
43,-1.703869104385376,-113.97510942816734,0.7583456039428711,0.21914196014404297,0.7263814806938171,1.7038690447807312,88.06396966055036
44,-2.9432787895202637,-116.9183882176876,2.2908387184143066,0.20169100165367126,0.4507490396499634,2.9432787597179413,91.0072484202683
45,-1.530853033065796,-118.4492412507534,0.6353296637535095,0.19623863697052002,0.6992846727371216,1.5308529734611511,92.53810139372945
46,-1.4290204048156738,-119.87826165556908,0.5435421466827393,0.19325745105743408,0.6922207474708557,1.429020345211029,93.96712173894048
47,-0.9907427430152893,-120.86900439858437,0.37498530745506287,0.18901224434375763,0.4267451763153076,0.9907427281141281,94.9578644670546
48,-0.9636238813400269,-121.83262827992439,0.35421058535575867,0.18733283877372742,0.42208048701286316,0.9636239111423492,95.92148837819695
49,-2.8729755878448486,-124.70560386776924,0.3527388870716095,0.18591776490211487,0.41900184750556946,0.9576584994792938,96.87914687767625
50,-2.8579680919647217,-127.56357195973396,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,97.83180289343
51,-2.8231120109558105,-130.38668397068977,0.3348560631275177,0.1873515099287033,0.4188297688961029,0.9410373419523239,98.77284023538232
52,-2.9580118656158447,-133.34469583630562,0.34860697388648987,0.20223666727542877,0.4351603388786316,0.9860039800405502,99.75884421542287
53,-3.2383852005004883,-136.5830810368061,0.3487769067287445,0.23087537288665771,0.49980950355529785,1.0794617831707,100.83830599859357
54,-0.49596112966537476,-137.07904216647148,0.30258339643478394,0.23897044360637665,0.4503684341907501,0.9919222742319107,101.83022827282548
55,-0.5643903017044067,-137.6434324681759,0.5197288393974304,0.2986651062965393,0.31038662791252136,1.128780573606491,102.95900884643197
56,-0.932579517364502,-138.5760119855404,0.794775664806366,0.2044009417295456,0.8659823536872864,1.865158960223198,104.82416780665517
57,-0.3269730880856514,-138.90298507362604,0.0,0.22833411395549774,0.42561206221580505,0.11358465254306793,104.93775245919824
58,-1.987086296081543,-140.89007136970758,0.18284235894680023,2.3005998134613037,1.4907306432724,3.974172815680504,108.91192527487874
59,-0.637292206287384,-141.52736357599497,0.0,1.274584412574768,0.0,0.0,108.91192527487874
60,-0.18288108706474304,-141.7102446630597,0.0,0.3657621741294861,0.0,0.0,108.91192527487874
61,-3.5016181468963623,-145.21186280995607,0.0,0.0,7.003236293792725,6.056027218699455,114.9679524935782
62,0.0,-145.21186280995607,0.0,0.0,0.0,0.0,114.9679524935782
63,-2.0864264369010925,-147.29828924685717,1.561369776725769,0.0,0.5250566601753235,2.0728520723059773,117.04080456588417
64,-2.13383150100708,-149.43212074786425,0.9007319211959839,0.011278570629656315,1.2218209505081177,2.133831442333758,119.17463600821793
65,-1.0445339679718018,-150.47665471583605,0.14395681023597717,0.21786905825138092,0.6827080249786377,1.0445338934659958,120.21916990168393
66,-3.2661426067352295,-153.74279732257128,0.9867361783981323,0.313500314950943,1.9659061431884766,3.266142636537552,123.48531253822148
67,-2.5142626762390137,-156.2570599988103,0.8331621885299683,0.35911455750465393,1.3219858407974243,2.5142625868320465,125.99957512505352
68,-2.139162540435791,-158.39622253924608,0.6107575297355652,0.36468249559402466,1.1637225151062012,2.139162540435791,128.13873766548932
69,-2.2731752395629883,-160.66939777880907,0.6353296637535095,0.4478263854980469,1.1900190114974976,2.273175060749054,130.41191272623837
70,-1.111764669418335,-161.7811624482274,0.48252609372138977,0.19325745105743408,0.4359810948371887,1.1117646396160126,131.52367736585438
71,-1.48699951171875,-163.26816195994616,0.8712420463562012,0.18901224434375763,0.4267451763153076,1.4869994670152664,133.01067683286965
72,-0.968881368637085,-164.23704332858324,0.3594680726528168,0.18733283877372742,0.42208048701286316,0.9688813984394073,133.97955823130906
73,-2.8729755878448486,-167.1100189164281,0.3527388870716095,0.18591776490211487,0.41900184750556946,0.9576584994792938,134.93721673078835
74,-2.8579680919647217,-169.9679870083928,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,135.8898727465421
75,-2.8231120109558105,-172.79109901934862,0.3348560631275177,0.1873515099287033,0.4188297688961029,0.9410373419523239,136.83091008849442
76,-2.9580118656158447,-175.74911088496447,0.34860697388648987,0.20223666727542877,0.4351603388786316,0.9860039800405502,137.81691406853497
77,-6.379087448120117,-182.12819833308458,1.3677350282669067,0.23087537288665771,0.5277521014213562,2.1263625025749207,139.9432765711099
78,-1.2636260986328125,-183.3918244317174,0.3598918616771698,0.25422030687332153,1.9131399393081665,2.527252107858658,142.47052867896855
79,-3.0303726196289062,-186.4221970513463,2.5553765296936035,1.487388014793396,2.0179803371429443,6.060744881629944,148.5312735605985
80,-1.1166391372680664,-187.53883618861437,0.14558805525302887,0.36487680673599243,1.722813367843628,2.2332782298326492,150.76455179043114
81,-1.0176065862178802,-188.55644277483225,0.0,1.501839518547058,0.5333736538887024,1.8354650288820267,152.60001681931317
82,-1.2366867065429688,-189.79312948137522,0.10277063399553299,1.4330673217773438,0.9375355243682861,2.473373480141163,155.07339029945433
83,-2.645496666431427,-192.43862614780664,0.0,3.4966683387756348,1.7943249940872192,4.9406289756298065,160.01401927508414
84,0.0,-192.43862614780664,0.0,0.0,0.0,0.0,160.01401927508414
85,-0.04343518987298012,-192.48206133767962,0.0,0.08687037974596024,0.0,0.0,160.01401927508414
86,0.0,-192.48206133767962,0.0,0.0,0.0,0.0,160.01401927508414
87,-0.0067829894833266735,-192.48884432716295,0.0,0.0067829894833266735,0.0,0.0,160.01401927508414
88,-0.19390042126178741,-192.68274474842474,0.0,0.19390042126178741,0.0,0.0,160.01401927508414
89,-2.507204532623291,-195.18994928104803,0.9598867297172546,1.2953776121139526,0.25194022059440613,2.5072045624256134,162.52122383750975
90,-1.5222392082214355,-196.71218848926947,0.398721843957901,0.29576143622398376,0.827755868434906,1.5222391486167908,164.04346298612654
91,-1.805208683013916,-198.51739717228338,0.5945645570755005,0.4842626452445984,0.7263814806938171,1.805208683013916,165.84867166914046
92,-2.0617852210998535,-200.57918239338323,0.9364479184150696,0.36468249559402466,0.7606547474861145,2.0617851614952087,167.91045683063567
93,-1.748924732208252,-202.3281071255915,0.5447744131088257,0.3876185119152069,0.8165318369865417,1.7489247620105743,169.65938159264624
94,-1.9517195224761963,-204.27982664806768,0.6589604616165161,0.3296126127243042,0.963146448135376,1.9517195224761963,171.61110111512244
95,-1.1967880725860596,-205.47661472065374,0.3560788035392761,0.3141602873802185,0.5265489816665649,1.1967880725860596,172.8078891877085
96,-0.9942672252655029,-206.47088194591925,0.35421058535575867,0.18733283877372742,0.45272377133369446,0.9942671954631805,173.80215638317168
97,-2.8669543266296387,-209.33783627254888,0.3527388870716095,0.18591776490211487,0.41699478030204773,0.9556514322757721,174.75780781544745
98,-2.8579680919647217,-212.1958043645136,0.3514370918273926,0.18461598455905914,0.4166029393672943,0.952656015753746,175.7104638312012
99,-2.8687796592712402,-215.06458402378485,0.35007867217063904,0.1873515099287033,0.4188297688961029,0.9562599509954453,176.66672378219664
100,-5.6758527755737305,-220.74043679935858,1.2545539140701294,0.20223666727542877,0.4351603388786316,1.8919509202241898,178.55867470242083
101,-3.316565752029419,-224.057002551388,0.3468944728374481,0.23087537288665771,0.5277521014213562,1.105521947145462,179.6641966495663
102,-2.0293686389923096,-226.0863711903803,2.1058928966522217,0.8040844202041626,1.1487598419189453,4.05873715877533,183.72293380834162
103,-2.5582621097564697,-228.64463330013677,2.434220552444458,1.6793020963668823,1.0030016899108887,5.116524338722229,188.83945814706385
104,-0.27794012427330017,-228.92257342441007,0.26671406626701355,0.23807062208652496,0.05109556391835213,0.5558802522718906,189.39533839933574
105,-0.11519726365804672,-229.03777068806812,0.0,0.23039452731609344,0.0,0.0,189.39533839933574
106,0.0,-229.03777068806812,0.0,0.0,0.0,0.0,189.39533839933574
107,-0.25461697578430176,-229.29238766385242,0.0,0.5092339515686035,0.0,0.0,189.39533839933574
