episode,episode_reward,epsilon
1,-4227.928900070488,0.9704455335485082
2,-4280.84438883455,0.9417645335842487
3,-4050.4018287654035,0.9139311852712282
4,-4009.710721170006,0.8869204367171575
5,-3904.580588643905,0.8607079764250578
6,-3655.810270573944,0.835270211411272
7,-3838.3818396832794,0.8105842459701871
8,-3835.763330541551,0.7866278610665535
9,-3770.034282350156,0.7633794943368531
10,-3648.59829197824,0.7408182206817179
11,-3759.38130903244,0.7189237334319262
12,-3535.2594641256146,0.697676326071031
13,-3535.1581488884985,0.6770568744981647
14,-3402.9024324305356,0.6570468198150567
15,-3390.373765952885,0.6376281516217733
16,-3251.9560148102464,0.6187833918061408
17,-2922.064389307052,0.6004955788122659
18,-2846.354971908033,0.5827482523739896
19,-2865.2090044654906,0.5655254386995371
20,-2895.5309705166146,0.5488116360940265
21,-2809.654936910083,0.5325918010068972
22,-3010.549342009006,0.5168513344916993
23,-2990.847031151876,0.5015760690660556
24,-3072.7795735599357,0.4867522559599717
25,-3216.4296929077245,0.4723665527410147
26,-2897.1053427560255,0.4584060113052235
27,-2994.8963203676976,0.44485806622294116
28,-2884.2987006942276,0.43171052342907973
29,-2863.1410053353175,0.35
30,-2492.0110490330844,0.40656965974059917
31,-2722.0063120815903,0.39455371037160114
32,-2597.3820312237367,0.38289288597511206
33,-2549.2211973406374,0.3715766910220457
34,-2684.3191982973367,0.3605949401730783
35,-2633.3653759304434,0.3499377491111553
36,-2755.0756960981525,0.3395955256449391
37,-2815.9650925103924,0.3295589610751891
38,-2611.420464263705,0.31981902181630395
39,-2430.905284328386,0.31036694126548503
40,-2515.827833492309,0.30119421191220214
41,-2243.585448439233,0.2922925776808594
42,-2279.792862641163,0.2836540264997704
43,-2065.929750425741,0.27527078308975234
44,-2045.342678219371,0.2671353019658504
45,-2088.21067720087,0.25924026064589156
46,-2204.87065364141,0.2515785530597565
47,-2361.6457488306914,0.2441432831534371
48,-2399.311766680272,0.23692775868212176
49,-2671.5062090366846,0.22992548518672384
50,-2630.1832815626985,0.22313016014842982
51,-2477.894523408846,0.21653566731600707
52,-2416.858370746544,0.21013607120076472
53,-2261.18943079788,0.20392561173421347
54,-2161.1624355008826,0.2778986990836147
55,-2215.4386779321358,0.19204990862075413
56,-2068.900672719814,0.18637397603940997
57,-1892.9373718667775,0.1808657926171221
58,-2086.1334318136796,0.17552040061699686
59,-2282.3679994791746,0.17033298882540943
60,-2220.6187885142863,0.16529888822158656
61,-2262.7829694240354,0.1604135677751728
62,-2098.446732614597,0.15567263036799733
63,-2010.508514191024,0.15107180883637086
64,-1966.967486511916,0.14660696213035015
65,-1838.8999557988718,0.1422740715865136
66,-1778.7246879236773,0.13806923731089282
67,-1692.249392945785,0.13398867466880499
68,-1671.756852577324,0.1300287108784259
69,-1659.444136778824,0.12618578170503877
70,-1720.7390934792347,0.1224564282529819
71,-1848.7313043460017,0.11883729385240965
72,-2321.6524307601503,0.11532512103806251
73,-2410.291060821095,0.11191674861732888
74,-2267.9977581598214,0.10860910882495801
75,-2557.5638782730675,0.10539922456186433
76,-1946.9633520835778,0.10228420671553748
