episode,episode_reward,actor_loss,critic_loss,exploration_noise
1,-5540.351682578793,,,0.199
2,-7511.911233889126,11.300790094636838,18.4872035219892,0.19800500000000001
3,-8723.102943753931,21.085175113651452,19.083271374125474,0.197014975
4,-5567.60916529918,32.76384334802959,19.72673072204802,0.19602990012500002
5,-4717.7894276722955,40.01674244102085,15.13625136734879,0.19504975062437502
6,-4752.210903937082,45.724012239586166,14.367309537152753,0.19407450187125314
7,-4509.455203652052,49.91094938339212,14.430949638881339,0.19310412936189686
8,-4386.686254264122,53.24223621034158,14.401215148071586,0.19213860871508737
9,-4442.762249130896,56.13880505515405,14.407823044003631,0.19117791567151193
10,-4392.307540231645,58.63684271970279,14.390759774474674,0.19022202609315436
11,-4366.9038816797,60.51796713392658,14.20219443205832,0.18927091596268858
12,-4474.5175598141905,62.014484097795126,13.976666085743274,0.18832456138287512
13,-4366.255055096008,63.29873786682214,13.88227642494382,0.18738293857596075
14,-4300.346932641003,64.3762225759875,13.939124379933958,0.18644602388308096
15,-4478.1570058957695,65.1360267989327,14.211165171505181,0.18551379376366556
16,-4308.467023578353,65.86454603701871,14.623801166391173,0.18458622479484724
17,-4440.952697674153,66.3824707476917,14.920150947172884,0.183663293670873
18,-4396.1631910006845,66.81832233158372,14.555785579044729,0.18274497720251864
19,-4247.578727079905,67.29210440008299,15.117642338982211,0.18183125231650604
20,-4139.205047550131,67.339446363595,14.175232816969404,0.18092209605492351
21,-4220.871003430717,67.18595078724316,14.104050812038162,0.1800174855746489
22,-4127.5000702235575,67.4032309244339,13.891436418339673,0.17911739814677563
23,-4255.258104052713,67.54446663677443,13.848014159063304,0.17822181115604174
24,-4354.051726582732,67.79855341374127,13.776303179240857,0.17733070210026153
25,-4288.492970082388,68.09346484740023,13.802187080675106,0.17644404858976023
26,-4197.55299645179,68.54899755273641,13.82631937419589,0.17556182834681144
27,-4177.694147404528,68.6424175999924,13.54224177361861,0.1746840192050774
28,-4160.6519579537535,68.73444000371474,13.214024887297183,0.173810599109052
29,-4149.830869952946,68.76372279775988,12.89788486828227,0.17294154611350673
30,-4287.376656675297,68.57210138610075,12.582909485229365,0.1720768383829392
31,-4541.462871442857,68.24760348939431,12.287148552577586,0.1712164541910245
32,-4283.575171092345,68.51761822441854,12.702714183234372,0.17036037192006936
33,-4525.470722147803,68.75615941499967,13.066627929538944,0.16950857006046902
34,-4303.271870096038,69.08868790203408,13.33616656620413,0.16866102721016668
35,-4317.415935039013,69.36385890870498,13.106099600917938,0.16781772207411585
36,-4268.104137641805,69.57576606336654,13.179228898049727,0.16697863346374528
37,-4127.831955630315,69.93166812902034,13.69326721544226,0.16614374029642656
38,-4214.283377963217,70.3573948378689,13.406059204122785,0.16531302159494443
39,-4431.8720176012175,70.72794392974387,12.72151303921356,0.16448645648696972
40,-4223.547550012468,71.30439007033559,13.010597154062879,0.16366402420453488
