time_step,reward,cumulative_reward,grid_import_kwh,cumulative_grid_import_kwh
0,-5.0835114732876265,-5.0835114732876265,2.033644199371338,2.033644199371338
1,-2.0611406573487785,-7.1446521306364055,0.8462807536125183,2.879924952983856
2,-9.964013167537269,-17.108665298173676,3.9252262115478516,6.805151164531708
3,0.0,-17.108665298173676,0.0,6.805151164531708
4,0.0,-17.108665298173676,0.0,6.805151164531708
5,-2.771018062237772,-19.87968336041145,0.9900305867195129,7.795181751251221
6,-10.789722881102717,-30.669406241514167,4.807789325714111,12.602971076965332
7,0.0,-30.669406241514167,0.0,12.602971076965332
8,-7.387830390777163,-38.05723663229133,3.136085271835327,15.73905634880066
9,-0.9171823252418562,-38.97441895753318,0.4720410108566284,16.211097359657288
10,0.0,-38.97441895753318,0.0,16.211097359657288
11,-3.477068711002812,-42.451487668536,1.8172708749771118,18.0283682346344
12,-0.5160472864948759,-42.96753495503087,0.26597872376441956,18.29434695839882
13,0.0,-42.96753495503087,0.0,18.29434695839882
14,-0.10570366296479607,-43.07323861799567,0.0768645778298378,18.371211536228657
15,-0.2960687176437915,-43.36930733563946,0.16432055830955505,18.535532094538212
16,-6.854963719526737,-50.2242710551662,5.085796356201172,23.621328450739384
17,0.0,-50.2242710551662,0.0,23.621328450739384
18,-1.0536089319946276,-51.27787998716082,0.4625154137611389,24.083843864500523
19,-1.4013234335169045,-52.67920342067773,0.6044085025787354,24.688252367079258
20,-1.0018002038112115,-53.681003624488945,0.5288646817207336,25.21711704879999
21,-1.8707524977210899,-55.55175612221004,0.9097188711166382,26.12683591991663
22,-0.8295375057465663,-56.3812936279566,0.42118358612060547,26.548019506037235
23,-0.7232364716394954,-57.1045300995961,0.3560788035392761,26.90409830957651
24,-0.7390722553396245,-57.84360235493572,0.35421058535575867,27.25830889493227
25,-9.866842673594723,-67.71044502853044,4.462358474731445,31.720667369663715
26,-9.785028366198413,-77.49547339472886,4.461056709289551,36.181724078953266
27,-7.896348212628405,-85.39182160735727,3.43229341506958,39.614017494022846
28,-3.6554117875083723,-89.04723339486564,1.3546943664550781,40.968711860477924
29,-6.8924058192073065,-95.93963921407295,2.3932576179504395,43.361969478428364
30,-3.737669239952584,-99.67730845402554,1.3301458358764648,44.69211531430483
31,-0.21070543777600503,-99.88801389180153,0.07796920090913773,44.770084515213966
32,0.0,-99.88801389180153,0.0,44.770084515213966
33,-8.87733555653549,-108.76534944833702,3.6777846813201904,48.44786919653416
34,-0.14428713764862405,-108.90963658598564,0.06265433132648468,48.51052352786064
35,-0.7574162890341918,-109.66705287501983,0.3224653899669647,48.832988917827606
36,-19.382909477441718,-129.04996235246156,8.906989097595215,57.73997801542282
37,-6.664137318344911,-135.71409967080646,2.7795398235321045,60.519517838954926
38,0.0,-135.71409967080646,0.0,60.519517838954926
39,-0.6142281721967493,-136.32832784300322,0.3723286986351013,60.89184653759003
40,-0.696907318456789,-137.02523516146002,0.447745680809021,61.33959221839905
41,0.0,-137.02523516146002,0.0,61.33959221839905
42,-4.030210090880791,-141.0554452523408,2.136512279510498,63.476104497909546
43,-1.6390352263364092,-142.6944804786772,0.7583456039428711,64.23445010185242
44,-5.03296730015045,-147.72744777882767,2.2908387184143066,66.52528882026672
45,-1.326876532432607,-149.05432431126027,0.6353296637535095,67.16061848402023
46,-1.2133138141730646,-150.26763812543334,0.5435421466827393,67.70416063070297
47,-0.8363374353164147,-151.10397556074975,0.37498530745506287,68.07914593815804
48,-0.6692597933880127,-151.77323535413777,0.35421058535575867,68.4333565235138
49,-6.758939669427855,-158.53217502356563,3.554884433746338,71.98824095726013
50,-0.010451271302690095,-158.5426262948683,0.005487561225891113,71.99372851848602
51,-12.104835951752678,-170.647462246621,6.045924663543701,78.03965318202972
52,0.0,-170.647462246621,0.0,78.03965318202972
53,-3.7563012567597984,-174.4037635033808,1.6073778867721558,79.64703106880188
54,-0.5996019191249105,-175.0033654225057,0.2748796343803406,79.92191070318222
55,-8.197867835292437,-183.20123325779815,3.7198703289031982,83.64178103208542
56,-1.8556538044246698,-185.0568870622228,0.794775664806366,84.43655669689178
57,0.0,-185.0568870622228,0.0,84.43655669689178
58,0.0,-185.0568870622228,0.0,84.43655669689178
59,0.0,-185.0568870622228,0.0,84.43655669689178
60,0.0,-185.0568870622228,0.0,84.43655669689178
61,-2.370366118187561,-187.42725318041036,1.2801752090454102,85.7167319059372
62,-2.416628770370274,-189.84388195078063,1.3717877864837646,87.08851969242096
63,-2.8936464757998692,-192.7375284265805,1.561369776725769,88.64988946914673
64,-1.547668643170387,-194.2851970697509,0.9007319211959839,89.55062139034271
65,-0.2577504882591555,-194.54294755801004,0.14395681023597717,89.69457820057869
66,-1.9331102965409928,-196.47605785455104,0.9867361783981323,90.68131437897682
67,-8.292488398633667,-204.76854625318472,4.033474445343018,94.71478882431984
68,0.0,-204.76854625318472,0.0,94.71478882431984
69,0.0,-204.76854625318472,0.0,94.71478882431984
70,-1.0212094883689078,-205.78975574155362,0.47195836901664734,95.18674719333649
71,-1.732333984820775,-207.5220897263744,0.8712420463562012,96.05798923969269
72,-0.7336848387919114,-208.2557745651663,0.3594680726528168,96.4174573123455
73,-0.6945108027411379,-208.95028536790744,0.3527388870716095,96.77019619941711
74,-9.361830845569754,-218.3121162134772,4.461056709289551,101.23125290870667
75,-5.235084421031448,-223.54720063450864,2.3896658420562744,103.62091875076294
76,-5.217765286684031,-228.76496592119267,2.403416872024536,106.02433562278748
77,-8.715151811563798,-237.48011773275647,4.568214416503906,110.59255003929138
78,-0.026211648998857303,-237.50632938175534,0.013889390043914318,110.6064394293353
79,-0.02196909653979873,-237.52829847829514,0.011490561999380589,110.61792999133468
80,-12.194183218171322,-249.72248169646647,6.416601181030273,117.03453117236495
81,0.0,-249.72248169646647,0.0,117.03453117236495
82,-2.1216825367320022,-251.84416423319848,1.2833232879638672,118.31785446032882
83,0.0,-251.84416423319848,0.0,118.31785446032882
84,0.0,-251.84416423319848,0.0,118.31785446032882
85,0.0,-251.84416423319848,0.0,118.31785446032882
86,0.0,-251.84416423319848,0.0,118.31785446032882
87,-0.6404369823477282,-252.4846012155462,0.39555931091308594,118.7134137712419
