run_id,episode,episode_reward,epsilon
1,1,-1753.4591704998165,0.9704455335485082
1,2,-1721.8907587639987,0.9417645335842487
1,3,-1679.4538211412728,0.9139311852712282
1,4,-1681.0127579532564,0.8869204367171575
1,5,-1617.4987164693885,0.8607079764250578
1,6,-1678.9060058901086,0.835270211411272
1,7,-1558.113029435277,0.8105842459701871
1,8,-1520.6734025198384,0.7866278610665535
1,9,-1599.9481058456004,0.7633794943368531
1,10,-1539.016896883957,0.7408182206817179
1,11,-1424.4790651835501,0.7189237334319262
1,12,-1459.8834041333757,0.697676326071031
1,13,-1425.7785694608465,0.6770568744981647
1,14,-1385.1349142231047,0.6570468198150567
1,15,-1411.234818186611,0.6376281516217733
1,16,-1400.6526635624468,0.6187833918061408
1,17,-1359.1708702621982,0.6004955788122659
1,18,-1276.6423303335905,0.5827482523739896
1,19,-1311.3940763934515,0.5655254386995371
1,20,-1254.9314266126603,0.5488116360940265
1,21,-1264.6497168811038,0.5325918010068972
1,22,-1231.769885847345,0.5168513344916993
1,23,-1199.0007716510445,0.5015760690660556
1,24,-1255.962088048458,0.4867522559599717
1,25,-1201.0361539516598,0.4723665527410147
1,26,-1130.2355887615122,0.4584060113052235
1,27,-1142.7256693635136,0.44485806622294116
1,28,-1126.9711780883372,0.43171052342907973
1,29,-1141.1800083648413,0.418951549247639
1,30,-1159.9999552769586,0.40656965974059917
1,31,-1052.5796746392734,0.39455371037160114
1,32,-1131.7407112419605,0.38289288597511206
1,33,-1020.0224406970665,0.3715766910220457
1,34,-1016.414751493372,0.3605949401730783
1,35,-1083.2409859420732,0.3499377491111553
1,36,-1056.5145584093407,0.3395955256449391
1,37,-1079.076577003114,0.3295589610751891
1,38,-1001.7744152331725,0.31981902181630395
1,39,-1041.5014337250032,0.31036694126548503
1,40,-995.543369893916,0.30119421191220214
1,41,-1050.545661192853,0.2922925776808594
1,42,-1033.6235383078456,0.2836540264997704
1,43,-984.1385208526626,0.27527078308975234
1,44,-981.4136276128702,0.2671353019658504
1,45,-1025.544215313159,0.25924026064589156
1,46,-973.4938660692424,0.2515785530597565
1,47,-1017.096608675085,0.2441432831534371
1,48,-964.9701282866299,0.23692775868212176
1,49,-959.7720656343736,0.22992548518672384
1,50,-1050.9845232707448,0.22313016014842982
1,51,-966.1238607959822,0.21653566731600707
1,52,-947.7587202088907,0.21013607120076472
1,53,-931.1867297552526,0.20392561173421347
1,54,-927.4192222040147,0.1978986990836147
1,55,-921.999380607158,0.19204990862075413
1,56,-967.0173015119508,0.18637397603940997
1,57,-962.6287484592758,0.1808657926171221
1,58,-929.7639307063073,0.17552040061699686
1,59,-941.5438148006797,0.17033298882540943
1,60,-936.3435671934858,0.16529888822158656
1,61,-937.4555432200432,0.1604135677751728
1,62,-930.0315315802582,0.15567263036799733
1,63,-917.672123122029,0.15107180883637086
