run_id,episode,episode_reward,epsilon
1,1,-3806.7673420226993,0.9704455335485082
1,2,-3736.322587683006,0.9417645335842487
1,3,-3652.168802545911,0.9139311852712282
1,4,-3630.665242293322,0.8869204367171575
1,5,-3515.3710244937183,0.8607079764250578
1,6,-3649.897579687289,0.835270211411272
1,7,-3400.5061683835625,0.8105842459701871
1,8,-3276.4316398364367,0.7866278610665535
1,9,-3474.675183401725,0.7633794943368531
1,10,-3323.047876072652,0.7408182206817179
1,11,-3069.0732789655476,0.7189237334319262
1,12,-3198.2274498102015,0.697676326071031
1,13,-3091.1756513059695,0.6770568744981647
1,14,-3030.003835620141,0.6570468198150567
1,15,-3023.943799161602,0.6376281516217733
1,16,-3005.326062622403,0.6187833918061408
1,17,-2958.3733311155347,0.6004955788122659
1,18,-2753.220324768888,0.5827482523739896
1,19,-2897.3965684779414,0.5655254386995371
1,20,-2765.8386092093865,0.5488116360940265
1,21,-2721.546934579196,0.5325918010068972
1,22,-2677.115129685682,0.5168513344916993
1,23,-2597.2537690665463,0.5015760690660556
1,24,-2742.6298736723047,0.4867522559599717
1,25,-2636.5973399179993,0.4723665527410147
1,26,-2469.4393670216023,0.4584060113052235
1,27,-2486.701822280276,0.44485806622294116
1,28,-2479.6096133178576,0.43171052342907973
1,29,-2508.7372769532326,0.418951549247639
1,30,-2568.1768696659237,0.40656965974059917
1,31,-2312.777219244966,0.39455371037160114
1,32,-2421.7597669119273,0.38289288597511206
1,33,-2278.0589949513305,0.3715766910220457
1,34,-2119.4258459104135,0.3605949401730783
1,35,-2391.190648999574,0.3499377491111553
1,36,-2261.157726527853,0.3395955256449391
1,37,-2303.619102157423,0.3295589610751891
1,38,-2227.9972300680433,0.31981902181630395
1,39,-2243.15234984146,0.31036694126548503
1,40,-2111.969261695503,0.30119421191220214
1,41,-2260.451794538785,0.2922925776808594
1,42,-2289.073542852137,0.2836540264997704
1,43,-2127.6470512131896,0.27527078308975234
1,44,-2099.734416771929,0.2671353019658504
1,45,-2230.838035143817,0.25924026064589156
1,46,-2125.5645979181977,0.2515785530597565
1,47,-2250.0639595643897,0.2441432831534371
1,48,-2153.620490689851,0.23692775868212176
1,49,-2079.902483036571,0.22992548518672384
1,50,-2307.160610474663,0.22313016014842982
1,51,-2122.4498734389654,0.21653566731600707
1,52,-2045.5593260364108,0.21013607120076472
1,53,-1996.2337834190212,0.20392561173421347
1,54,-2139.243466803482,0.1978986990836147
1,55,-2014.8716092638863,0.19204990862075413
1,56,-2172.4124509168446,0.18637397603940997
1,57,-2065.9481167404647,0.1808657926171221
1,58,-2016.9400221448807,0.17552040061699686
1,59,-2043.0434738803249,0.17033298882540943
1,60,-2052.5320725415913,0.16529888822158656
1,61,-1918.130819466269,0.1604135677751728
1,62,-1972.5153308023662,0.15567263036799733
1,63,-1942.4263794652825,0.15107180883637086
1,64,-2027.3989689647037,0.14660696213035015
1,65,-1973.9571426944788,0.1422740715865136
1,66,-2003.8521372635585,0.13806923731089282
1,67,-1917.422914221922,0.13398867466880499
1,68,-1985.9143263611136,0.1300287108784259
1,69,-1894.2092177506183,0.12618578170503877
1,70,-1969.4768804665785,0.1224564282529819
1,71,-1839.720847635365,0.11883729385240965
1,72,-1875.3756777854044,0.11532512103806251
1,73,-1872.0066163794759,0.11191674861732888
1,74,-1886.9221986535613,0.10860910882495801
1,75,-1908.2103136793398,0.10539922456186433
1,76,-1866.731276515145,0.10228420671553748
1,77,-1886.3441791427658,0.09926125155964566
1,78,-1863.5909577797765,0.09632763823049303
1,79,-1990.4402197458733,0.09348072627805847
1,80,-1756.5565840999147,0.09071795328941251
2,1,-3712.1141421103803,0.9704455335485082
2,2,-3733.431285142861,0.9417645335842487
2,3,-3673.801641344756,0.9139311852712282
2,4,-3589.3426827386406,0.8869204367171575
2,5,-3424.7694501340725,0.8607079764250578
2,6,-3554.3008101221844,0.835270211411272
2,7,-3380.024832686467,0.8105842459701871
2,8,-3375.816610471111,0.7866278610665535
2,9,-3288.994378031347,0.7633794943368531
2,10,-3384.740606903796,0.7408182206817179
2,11,-3295.009745291927,0.7189237334319262
2,12,-3288.6628049602223,0.697676326071031
2,13,-3084.851817952366,0.6770568744981647
2,14,-3073.5406275463993,0.6570468198150567
2,15,-2901.810850152546,0.6376281516217733
2,16,-3040.7262166616083,0.6187833918061408
2,17,-2894.082953985318,0.6004955788122659
2,18,-2878.233359470783,0.5827482523739896
2,19,-2872.244753778523,0.5655254386995371
2,20,-2837.2093956310464,0.5488116360940265
2,21,-2599.7145936204915,0.5325918010068972
2,22,-2748.3940473374296,0.5168513344916993
2,23,-2640.5517378584923,0.5015760690660556
2,24,-2454.425300060624,0.4867522559599717
2,25,-2524.82165982718,0.4723665527410147
2,26,-2602.7317727194786,0.4584060113052235
2,27,-2617.1497133616886,0.44485806622294116
2,28,-2411.5992300855214,0.43171052342907973
2,29,-2430.704455807254,0.418951549247639
2,30,-2485.9359560983526,0.40656965974059917
2,31,-2392.3403277816406,0.39455371037160114
2,32,-2432.667043343518,0.38289288597511206
2,33,-2292.6320815524878,0.3715766910220457
2,34,-2292.7827597247965,0.3605949401730783
2,35,-2361.6763455788023,0.3499377491111553
2,36,-2298.779876889867,0.3395955256449391
2,37,-2319.6351018890746,0.3295589610751891
2,38,-2274.5609602564336,0.31981902181630395
2,39,-2211.1381030458856,0.31036694126548503
2,40,-2321.894308871718,0.30119421191220214
2,41,-2287.081972608162,0.2922925776808594
2,42,-2129.1105157810744,0.2836540264997704
2,43,-2207.9727619870714,0.27527078308975234
2,44,-2185.655270138587,0.2671353019658504
2,45,-2011.6110120201072,0.25924026064589156
2,46,-2063.1354118861764,0.2515785530597565
2,47,-2001.2939455465907,0.2441432831534371
