time_step,reward,cumulative_reward,grid_import_kwh,cumulative_grid_import_kwh
0,-2.3689818382263184,-2.3689818382263184,1.2468324899673462,1.2468324899673462
1,-1.0579887628555298,-3.426970601081848,0.5568361878395081,1.8036686778068542
2,-0.8039402365684509,-4.230910837650299,0.4231264293193817,2.226795107126236
3,-0.6880304217338562,-4.918941259384155,0.36212125420570374,2.5889163613319397
4,-0.7020748853683472,-5.621016144752502,0.36951306462287903,2.9584294259548187
5,-1.4261587858200073,-7.04717493057251,0.7506098747253418,3.7090393006801605
6,-7.318763732910156,-14.365938663482666,4.574227333068848,8.283266633749008
7,-0.5033825635910034,-14.86932122707367,0.31461408734321594,8.597880721092224
8,-6.545547157445981,-21.41486838451965,4.051580429077148,12.649461150169373
9,0.0,-21.41486838451965,0.0,12.649461150169373
10,0.0,-21.41486838451965,0.0,12.649461150169373
11,-1.432410717010498,-22.847279101530148,1.1018544435501099,13.751315593719482
12,0.0,-22.847279101530148,0.0,13.751315593719482
13,-0.25450584292411804,-23.101784944454266,0.25450584292411804,14.0058214366436
14,-1.550913691520691,-24.652698635974957,1.550913691520691,15.556735128164291
15,-0.9190036654472351,-25.571702301422192,0.7069259285926819,16.263661056756973
16,-3.426819324493408,-28.9985216259156,3.426819324493408,19.69048038125038
17,-0.8153510093688965,-29.813872635284497,0.5095943808555603,20.20007476210594
18,-2.9328174591064453,-32.74669009439094,1.5435880422592163,21.743662804365158
19,-3.996901750564575,-36.74359184495552,2.1036324501037598,23.847295254468918
20,-0.8451116681098938,-37.58870351306541,0.528194785118103,24.37549003958702
21,-1.4974584579467773,-39.08616197101219,0.9359115362167358,25.311401575803757
22,-10.726763725280762,-49.81292569629295,6.704226970672607,32.015628546476364
23,-5.745822429656982,-55.55874812594993,3.5911388397216797,35.606767386198044
24,-0.5658247470855713,-56.124572873035504,0.35364046692848206,35.960407853126526
25,-0.5634928345680237,-56.68806570760353,0.3521830141544342,36.31259086728096
26,-0.5920503056944502,-57.28011601329798,0.35997599363327026,36.67256686091423
