time_step,reward,cumulative_reward,grid_import_kwh,cumulative_grid_import_kwh
0,-5.0835114732876265,-5.0835114732876265,2.033644199371338,2.033644199371338
1,-2.0611406573487785,-7.1446521306364055,0.8462807536125183,2.879924952983856
2,-1.8403457266773935,-8.984997857313799,0.7249863147735596,3.6049112677574158
3,-1.73642002373698,-10.721417881050778,0.6327978372573853,4.237709105014801
4,-1.653488299193077,-12.374906180243855,0.6071555614471436,4.844864666461945
5,-2.800681965253034,-15.175588145496889,1.00062894821167,5.8454936146736145
6,-3.60785219651159,-18.78344034200848,1.607621669769287,7.453115284442902
7,-1.2515150991666206,-20.0349554411751,0.5342340469360352,7.987349331378937
8,-10.96192855965901,-30.996884000834108,4.653266429901123,12.64061576128006
9,-0.9377658884769744,-31.934649889311082,0.48263463377952576,13.123250395059586
10,0.0,-31.934649889311082,0.0,13.123250395059586
11,-3.477068711002812,-35.4117186003139,1.8172708749771118,14.940521270036697
12,-0.5160472864948759,-35.92776588680877,0.26597872376441956,15.206499993801117
13,-1.0753504146713795,-37.00311630148015,0.7617638111114502,15.968263804912567
14,-1.5185841752667482,-38.521700476746894,1.1042695045471191,17.072533309459686
15,-3.99837423617317,-42.520074712920064,2.219130277633667,19.291663587093353
16,-2.5409663122396524,-45.06104102515972,1.8851795196533203,21.176843106746674
17,-4.4989850105785685,-49.56002603573829,2.2347474098205566,23.41159051656723
18,-5.734460067931468,-55.294486103669755,2.5173251628875732,25.928915679454803
19,-7.260901226785654,-62.55538733045541,3.131718397140503,29.060634076595306
20,-4.894117071987102,-67.44950440244251,2.583674430847168,31.644308507442474
21,-6.151489638892477,-73.60099404133499,2.991377115249634,34.63568562269211
22,-4.87720841459662,-78.47820245593161,2.4763197898864746,37.11200541257858
23,-4.896788368932903,-83.37499082486451,2.410888671875,39.52289408445358
24,-5.026502023176318,-88.40149284804083,2.40902042388916,41.93191450834274
25,-5.32339651490914,-93.72488936294997,2.407548666000366,44.33946317434311
26,-5.2779409345941986,-99.00283029754416,2.4062469005584717,46.74571007490158
27,-5.532695906520037,-104.5355262040642,2.404888391494751,49.15059846639633
28,-9.199965457510142,-113.73549166157434,3.4095041751861572,52.56010264158249
29,-9.85125612742289,-123.58674778899723,3.4206624031066895,55.98076504468918
30,-9.511622067144618,-133.09836985614186,3.384955644607544,59.36572068929672
31,-5.763662362172423,-138.86203221831428,2.132779121398926,61.49849981069565
32,-4.03451844728495,-142.89655066559922,1.693311095237732,63.19181090593338
33,-3.917492002719882,-146.8140426683191,1.6229748725891113,64.81478577852249
34,-4.8763242933957605,-151.69036696171486,2.117464065551758,66.93224984407425
35,-5.583814303172645,-157.2741812648875,2.377275228500366,69.30952507257462
36,-14.911344188981277,-172.18552545386876,6.852179527282715,76.16170459985733
37,-9.127411414891004,-181.31293686875978,3.8069448471069336,79.96864944696426
38,-3.219347512742184,-184.53228438150197,1.5404163599014282,81.50906580686569
39,-2.3091310317722673,-186.84141541327423,1.399733543395996,82.90879935026169
40,-3.8951785505493266,-190.73659396382357,2.5025556087493896,85.41135495901108
41,-2.981748880078021,-193.71834284390158,1.9090077877044678,87.32036274671555
42,-5.968255826086533,-199.68659866998811,3.163917303085327,90.48428004980087
43,-6.080157684136429,-205.76675635412454,2.81315541267395,93.29743546247482
44,-9.547378658134768,-215.3141350122593,4.345648288726807,97.64308375120163
45,-5.618316308552191,-220.93245132081148,2.6901395320892334,100.33322328329086
46,-5.800132597071146,-226.73258391788264,2.5983519554138184,102.93157523870468
47,-5.4192218695864085,-232.15180578746904,2.429795026779175,105.36137026548386
48,-4.5517007047565885,-236.70350649222564,2.40902042388916,107.77039068937302
49,-4.57749798003509,-241.28100447226072,2.407548666000366,110.17793935537338
50,-4.582789542787017,-245.86379401504774,2.4062469005584717,112.58418625593185
51,-4.784464394828501,-250.64825840987623,2.3896658420562744,114.97385209798813
52,-5.738641822167968,-256.3869002320442,2.403416872024536,117.37726897001266
53,-5.61697161912457,-262.00387185116875,2.4035866260528564,119.78085559606552
54,-5.142241542603688,-267.14611339377245,2.357393264770508,122.13824886083603
55,-5.673780952021071,-272.8198943457935,2.5745387077331543,124.71278756856918
56,-6.653253985279616,-279.4731483310731,2.84958553314209,127.56237310171127
57,-3.544443004891673,-283.01759133596477,1.5144482851028442,129.07682138681412
58,-2.7624614727986225,-285.7800528087634,1.210247278213501,130.28706866502762
59,-1.988397055200907,-287.7684498639643,1.010774850845337,131.29784351587296
60,-1.8612504743375893,-289.62970033830186,0.968116044998169,132.26595956087112
61,-2.389203263463302,-292.01890360176515,1.290348768234253,133.55630832910538
62,-2.4167626496288297,-294.43566625139397,1.3718637228012085,134.92817205190659
63,-6.701773249951899,-301.13743950134585,3.6161797046661377,138.54435175657272
64,-5.078314095201145,-306.215753596547,2.9555418491363525,141.49989360570908
65,-3.9368279955119307,-310.15258159205894,2.1987667083740234,143.6986603140831
66,-5.958678566062189,-316.1112601581211,3.041545867919922,146.74020618200302
67,-5.937430254348191,-322.04869041246934,2.887971878051758,149.62817806005478
68,-5.439860832378236,-327.4885512448476,2.665567398071289,152.29374545812607
69,-5.512337588515948,-333.00088883336355,2.6901395320892334,154.9838849902153
70,-5.490212145648018,-338.49110097901155,2.5373358726501465,157.52122086286545
71,-5.818014681691026,-344.30911566070256,2.9260518550872803,160.44727271795273
72,-4.927611744562454,-349.236727405265,2.4142777919769287,162.86155050992966
73,-4.740244461702302,-353.9769718669673,2.407548666000366,165.26909917593002
74,-5.049672631779155,-359.02664449874646,2.4062469005584717,167.6753460764885
75,-5.235084421031448,-364.2617289197779,2.3896658420562744,170.06501191854477
76,-5.217765286684031,-369.47949420646194,2.403416872024536,172.4684287905693
77,-6.529465483936823,-376.00895969039874,3.4225449562072754,175.89097374677658
78,-4.556954268323844,-380.5659139587226,2.4147017002105713,178.30567544698715
79,-4.885689030160999,-385.4516029888836,2.5553765296936035,180.86105197668076
80,-4.1816616132398385,-389.63326460212346,2.2003979682922363,183.061449944973
81,-3.548761488291378,-393.18202609041487,1.855061650276184,184.91651159524918
82,-3.5670674362603374,-396.7490935266752,2.1575803756713867,187.07409197092056
