month_index,month_name,hours,fixed_cumulative_reward,q_learning_cumulative_reward,fixed_grid_import_kwh,q_learning_grid_import_kwh,q_learning_savings_vs_fixed_pct
1,Jan,744,-3621.2944486620686,-1107.5450467096962,1819.4534648656845,568.8389970869757,68.73572157400747
2,Feb,672,-3289.787933744002,-924.1409606968539,1613.9810170531273,464.7258627740666,71.20623738050017
3,Mar,744,-3675.8122759273574,-1031.039528018161,1718.344267308712,477.4229285530746,72.21610723555303
4,Apr,47,-232.44869175908832,-115.95800722090587,112.84024345874786,58.82388997077942,47.86975978806333
